unit_from,unit_to,function
% dry weight,mg/g,x*10
%,mg/g,x*10
%,g/g,x*0.01
cm2/g,mm2/mg,x*0.1
cm2,mm2,x*100
g,mg,x*1000
mm,m,x*0.001
%,mg/g,x*10
g/m2,mm2/mg,1/x*1000/1
mmol/g,mg/g,x*14.0067
mg/g,g/g,x*0.001
cm,m,x*0.01
nmol/g/s,umol/g/s,x*0.001
mol/m2/s,mmol/m2/s,x*1000
microns,mm,x*0.001
cm2/g,mm2/mg,x*0.1
gm2,mm2/mg,1/x*1000/1
umolH2O/m2/s,mmol/m2/s,x*0.001
mgK/cm2,g/m2,x*10
mgN/cm2,g/m2,x*10
mgP/cm2,g/m2,x*10
nmolCO2/g/s,umol/g/s,x*1000
kg/m3,mg/mm3,x*0.001
cm,mm,x*10
ug/g,mg/g,x*0.001
mg/cm2,mm2/mg,1/x*1000/10
nmol/g/s,umol/g/s,x*0.001
mmol CO2 m-2 s-1,umol/m2/s,x*1000
ug/mm2,mm2/mg,1/x*1000/1
mg/g,g/g,x*0.001
m,mm,x*1000
g/m2,mm2/mg,1/x*1000/1
mg/mm2,mm2/mg,1/x
mg/m2,g/m2,x*0.001
cm2/g,mm2/mg,x*0.1
mm2/g,mm2/mg,x*0.001
