"ITEM_ID","DATEGERMPLASMRECEIVED","MONITORINGPERIOD","THOUSANDSEEDWEIGHT","DEGREEOFPURITY","AVGSEEDPERFRUIT","ORIGINALSEEDQUANTITY","CURRENTSEEDQUANTITY","ADJUSTEDSEEDQUANTITY","METHODSEEDNUMDETERMINED","VIABILITYSUMMARY","PROCESSINGMEASUREMENTSORFACTS"
1596531,05-JUL-16,"",,,"","",70,"","","","Current quantity available as 70ea "
1587420,05-JUL-16,"",,,"","",,"","","","Current quantity available as .157gm packet"
1587001,27-JUN-16,"",,,"","",91,"","","","Current quantity available as 91ea packet"
1587016,27-JUN-16,"",0.1201,,"","",9157,"","","","Current quantity available as 9047ea packet,110ea packet"
1588432,15-JUL-16,"",0.0412,100,"","",5388,"","","","Current quantity available as 5388ea packet"
1586886,24-JUN-16,"",,,"","",51,"","","","Current quantity available as 51ea packet"
1596099,23-SEP-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1596113,23-SEP-16,"",,,"","",6,"","","","Current quantity available as 6ea plate"
1596114,23-SEP-16,"",,,"","",1,"","","","Current quantity available as 1ea plate"
1596119,23-SEP-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1596131,23-SEP-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1588906,20-JUL-16,"",0.0576,,"","",6397,"","","","Current quantity available as 6397ea packet"
1588908,20-JUL-16,"",,13.64,"","",,"","","","Current quantity available as 32.987gm packet"
1589475,27-JUL-16,"",1.0728,,"","",269,"","","","Current quantity available as 269ea packet"
1589482,27-JUL-16,"",0.088,100,"","",10239,"","","","Current quantity available as .901gm packet"
1589484,27-JUL-16,"",0.3416,100,"","",21891,"","","","Current quantity available as 7.478gm packet"
1589485,27-JUL-16,"",1.59,100,"","",122,"","","","Current quantity available as 122ea packet"
1587466,06-JUL-16,"",1.3076,,"","",557,"","","","Current quantity available as 557ea packet"
1587471,06-JUL-16,"",0.003,,"","",221,"","","","Current quantity available as 221ea packet"
1587543,07-JUL-16,"",1.08,,"","",2098,"","","","Current quantity available as 2.266gm packet"
1587837,08-JUL-16,"",0.0265,100,"","",88566,"","","","Current quantity available as 2.347gm packet"
1588764,19-JUL-16,"",0.2012,,"","",18623,"","","","Current quantity available as 3.747gm packet"
1588314,13-JUL-16,"",0.5036,,"","",3171,"","","","Current quantity available as 3171ea packet"
1588341,14-JUL-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1587553,07-JUL-16,"",,,"","",,"","","","Current quantity available as .494gm packet"
1587843,08-JUL-16,"",1.7833,100,"","",1208,"","","","Current quantity available as 1208ea packet"
1586325,15-JUN-16,"",0.6716,,"","",1053,"","","","Current quantity available as 1053ea packet"
1478538,04-JUN-14,"",0.1728,66.5,"","",28675,"","","","Current quantity available as 4.95gm packet,.005gm vial"
1478549,04-JUN-14,"",19.264,100,"","",185,"","","","Current quantity available as 185ea packet"
1478563,04-JUN-14,"",,,"","",,"","","","Current quantity available as .004gm container"
1478572,04-JUN-14,"",,,"","",,"","","","Current quantity available as .008gm container"
1497497,18-SEP-14,"",,,"","",1,"","","","Current quantity available as 1ea plate"
1469859,18-APR-13,"",0.022,99,"","",59773,"","","","Current quantity available as 1.143gm packet,.172gm packet"
1454910,31-JAN-12,"",,,"","",0,"","","","No stock available"
1454911,31-JAN-12,"",,,"","",0,"","","","No stock available"
1513042,05-MAR-15,"",0.583,100,"","",1724,"","","","Current quantity available as 1724ea packet"
1477568,20-MAY-14,"",,,"","",0,"","","","Current quantity available as 0ea container"
1582703,05-MAY-16,"",,,"","",0,"","","","Current quantity available as 0ea plate"
1196076,,"",,,"","",,"","","","Current quantity available as 3.282gm packet"
1227003,,"",,,"","",,"","","","Current quantity available as 2.712gm packet"
1308420,,"",,,"","",11,"","","","Current quantity available as 11ea packet"
1343095,,"",2.461,,"","",2431,"","","","Current quantity available as 5.983gm packet"
1343111,,"",,,"","",,"","","","Current quantity available as 14.306gm packet"
1314704,,"",,,"","",,"","","","Current quantity available as 23.714gm packet"
1227445,,"",,,"","",,"","","","Current quantity available as 2.812gm packet"
1227609,,"",,,"","",,"","","","Current quantity available as 1.6965gm packet"
1308997,,"",,,"","",,"","","","Current quantity available as 2.1gm packet"
1309117,,"",,,"","",,"","","","Current quantity available as 3.636gm packet"
1309216,03-FEB-00,"",16.5489,,"","",60,"","","","Current quantity available as .996gm packet"
1315153,,"",,,"","",,"","","","Current quantity available as 3.267gm packet"
1193849,,"",,,"","",,"","","","Current quantity available as 10.905gm packet"
1193874,,"",,,"","",,"","","","Current quantity available as 19.468gm packet"
1299576,,"",,,"","",,"","","","Current quantity available as .908gm packet"
1327001,,"",,,"","",,"","","","Current quantity available as .543gm packet"
1315730,09-MAR-00,"",0.5368,,"","",,"","","","Current quantity available as 1 packet"
1315998,,"",,,"","",,"","","","Current quantity available as .44gm packet,0gm packet"
1194221,,"",,,"","",,"","","","Current quantity available as .526gm packet"
1305029,,"",,,"","",,"","","","Current quantity available as 1.808gm packet"
1316218,,"",,,"","",,"","","","Current quantity available as 1.507gm packet"
1316250,,"",,,"","",,"","","","Current quantity available as 3.7gm packet"
1194536,,"",,,"","",,"","","","Current quantity available as .938gm packet"
1194699,,"",,,"","",,"","","","Current quantity available as .09gm packet"
1328740,,"",,,"","",,"","","","Current quantity available as 4.157gm packet"
1328754,,"",,,"","",,"","","","Current quantity available as 3.101gm packet"
1334068,05-NOV-03,"",,,"","",,"","","","Current quantity available as 3.94gm packet"
1311850,,"",6.15,,"","",338,"","","","Current quantity available as 2.078gm packet"
1311906,,"",,,"","",,"","","","Current quantity available as 1 packet"
1312165,,"",,,"","",,"","","","Current quantity available as 3.3446gm packet"
1312209,,"",,,"","",,"","","","Current quantity available as 9.221gm packet"
1341687,,"",,,"","",,"","","","Current quantity available as .921gm packet"
1342011,,"",168.3882,,"","",68,"","","","Current quantity available as 8.7088gm packet,2.6942gm packet"
1307475,,"",,,"","",,"","","","Current quantity available as .589gm packet"
1312984,,"",,,"","",,"","","","Current quantity available as 20.694gm packet"
1302507,,"",,,"","",,"","","","Current quantity available as 2 packet"
1307661,,"",,,"","",,"","","","Current quantity available as 1.584gm packet"
1307697,,"",0.198,,"","",2884,"","","","Current quantity available as .571gm packet"
1307749,,"",,,"","",,"","","","Current quantity available as 1.324gm packet"
1358007,,"",,,"","",,"","","","Current quantity available as 8.938gm packet"
1198023,,"",,,"","",,"","","","Current quantity available as 6.076gm packet"
1380394,,"",0.24,,"","",554,"","","","Current quantity available as .133gm packet"
1205541,,"",,,"","",,"","","","Current quantity available as 2.894gm packet"
1205563,,"",,,"","",,"","","","Current quantity available as 2.984gm packet"
1212218,,"",,,"","",,"","","","Current quantity available as .457gm packet"
1376904,,"",,,"","",,"","","","Current quantity available as 1.069gm packet"
1212552,,"",,,"","",,"","","","Current quantity available as 1.785gm packet"
1368049,,"",,,"","",,"","","","Current quantity available as 5.954gm packet"
1368085,,"",,,"","",,"","","","Current quantity available as .843gm packet"
1193832,,"",,,"","",,"","","","Current quantity available as .923gm packet"
1193897,,"",,,"","",,"","","","Current quantity available as .737gm packet"
1213006,,"",,,"","",,"","","","Current quantity available as .46gm packet"
1368242,,"",,,"","",,"","","","Current quantity available as 17.503gm packet"
1373150,,"",,,"","",,"","","","Current quantity available as 23.683gm packet"
1373202,,"",,,"","",,"","","","Current quantity available as 2.303gm packet"
1373246,,"",,,"","",,"","","","Current quantity available as 22.354gm packet"
1206900,,"",,,"","",,"","","","Current quantity available as 16.088gm packet"
1206906,,"",,,"","",,"","","","Current quantity available as .525gm packet"
1373391,,"",,,"","",,"","","","Current quantity available as .049gm packet"
1373398,,"",,,"","",,"","","","Current quantity available as 7.994gm packet"
1344481,,"",,,"","",,"","","","Current quantity available as .37gm packet"
1384265,,"",,,"","",,"","","","Current quantity available as 5.03gm packet"
1388294,,"",,,"","",,"","","","Current quantity available as .187gm packet"
1392020,,"",,,"","",,"","","","Current quantity available as 1.398gm packet"
1201102,,"",,,"","",,"","","","Current quantity available as 1.9384gm packet"
1201303,,"",,,"","",,"","","","Current quantity available as .145gm packet"
1201358,,"",,,"","",,"","","","Current quantity available as .788gm packet"
1201395,,"",,,"","",,"","","","Current quantity available as 3.447gm packet"
1207821,,"",,,"","",,"","","","Current quantity available as 10.064gm packet"
1207914,24-JAN-00,"",2.3333,,"","",53,"","","","Current quantity available as .124gm packet"
1364468,,"",,,"","",,"","","","Current quantity available as .32gm packet"
1384761,,"",,,"","",,"","","","Current quantity available as .996gm packet"
1360685,,"",,,"","",,"","","","Current quantity available as 1 packet"
1364571,,"",,,"","",,"","","","Current quantity available as 44.581gm packet"
1364802,,"",,,"","",13,"","","","Current quantity available as 13ea packet"
1381608,,"",,,"","",,"","","","Current quantity available as .001gm packet"
1195158,,"",,,"","",,"","","","Current quantity available as 1.179gm packet"
1208535,,"",,,"","",,"","","","Current quantity available as 1.654gm packet"
1360832,,"",,,"","",,"","","","Current quantity available as .407gm packet"
1378606,,"",0.048,,"","",6833,"","","","Current quantity available as .328gm packet"
1381892,,"",,,"","",,"","","","Current quantity available as 1.895gm packet"
1392481,,"",,,"","",,"","","","Current quantity available as 3.626gm packet"
1361140,,"",,,"","",,"","","","Current quantity available as 14.855gm packet"
1382040,,"",,,"","",,"","","","Current quantity available as .005gm packet"
1389374,,"",,,"","",,"","","","Current quantity available as .068gm packet"
1209418,,"",,,"","",,"","","","Current quantity available as 6.075gm packet"
1365666,,"",,,"","",,"","","","Current quantity available as 66.102gm packet"
1375030,,"",,,"","",,"","","","Current quantity available as .578gm packet"
1375215,,"",,,"","",,"","","","Current quantity available as .16gm packet"
1382196,,"",,,"","",,"","","","Current quantity available as 2.541gm packet"
1382270,,"",,,"","",,"","","","Current quantity available as 1.353gm packet"
