"ITEM_ID","ITEM_ACTION_ID","TRIALID","TREATMENTORTESTTYPE","STARTDATE","DURATION","TREATMENTANDTESTNOTES","CONDITIONDESCRIPTION","TREATMENTMEASUREMENT1","TREATMENTUNITOFMEASUREMENT1","TREATMENTMEASUREMENT2","TREATMENTUNITOFMEASUREMENT2"
1143366,1417150,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.6689, Total wt: 5.9612","TSW",6.689,"gm",,""
1144287,1417166,,"Seed Sample",02-JAN-06,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.348, Total wt: 2.051","TSW",13.48,"gm",,""
1145240,1417193,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 44, Wt of sample: 0.0075, Total wt: 0.0075","TSW",0.1705,"gm",,""
1145901,1417202,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 20, Wt of sample: 0.8001, Total wt: 0.8001","TSW",40.005,"gm",,""
1137310,1417047,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1549, Total wt: 0.3695","TSW",1.549,"gm",,""
1137324,1417055,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 27, Wt of sample: 0.0198, Total wt: 0.0198","TSW",0.7333,"gm",,""
1137327,1417057,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 24, Wt of sample: 0.1854, Total wt: 0.1854","TSW",7.725,"gm",,""
1137342,1417069,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 1, Wt of sample: 0.0013, Total wt: 0.0013","TSW",1.3,"gm",,""
1137351,1417075,,"Seed Sample",22-DEC-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 33, Wt of sample: 0.0972, Total wt: 0.0972","TSW",2.9455,"gm",,""
1137356,1417078,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1145, Total wt: 0.1628","TSW",1.145,"gm",,""
1138048,1417111,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3425, Total wt: 1.2176","TSW",3.425,"gm",,""
1138058,1417113,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.4727, Total wt: 1.5653","TSW",4.727,"gm",,""
1145914,1417203,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 21, Wt of sample: 0.4592, Total wt: 0.4592","TSW",21.8667,"gm",,""
1145921,1417205,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 79, Wt of sample: 1.1189, Total wt: 1.1189","TSW",14.1633,"gm",,""
1146296,1417220,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1355, Total wt: 0.2176","TSW",1.355,"gm",,""
1146462,1417227,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.5118, Total wt: 0.6416","TSW",5.118,"gm",,""
1146581,1417229,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0951, Total wt: 0.4715","TSW",0.951,"gm",,""
1146714,1417232,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0635, Total wt: 1.4749","TSW",0.635,"gm",,""
1147290,1417237,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 67, Wt of sample: 0.3248, Total wt: 0.3248","TSW",4.8478,"gm",,""
1147529,1417243,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 9, Wt of sample: 0.0116, Total wt: 0.0116","TSW",1.2889,"gm",,""
1147568,1417244,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0998, Total wt: 0.1413","TSW",0.998,"gm",,""
1148014,1417249,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 32, Wt of sample: 0.0384, Total wt: 0.0384","TSW",1.2,"gm",,""
1153217,1417412,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3385, Total wt: 1.6231","TSW",3.385,"gm",,""
1153602,1417417,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 3, Wt of sample: 0.0538, Total wt: 0.0538","TSW",17.9333,"gm",,""
1153744,1417419,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 37, Wt of sample: 0.237, Total wt: 0.237","TSW",6.4054,"gm",,""
1153859,1417420,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 7, Wt of sample: 0.0035, Total wt: 0.0035","TSW",0.5,"gm",,""
1154079,1417424,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 2, Wt of sample: 0.0288, Total wt: 0.0288","TSW",14.4,"gm",,""
1154453,1417430,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.0118, Total wt: 13.3592","TSW",10.118,"gm",,""
1154726,1417433,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 8, Wt of sample: 0.0524, Total wt: 0.0524","TSW",6.55,"gm",,""
1154903,1417439,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 8, Wt of sample: 0.0348, Total wt: 0.0348","TSW",4.35,"gm",,""
1154980,1417445,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0332, Total wt: 0.0528","TSW",0.332,"gm",,""
1155145,1417454,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.4383, Total wt: 1.9819","TSW",14.383,"gm",,""
1155361,1417459,,"Seed Sample",03-DEC-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0759, Total wt: 0.3518","TSW",0.759,"gm",,""
1155431,1417465,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 15, Wt of sample: 0.0006, Total wt: 2.7353","TSW",0.04,"gm",,""
1155447,1417469,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1456, Total wt: 0.5387","TSW",1.456,"gm",,""
1155486,1417473,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1733, Total wt: 3.3963","TSW",1.733,"gm",,""
1156014,1417488,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 28, Wt of sample: 0.3915, Total wt: 0.3915","TSW",13.9821,"gm",,""
1156085,1417493,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.686, Total wt: 2.693","TSW",6.86,"gm",,""
1156469,1417502,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 93, Wt of sample: 0.4432, Total wt: 0.4432","TSW",4.7656,"gm",,""
1156472,1417503,,"Seed Sample",01-FEB-04,"","Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3914, Total wt: 1.1943","TSW",3.914,"gm",,""
