item_ID,gathering_date,latitude (deg),longitude (deg),locality,collector,species_name,site_name,site_name_shorter
1404124,1/28/1979,-32.45,118.3333,9 km NE of Kondinin trig. point.,"Barnsley, B.",Isopogon scabriusculus subsp. stenophyllus,site_at_-32.45_degS_and_118.3333_degE,site_at_-32.45_degS_and_118.3333_degE
1438351,12/19/1985,-34.9,150.5667,"3 km SW of Nowra along Yalwal road, at Flat Rock Crossing.","Barnsley, B.",Leptospermum sejunctum  ,site_at_-34.9_degS_and_150.5667_degE,site_at_-34.9_degS_and_150.5667_degE
1436979,2/19/1980,-36.4333,148.2833,Kosciusko National Park; 500 m W of Seamans Hut.,"Barnsley, B.",Luzula atrata  ,site_at_-36.4333_degS_and_148.2833_degE,site_at_-36.4333_degS_and_148.2833_degE
1436980,2/19/1980,-36.4333,148.2833,Kosciusko National Park; 500 m W of Seamans Hut.,"Barnsley, B.",Luzula atrata  ,site_at_-36.4333_degS_and_148.2833_degE,site_at_-36.4333_degS_and_148.2833_degE
1437568,1/16/1979,-33.6833,117.6333,8 km E of Katanning.,"Barnsley, B.",Hakea brownii  ,site_at_-33.6833_degS_and_117.6333_degE,site_at_-33.6833_degS_and_117.6333_degE
1437498,2/19/1980,-36.4333,148.3333,Kosciuszko National Park below Charlottes Charlotte Pass at Snowy River Crossing.,"Barnsley, B.",Diplaspis nivis  ,site_at_-36.4333_degS_and_148.3333_degE,site_at_-36.4333_degS_and_148.3333_degE
1437500,2/19/1980,-36.4333,148.3333,Kosciuszko National Park below Charlottes Charlotte Pass at Snowy River Crossing.,"Barnsley, B.",Diplaspis nivis  ,site_at_-36.4333_degS_and_148.3333_degE,site_at_-36.4333_degS_and_148.3333_degE
1437380,2/19/1980,-36.4,148.3167,"Kosciusko National Park, above Blue Lake, c. 7.5 km NNE of Mt. Kosciusko summit.","Barnsley, B.",Podocarpus lawrencei  ,site_at_-36.4_degS_and_148.3167_degE,site_at_-36.4_degS_and_148.3167_degE
1437381,2/19/1980,-36.4,148.3167,"Kosciusko National Park, above Blue Lake, c. 7.5 km NNE of Mt. Kosciusko summit.","Barnsley, B.",Podocarpus lawrencei  ,site_at_-36.4_degS_and_148.3167_degE,site_at_-36.4_degS_and_148.3167_degE
1437011,2/19/1980,-36.4,148.3167,"Kosciusko National Park, above Blue Lake, c. 7.5 km NNE of Mt. Kosciusko summit.","Barnsley, B.",Podocarpus lawrencei  ,site_at_-36.4_degS_and_148.3167_degE,site_at_-36.4_degS_and_148.3167_degE
1437028,2/19/1980,-36.4,148.3167,"Kosciusko National Park, above Blue Lake. c. 7.5 km NNE of Mt Kosciuszko summit.","Barnsley, B.",Rytidosperma alpicola  ,site_at_-36.4_degS_and_148.3167_degE,site_at_-36.4_degS_and_148.3167_degE
1438693,2/21/1980,-36.3833,148.3667,Kosciusko National Park. Guthega River at footbridge.,"Barnsley, B.",Ranunculus lappaceus  ,site_at_-36.3833_degS_and_148.3667_degE,site_at_-36.3833_degS_and_148.3667_degE
1437326,2/21/1980,-36.3833,148.3667,Kosciusko National Park. Guthega River at footbridge.,"Barnsley, B.",Ranunculus lappaceus  ,site_at_-36.3833_degS_and_148.3667_degE,site_at_-36.3833_degS_and_148.3667_degE
1269483,12/20/1982,-32.08,115.9997,Mills Road.,ANBG,Pimelea sylvestris  ,site_at_-32.08_degS_and_115.9997_degE,site_at_-32.08_degS_and_115.9997_degE
1272503,12/17/1975,-32.1,116.0167,Kelmscott.,ANBG,Gastrolobium spinosum  ,site_at_-32.1_degS_and_116.0167_degE,site_at_-32.1_degS_and_116.0167_degE
1436791,5/12/1979,-30.9,153.0833,"Little Smoky Hill, 1 km S of Little Bay.","Barnsley, B.",Eucalyptus siderophloia  ,site_at_-30.9_degS_and_153.0833_degE,site_at_-30.9_degS_and_153.0833_degE
1269326,12/11/1984,NA,NA,Eneabba.,ANBG,Grevillea polybotrya  ,Eneabba.,Eneabba.
1269029,5/10/1989,-22.4333,114.9667,14 km N of Barradale.,ANBG,Triodia bitextura  ,site_at_-22.4333_degS_and_114.9667_degE,site_at_-22.4333_degS_and_114.9667_degE
1239916,4/30/1991,NA,NA,"Ht Holdsworth, Tararua Range.",ANBG,Leucopogon fraseri  ,"Ht Holdsworth, Tararua Range.","Ht Holdsworth, Tararua Range."
1437094,3/28/1985,-35.8478,149.9056,"Deua National Park, ridge running off Mt Donovan, 1.8 km NE of summit, c. 20 km WNW of Moruya.","Beesley, P.",Leptospermum deuense  ,site_at_-35.8478_degS_and_149.9056_degE,site_at_-35.8478_degS_and_149.9056_degE
1454868,7/12/1991,NA,NA,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",ANBG,Swainsona laxa  ,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.","CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155."
1183915,3/1/1994,-33.6667,138.9333,Burra.,ANBG,Dodonaea   ,site_at_-33.6667_degS_and_138.9333_degE,site_at_-33.6667_degS_and_138.9333_degE
1210233,1/5/1979,-33.2167,123.45,"100 km S of Balladonia motel along road to Mount Ragged, Juranda Rock Hole.","Barnsley, B.",Acacia nyssophylla  ,site_at_-33.2167_degS_and_123.45_degE,site_at_-33.2167_degS_and_123.45_degE
1177438,6/2/1995,-35.2667,149.1,"CULTIVATED Australian National Botanic Gardens, Section 165.",ANBG,Wikstroemia indica  ,site_at_-35.2667_degS_and_149.1_degE,site_at_-35.2667_degS_and_149.1_degE
1185499,9/17/1993,-30.2833,139.3833,"Arkaroola hills, 500 m along Echo Creek Backtrack from Barraranna Gorge turnoff.","Barnsley, B.",Marsdenia australis  ,site_at_-30.2833_degS_and_139.3833_degE,site_at_-30.2833_degS_and_139.3833_degE
1202845,1/12/1979,-33.9281,120.0231,"Fitzgerald River National Park, E Mt Barren, southern foot.","Barnsley, B.",Banksia oreophila  ,site_at_-33.9281_degS_and_120.0231_degE,site_at_-33.9281_degS_and_120.0231_degE
1437340,1/13/1979,-34.7833,118.2667,"Albany area, 12 km from Manypeaks along Highway I to Jerramungup, 3.5 km NE of Cheyne Beach turnoff.","Barnsley, B.",Isopogon cuneatus  ,site_at_-34.7833_degS_and_118.2667_degE,site_at_-34.7833_degS_and_118.2667_degE
1210414,1/6/1979,-33.4667,123.4667,"SW end of Mt Ragged, (Tower Peak).","Barnsley, B.",Calothamnus villosus  ,site_at_-33.4667_degS_and_123.4667_degE,site_at_-33.4667_degS_and_123.4667_degE
1210711,1/6/1979,-33.4667,123.4667,SW slopes of Mt Ragged 2/3rds of the way up.,"Barnsley, B.",Acacia fragilis  ,site_at_-33.4667_degS_and_123.4667_degE,site_at_-33.4667_degS_and_123.4667_degE
