Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (%),Leaf area (mm2)
Acaena echinata,91,87,13.19,17.5,Animal vector,8.29,semi-basal,33.52,835.696
Ajuga australis,91,87,8.932,3.8,Undefined,3.84,semi-basal,22.19,300.118
Arthropodium fimbriatum,91,87,19.81,9.4,Undefined,1.31,tussock,51.82,129.955
Asperula conferta,91,87,15.417,1.9,Undefined,2,NA,36.08,3.307
Astroloma conostephioides,91,87,1.385,15.2,Ingestion,42.44,dwarf shrub,62.48,44.33
Astroloma humifusum,91,87,1.266,10,Ingestion,61.56,dwarf shrub,67.58,53.18
Austrostipa semibarbata,91,87,5.426,61.2,Adhesion,3.35,tussock,53.36,864.165
Brachyscome perpusilla,91,87,NA,2.3,Wind,0.477,erect leafy,NA,NA
Brunonia australis,91,87,9.598,NA,Undefined,0.68,erect leafy,27.44,488.548
Bulbine bulbosa,91,87,15.132,NA,Undefined,2.15,tussock,16,923.519
Caesia calliantha,91,87,20.952,5.4,Unassisted,3.59,semi basal,17.56,2960.984
Caladenia dilatata,91,87,NA,NA,Wind,0.001,NA,NA,NA
Centrolepis aristata,91,87,15.066,NA,Wind,0.04,NA,54.86,6.529
Centrolepis fasicularis,91,87,NA,NA,Wind,0.04,NA,NA,NA
Centrolepis strigosa,91,87,5.632,NA,Wind,0.03,NA,89.26,0.681
Chamaescilla corymbosa,91,87,63.13,NA,Undefined,2.924,tussock,19.34,177.655
Cheilanthes austrotenuifolia,91,87,7.466,NA,Wind,0.81,erect leafy,84.56,359.138
Chorizandra australis,91,87,14.716,NA,NA,6.32,tussock,44.17,122.65
Chrysocephalum semipapposum,91,87,3.691,NA,Wind,0.079,erect leafy,53.77,34.553
Convolvulus erubescens,91,87,15.966,NA,Undefined,15.97,erect leafy,21.25,99.332
Craspedia variabilis,91,87,4.769,NA,Wind,1.65,erect leafy,85.57,131.471
Cynoglossum suaveolens,91,87,12.476,NA,Animal vector,0.49,NA,29.19,289.091
Daucus glochidiatus,91,87,6.321,0.3,Adhesion,2.18,erect leafy,80.99,6.195
Dichelachne micrantha,91,87,7.365,NA,Animal vector,0.56,tussock,57.46,1764.986
Dichondra repens,91,87,16.201,NA,Undefined,1.08,flat rosette,21.56,689.712
Distichlis distichophylla,91,87,3.382,7.2,NA,0.452,NA,57.08,10.463
Drosea aberrans,91,87,6.505,NA,Wind,0.27,short basal,94.57,498.307
Droseara peltata. subsp. peltata,91,87,8.408,NA,Wind,0.04,erect leafy,21.31,15.765
Elymus scaber,91,87,13.91,NA,Animal vector,5.2,tussock,68.19,1256.792
Eryngium ovinum,91,87,8.255,NA,Undefined,1.95,NA,21.64,1319.834
Euchiton collinus,91,87,30.857,NA,Wind,0.02,semi basal,19.01,441.263
Gamochaeta purpurea,91,87,82.58,NA,NA,0.02,erect leafy,8.668,121.94
Geranium retrorsum,91,87,15.127,NA,Undefined,0.54,erect leafy,30.03,194.063
Glycine latrobeana,91,87,5.77,NA,Undefined,NA,NA,81.26,90.499
Gonocarpus tetragynous,91,87,8.258,NA,Undefined,0.5,erect leafy,39.14,42.482
Goodenia blackiana,91,87,8.033,NA,Ant,3.44,semi basal,5.16,52.822
Goodenia geniculata,91,87,9.814,NA,Ant,2.99,semi basal,22.66,257.242
Goodenia pinnatifida,91,87,6.526,NA,Ant,3.27,semi basal,33.99,87.489
Haloragis heterophylla,91,87,10.52,5.6,Undefined,NA,erect leafy,18.07,67.74
Hydrocotyle foveolata,91,87,59.027,NA,Undefined,0.08,short basal,65.67,25.972
Hydrocotyle laxiflora,91,87,20.93,NA,Undefined,0.55,short basal,20.74,1010.237
Hypericum japonicum,91,87,6.067,NA,Wind,0.012,erect leafy,41.97,21.44
Hypoxis vaginata,91,87,NA,NA,Undefined,NA,cushion,NA,NA
Juncus bufonius,91,87,14.306,NA,Mobile,0.008,tussock,18.4,19.934
Kennedia prostrata,91,87,13.401,NA,Ant,19.48,short basal,37.52,1142.718
Lepidosperma congestum,91,87,2.737,15.3,NA,2.66,tussock,46.89,230.716
Leptorhynchos squamatus,91,87,13.768,8.26,Wind,0.04,erect leafy,39.32,45.299
Lomandra filiformis subsp. filiformis,91,87,22.707,NA,Unassisted,3.42,tussock,41.25,229.04
Lomandra nana,91,87,4.137,NA,Undefined,0.638,tussock,56.66,25.764
Luzula meridionalis,91,87,12.537,NA,Undefined,1.837,tussock,61.72,58.426
Microlaena stipoides,91,87,26.211,NA,Undefined,4.97,tussock,34.12,656.587
Neurachne alopecuroidea,91,87,8.612,NA,NA,NA,tussock,23.17,289.99
Opercularia ovaria,91,87,12.605,NA,Undefined,NA,NA,28.76,50.55
Pelargonium rodneyanum,91,87,13.56,NA,Animal vector,3.94,short basal,23.68,814.595
Pimelea humilis,91,87,22.44,NA,Undefined,1.84,dwarf shrub,15.37,18.11
Pink orchid,91,87,6.378,NA,Wind,0.003,NA,81.23,571.95
Plantago gaudichaudiana,91,87,NA,NA,Undefined,NA,NA,NA,NA
Plantago varia,91,87,9.22,NA,NA,1.74,semi basal,17.35,177.595
Poa sieberiana,91,87,NA,NA,Wind,0.33,tussock,NA,NA
Poranthera microphylla,91,87,44.962,NA,Undefined,0.35,NA,66.67,3.597
Pterostylis gibbosa,91,87,12.782,NA,Wind,0.002,NA,15.31,108.224
Ranunculus pachcarpus,91,87,NA,NA,Wind,1.15,erect leafy,NA,NA
Schoenus apogen,91,87,12.78,NA,Animal vector,0.54,cushion,41.14,19.943
Sebaea ovata,91,87,NA,NA,Mobile,0.03,NA,NA,NA
Senecio biserratus,91,87,6.572,43,Wind,0.01,erect leafy,87.96,513.949
Senecio glomeratus,91,87,11.566,41.5,Wind,0.1,erect leafy,26.58,275.486
Sherardia arvensis,91,87,12.53,3.8,NA,1.66,NA,18.02,32.759
Siloxerus multiflorus,91,87,4.67,1.1,NA,NA,NA,33.44,2.024
Solenogyne dominii,91,87,14.902,1,Undefined,0.37,short basal,19.21,211.468
Solenogyne gunnii,91,87,15.652,1,Undefined,0.33,short basal,20.71,318.534
Stylidium graminifolium,91,87,9.92,42.3,Undefined,0.18,NA,32.68,474.187
Thelimytra pauciflora,91,87,3.23,19.2,NA,0.001,NA,49.32,143.22
Themeda triandra,91,87,20.76,51,Animal vector,2.9,tussock,57.73,1574.486
Thysanotus  patersonii,91,87,NA,NA,Undefined,0.87,NA,NA,NA
Thysanotus tuberosus,91,87,2.962,NA,Undefined,0.64,tussock,79.7,164.22
Tricoryne elatoir,91,87,20.831,NA,Undefined,5,erect rosette,23.99,1121.16
Triglochin nana,91,87,16.75,3.1,NA,NA,NA,44.3,22.12
Triptilodiscus pygmaeus,91,87,29.16,2.8,Wind,NA,NA,42.77,38.793
Unknown orchid,91,87,6.386,16.3,Undefined,0.01,NA,64.22,571.95
Viola cleistogamoides,91,87,15.843,4.1,Undefined,NA,NA,28.56,52.916
Vittadinia cuneata,91,87,7.492,18.5,Wind,1.54,erect leafy,14.15,13.3
Wahlenbergia graniticola,91,87,11.829,NA,Mobile,0.012,erect leafy,24.12,36.78
Wahlenbergia stricta,91,87,29.447,NA,Mobile,0.01,erect leafy,12.29,34.159
Wurmbea dioica subsp. dioica,91,87,24.475,10.9,Undefined,NA,NA,17.93,114.679
Arthropodium sp.,91,87,18.517,8.3,Undefined,1.9,tussock,16.28,1761.597
