F3ID,UniqueID,FullID,F3_line,Growth_temp,Parent_temp,Cross_type,F2_mum,Row,Column,Block,Date_first_flower,Dry_biomass_g,Total_repro_stems,Chlorophyll_content,LMA_mg_cm2,Post_hail,phiPSII,fvfm_hot,Tcrit-hot,Tcrit-cold,Total_repro_stems_2,N_all_capsules,Sum_capsule_mass,N_capsules_weighed,Mass_per_capsule,Potential_repro_mass
F3.302.5,1005,1005_F3.302.5,F3.302,Cool,Cold,Selfed,F2.201.7,4,3,1,20200106,6.94,11,40.73,0.935,0,0.38,0.76,45.05,-14.73,,,,,,
F3.302.6,1006,1006_F3.302.6,F3.302,Cool,Cold,Selfed,F2.201.7,3,12,2,20191218,10.21,1,39.03,1.379,0,0.19,0.73,45.9,-13.19,,,,,,
F3.302.7,1007,1007_F3.302.7,F3.302,Cool,Cold,Selfed,F2.201.7,3,20,3,20191230,16.32,18,29.1,0.927,1,0.28,0.72,NA,-11.33,,,,,,
F3.302.8,1008,1008_F3.302.8,F3.302,Cool,Cold,Selfed,F2.201.7,3,13,4,20200122,3.9,4,36.27,0.866,NA,NA,NA,NA,NA,,,,,,
F3.304.5,1013,1013_F3.304.5,F3.304,Cool,Cold,Selfed,F2.261.7,2,10,1,20191230,10.68,12,34.3,NA,0,0.23,0.77,44.3,-12.52,,,,,,
F3.304.6,1014,1014_F3.304.6,F3.304,Cool,Cold,Selfed,F2.261.7,1,14,2,20191227,11.65,47,32.4,0.977,0,0.23,0.73,44.37,-7.4,,,,,,
F3.304.7,1015,1015_F3.304.7,F3.304,Cool,Cold,Selfed,F2.261.7,3,3,3,no flower,NA,0,NA,NA,NA,NA,NA,NA,NA,,,,,,
F3.304.8,1016,1016_F3.304.8,F3.304,Cool,Cold,Selfed,F2.261.7,5,19,4,20191223,NA,6,NA,NA,NA,NA,NA,NA,NA,,,,,,
F3.430.5,1021,1021_F3.430.5,F3.430,Cool,Cold,Outcrossed,F2.261.7,1,6,1,20191223,8.05,26,27.77,0.9,0,0.24,0.72,46.7,-13.84,,,,,,
F3.430.6,1022,1022_F3.430.6,F3.430,Cool,Cold,Outcrossed,F2.261.7,2,16,2,20191227,9.86,20,29.27,0.804,0,0.17,0.73,42.32,-14.47,,,,,,
F3.430.7,1023,1023_F3.430.7,F3.430,Cool,Cold,Outcrossed,F2.261.7,5,1,3,20191223,6.48,18,33.03,0.681,0,0.17,0.65,41.34,-15.44,,,,,,
F3.430.8,1024,1024_F3.430.8,F3.430,Cool,Cold,Outcrossed,F2.261.7,2,15,4,20191227,14.67,75,20.07,1.088,NA,NA,NA,NA,NA,,,,,,
F3.454.5,1029,1029_F3.454.5,F3.454,Cool,Cold,Outcrossed,F2.228.6,5,20,1,20191223,12.54,29,26.8,0.906,0,0.17,0.72,47.75,-10.95,,,,,,
F3.454.6,1030,1030_F3.454.6,F3.454,Cool,Cold,Outcrossed,F2.228.6,4,25,2,20191225,12.79,19,35.07,1.51,0,0.39,0.74,43.38,-16.14,,,,,,
