BloomfieldID,Country,Biome,Site,Latitude,Longitude,AbsLatitude,AbsLongitude,Altitude,Calc_Atm_Press,Responsible,Species_1,Family,Genus,Sp,PFTLPJ,PFTSheffield,PFTJULES,PFTWright,PFTJULES-2,PFTExeter,Date,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdarka,LfT_Rdark,Am_sat,Rdarkm,AN_sat,RdarkN,AP_sat,RdarkP,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,RdarkN_25C_FixedQ10,RdarkP_25C_FixedQ10,Rdarka_MeasMonth-T_fixedQ10,Rdarkm_MeasMonth-T_fixedQ10,RdarkN_MeasMonth-T_fixedQ10,RdarkP_MeasMonth-T_fixedQ10,Rdarka_TWQ-T_FixedQ10,Rdarkm_TWQ-T_FixedQ10,RdarkN_TWQ-T_FixedQ10,RdarkP_TWQ-T_FixedQ10,Rdarka_MaxT-WM_FixedQ10,Rdarkm_MaxT-WM_FixedQ10,RdarkN_MaxT-WM_FixedQ10,RdarkP_MaxT-WM_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,RdarkN_25C_varQ10,RdarkP_25C_varQ10,Rdarka_MeasMonth-T_varQ10,Rdarkm_MeasMonth-T_varQ10,RdarkN_MeasMonth-T_varQ10,RdarkP_MeasMonth-T_varQ10,Rdarka_TWQ-T_varQ10,Rdarkm_TWQ-T_varQ10,RdarkN_TWQ-T_varQ10,RdarkP_TWQ-T_varQ10,Rdarka_MaxT-WM_varQ10,Rdarkm_MaxT-WM_varQ10,RdarkN_MaxT-WM_varQ10,RdarkP_MaxT-WM_varQ10,LeafNm,LeafPm,N:P,LeafNa,LeafPa,LMA,SLA,Glucose_a,Fructose_a,Sucrose_a,Totalsugars_a,Starch_a,TNC_a,Glucose_m,Fructose_m,Sucrose_m,Totalsugars_m,Starch_m,TNC_m,G*_25,G*_LfT,G*_TWQ,G*_MaxT-WM,G_25,G_LfT,G_TWQ,G_MaxT-WM,Kc_25,Kc_Ea,Kc_LfT,Kc_TWQ,Kc_MaxT-WM,Ko_25,Ko_Ea,Ko_LfT,KoTWQ,KoMaxT-WM,Vcmax_a_LfT,Vcmax_a_25,Vcmax_a_TWQ-T,Vcmax_a_MaxT-WM,Vcmax_m_LfT,Vcmax_m_25,Vcmax_m_TWQ-T,Vcmax_m_MaxT-WM,Aa_sat_LfT_Ci250,Aa_sat_Ci250_25oC_Fixed Q10,Aa_sat_Ci250_TWQ-T_Fixed Q10,Aa_sat_Ci250_MaxT-WM_Fixed Q10,Aa_sat_Ci250_25oC_varQ10,Aa_sat_Ci250_TWQ-T_varQ10,Aa_sat_Ci250_MaxT-WM_varQ10,Am_sat_LfT_Ci250,Am_sat_Ci250_25oC_Fixed Q10,Am_sat_Ci250_TWQ-T_Fixed Q10,Am_sat_Ci250_MaxT-WM_Fixed Q10,Am_sat_Ci250_25oC_varQ10,Am_sat_Ci250_TWQ-T_varQ10,Am_sat_Ci250_MaxT-WM_varQ10,Rdarka/Aa_sat_LfT,Rdarka/Aa_sat_LfT_Ci250,Rdarka/Aa_sat_25oC_Ci250_fixedQ10,Rdarka/Aa_sat_TWQ-T_Ci250_fixedQ10,Rdarka/Aa_sat_25oC_Ci250_varQ10,Rdarka/Aa_sat_TWQ_Ci250_varQ10,Rdarka/Vcmax_LfT,Rdarka/Vcmax_25oC_fixedQ10,Rdarka/Vcmax_TWQ_fixedQ10,Rdarka/Vcmax_MaxT-WM_fixedQ10,Rdarka/Vcmax_25oC_varQ10,Rdarka/Vcmax_TWQ_varQ10,Rdarka/Vcmax_MaxT-WM_varQ10,MAT,MeanDiurnalRange,Isothermality(BIO2/BIO7)(*100),TemperatureSeasonality,MaxTWarmestMonth,MinTofColdestMonth,T-AnnualRange(BIO5-BIO6),MeanTWettestQuarter,MeanTDriestQuarter,MeanTWarmestQuarter,MeanTColdestQuarter,AnnualPrecip,PrecipWettestMonth,PrecipDriestMonth,PrecipSeasonality,PrecipWettestQuarter,PrecipDriestQuarter,PrecipWarmestQuarter,PrecipColdestQuarter,MeasuringmonthmeanT,MeasuringMonthmaxT,MeasuringMonthminT,Monthlyrange,Measuringmonthprec.,ai_yr,pet_yr,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_7,pet_8,pet_9,pet_10,pet_11,pet_12,dup
277,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Acmena graveolens,Myrtaceae,Acmena,graveolens,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40430,16.08,0.3098,264.8,31.126,1.868,28.69,111.9052554,12.99993887,5.42011495,0.62965017,111.4187108,12.9434174,2.23,1.935665,1.389480248,9.669784949,0.468354643,9.627742406,1.282395222,8.924550049,0.432259298,8.885747657,1.69796445,11.81661352,0.572335976,11.76523694,2.416477373,16.81694761,0.814526439,16.74383045,1.46398467,10.18828224,0.493467985,10.14398536,1.370419436,9.537135382,0.461929781,9.495669576,1.726808105,12.01734465,0.58205836,11.96509533,2.309135219,16.06992329,0.778344423,16.00005405,20.64628821,1.004366812,20.55652174,2.966726748,0.144320464,143.6929834,6.959282051,0.741547356,3.830313658,0.659083651,5.230944665,0.509663785,5.74060845,5.160637204,26.65623309,4.586749023,36.40361932,3.546894032,39.95051335,36.9,49.76788354,41.825,51.58596,53.78755695,68.84729544,61.01477879,75.87674564,404,59400,654.4945881,493.0817634,694.6723672,248,36000,332.2280861,279.8328504,344.4431359,110.8943164,65.51441897,81.42195416,118.3410533,771.7448255,455.9333201,566.6383442,823.5687683,16.92502671,14.0868273,15.30491078,17.24875191,14.08788637,15.30530939,17.2473919,117.7860346,98.03420442,106.5111909,120.0389296,98.04157472,106.513965,120.0294649,0.116169154,0.110369102,0.098636848,0.11094246,0.103917978,0.112824123,0.016844867,0.02120877,0.02085389,0.020419603,0.022345992,0.021208139,0.019512546,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
278,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Acmena graveolens,Myrtaceae,Acmena,graveolens,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40430,15.14,0.2956,270,30.61,1.156,29.468,104.4204488,7.972921979,5.660624096,0.432211457,115.4767316,8.817113717,2.23,1.918938,0.807858356,5.571792076,0.302046399,6.161746531,0.745598001,5.142382949,0.278768164,5.686870556,0.987214299,6.80880846,0.369104957,7.529741121,1.404965231,9.690033018,0.525295908,10.71603651,0.863945217,5.958622673,0.323016454,6.589535662,0.809431517,5.582642153,0.30263458,6.17374544,1.016837234,7.013117586,0.380180538,7.755682977,1.354560027,9.342388763,0.506450141,10.33158287,18.44680851,0.904255319,20.4,2.674616746,0.131108664,144.9907579,6.896991331,1.000050509,3.262866759,0.896259673,5.15917694,0.680513507,5.839690448,6.897339688,22.50396375,6.181495194,35.58279863,4.693495761,40.27629439,36.9,48.5797956,41.825,51.58596,47.69711198,61.77452052,54.09564859,67.1208628,404,59400,628.9027541,493.0817634,694.6723672,248,36000,324.2931843,279.8328504,344.4431359,95.81188322,59.1213475,73.47658304,106.7930182,660.8137279,407.7594211,506.7673562,736.5505206,15.06893161,12.70474129,13.80255879,15.55401528,12.7054599,13.80292776,15.5534398,103.9302907,87.62449056,95.19612835,107.2759085,87.62944676,95.19867308,107.2719395,0.076354029,0.076714131,0.063587155,0.071524006,0.067997949,0.073668228,0.012065309,0.01366441,0.013435768,0.013155965,0.014613084,0.013838929,0.012683976,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
279,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Acmena graveolens,Myrtaceae,Acmena,graveolens,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40430,8.234,0.1106,247.6,31.472,1.8,29.244,38.98329118,8.521972811,1.97375011,0.431473184,27.2007437,5.946239818,2.23,1.923754,1.280713305,6.063446645,0.30699636,4.230793582,1.182010773,5.596146485,0.28333664,3.90473307,1.565049712,7.409617274,0.375153879,5.170089397,2.227318256,10.5450809,0.5339045,7.357871389,1.363576293,6.455755609,0.326859225,4.504528694,1.277216406,6.046890826,0.306158127,4.219241694,1.605893817,7.602990804,0.38494451,5.305016533,2.141621025,10.13935341,0.513362246,7.074773452,19.75087474,1.433170049,13.78125,4.171754043,0.302712312,211.2186978,4.734429339,0.873157258,4.844248179,1.578500488,7.295905925,0.586848807,7.882754732,4.133901341,22.93475071,7.473299022,34.54195107,2.778394207,37.32034528,36.9,50.57528422,41.825,51.58596,63.38463367,81.51729486,71.91399409,89.66359084,404,59400,672.1848318,493.0817634,694.6723672,248,36000,337.6417411,279.8328504,344.4431359,67.90792673,38.9683898,48.43029211,70.39000524,321.5052807,184.493088,229.2897959,333.256506,10.15165834,8.378014312,9.102365089,10.25824103,8.378714772,9.102700756,10.25759538,48.06230909,39.66511677,43.09450434,48.56691732,39.66843304,43.09609353,48.56386051,0.218605781,0.177310932,0.152865972,0.171938798,0.162742894,0.176419489,0.026506479,0.032865441,0.032315513,0.031642536,0.034991856,0.033158871,0.030425073,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
280,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Acmena graveolens,Myrtaceae,Acmena,graveolens,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40430,12.32,0.3156,297.8,30.346,2.544,28.82,112.33344460000001,23.19612688,5.913365969,1.221071674,71.0295538,14.66714163,2.23,1.93287,1.872684644,17.07509065,0.898853056,10.79674957,1.728359826,15.75914065,0.829579884,9.964661303,2.288447033,20.86600147,1.098411105,13.19378017,3.256829362,29.69568675,1.563216227,18.77687796,1.977824245,18.03375084,0.949318067,11.40291994,1.851686379,16.883629,0.888774287,10.67568647,2.332052686,21.26359669,1.119340989,13.44518358,3.116502803,28.41619278,1.495862144,17.96784119,18.99653179,1.58150289,12.01169591,2.083415785,0.173448929,109.6734818,9.117974402,0.395396447,3.225276458,0.521267601,4.141940507,0.781373986,4.923314493,3.605214686,29.40798819,4.752904644,37.76610752,7.124547999,44.89065551,36.9,47.97934978,41.825,51.58596,67.66156599,83.77033744,76.76977793,95.80362751,404,59400,616.1664,493.0817634,694.6723672,248,36000,320.2968585,279.8328504,344.4431359,78.161228,49.31846797,61.29346946,89.08572401,712.6720761,449.6845284,558.8722855,812.281351,12.49896538,10.6095672,11.52749921,12.99267399,10.6106934,11.52795335,12.99133396,113.9652464,96.73776216,105.1074428,118.4668688,96.74803081,105.1115836,118.4546505,0.206493506,0.203536847,0.176509052,0.198520684,0.186399151,0.202295465,0.032548107,0.037971266,0.037335903,0.036558376,0.040103116,0.038047327,0.03498319,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
285,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Argyrodendron peralatum,Euphorbiaceae,Argyrodendron,peralatum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40434,15.62,0.2522,253,30.522,1.687142857,30.396,96.21775423,10.39264384,5.856233771,0.632541804,118.8815456,12.84059862,2.23,1.898986,1.094476783,6.741875682,0.41034007,8.32990343,1.010127204,6.222290078,0.378715816,7.687931061,1.337466058,8.238667121,0.501441351,10.17925942,1.903429996,11.7249526,0.713631948,14.48672854,1.193607432,7.352511303,0.447506028,9.084372363,1.119461953,6.895782017,0.419707484,8.520061921,1.401173629,8.631099864,0.525326525,10.66412847,1.857982122,11.4449979,0.696592679,14.14083139,16.42997155,0.809358204,20.3,2.66724325,0.131391293,162.3401016,6.159907441,1.222241761,3.78311869,0.585038013,5.590398464,0.788387743,6.378786207,7.528896118,23.30366097,3.603780009,34.4363371,4.856395527,39.29273262,36.9,48.37908942,41.825,51.58596,49.78865943,65.40140162,56.47198255,70.12833413,404,59400,624.6307855,493.0817634,694.6723672,248,36000,322.9563396,279.8328504,344.4431359,108.2204673,67.27652716,83.61191928,121.5240128,666.6280617,414.4171803,515.0416837,748.5766705,17.11610002,14.46140899,15.71144499,17.70600976,14.46285519,15.71234854,17.70541887,105.4335919,89.08094088,96.78104693,109.0673813,89.08984928,96.78661271,109.0637415,0.108011707,0.098570519,0.075682583,0.085126865,0.08252917,0.089176588,0.015589869,0.016268331,0.015996117,0.015662995,0.017741811,0.016758061,0.015289012,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
286,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Argyrodendron peralatum,Euphorbiaceae,Argyrodendron,peralatum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40434,14.3,0.2508,263.8,30.52,1.60452381,29.55,77.50679716,8.696608493,5.03363258,0.564796037,107.6042112,12.07367265,2.23,1.917175,1.113954503,6.037695503,0.392114523,8.382251441,1.028103806,5.572379942,0.361894882,7.736244694,1.361268105,7.378149015,0.479169474,10.24322942,1.93730415,10.50029649,0.681935475,14.57776818,1.193259956,6.467535479,0.420030223,8.979006735,1.118069733,6.060000278,0.393563093,8.413217599,1.404107974,7.610343492,0.494249206,10.56558958,1.869698927,10.13387241,0.658138282,14.06905443,15.39778598,0.720295203,21.37704918,2.840890703,0.132894427,184.4999474,5.420055746,1.708620921,4.499940025,1.084520948,7.293081893,2.461188123,9.754270017,9.260820639,24.38992579,5.878163994,39.52891042,13.33977683,52.86868725,36.9,48.3745344,41.825,51.58596,51.84034316,66.78896642,58.80281764,73.0779016,404,59400,624.5340047,493.0817634,694.6723672,248,36000,322.9260119,279.8328504,344.4431359,95.2505069,59.22360893,73.60367454,106.9777367,516.2630572,320.9952618,398.9360191,579.8252963,15.06557456,12.7306461,13.83110135,15.58700971,12.7316646,13.83163623,15.58623593,81.65625396,69.00081155,74.96534037,84.48246156,69.00633187,74.96823941,84.47826762,0.112204462,0.106502663,0.087501804,0.098420803,0.093723798,0.101514235,0.016845305,0.018809298,0.018494567,0.018109414,0.020148383,0.019076602,0.017477458,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
287,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Argyrodendron peralatum,Euphorbiaceae,Argyrodendron,peralatum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40434,15.62,0.294,267.4,30.62,1.304087302,29.314,103.9645928,8.679827487,6.352888666,0.530391897,101.2932804,8.456804142,2.23,1.922249,0.922673289,6.14118776,0.375265088,5.983393352,0.85156433,5.667896216,0.346344007,5.522262772,1.127519766,7.504618013,0.458579228,7.311791022,1.604642548,10.68028228,0.652632232,10.40585836,0.983719286,6.547501601,0.400093412,6.379267185,0.92148914,6.133306228,0.374783477,5.975714331,1.158306775,7.709532157,0.471100767,7.511440011,1.544186815,10.27789715,0.628043977,10.01381229,16.36493229,1.02637206,15.94444444,2.458724026,0.154205688,150.2434586,6.655863819,1.795219364,3.362085852,0.525211911,5.682517127,4.314664696,9.997181823,11.94873561,22.37758558,3.495738958,37.82206014,28.71782064,66.53988078,36.9,48.6026384,41.825,51.58596,48.67578011,62.80846465,55.20759939,68.52818092,404,59400,629.3898927,493.0817634,694.6723672,248,36000,324.445399,279.8328504,344.4431359,100.5435993,61.98870135,77.04015817,111.9724227,669.2045047,412.5883545,512.7688013,745.2731966,15.80562323,13.32245696,14.47380802,16.31076746,13.32327723,14.47421018,16.31004355,105.2000758,88.67245926,96.33569514,108.562247,88.67791886,96.33837186,108.5574288,0.083488304,0.082507806,0.069256992,0.077900699,0.073834633,0.08002556,0.012970366,0.01488454,0.014635481,0.014330694,0.015869332,0.015035104,0.013790778,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
288,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Argyrodendron peralatum,Euphorbiaceae,Argyrodendron,peralatum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40434,14.76,0.2598,263.6,30.554,0.867714286,28.286,77.2207128,4.539669082,5.499472234,0.323304243,102.5976809,6.031536139,2.23,1.944351,0.666689737,3.487957771,0.248403909,4.634201958,0.615309022,3.21914643,0.229259816,4.277051406,0.814704257,4.262333564,0.303553078,5.663060119,1.159455607,6.065988376,0.432005008,8.059448266,0.697405538,3.648655336,0.259848401,4.847709408,0.652541182,3.413935987,0.243132257,4.535854467,0.823529306,4.308504068,0.30684123,5.724403591,1.103417614,5.772811294,0.411125646,7.669924683,14.04147699,0.752655539,18.65591398,2.683893903,0.143862901,191.1404268,5.23175561,2.560177978,4.068313178,1.020927248,7.649418404,4.017946659,11.66736506,13.3942255,21.28442029,5.341241858,40.01988765,21.02091497,61.04080262,36.9,48.45200898,41.825,51.58596,45.93361349,58.5015875,52.09186515,64.58463207,404,59400,626.1811469,493.0817634,694.6723672,248,36000,323.4419157,279.8328504,344.4431359,93.84884671,58.18467656,72.31247933,105.1010757,490.9942303,304.408008,378.3212194,549.8631426,14.80563971,12.50167793,13.58176796,15.30483182,12.50206512,13.5818761,15.30420239,77.45948861,65.40572364,71.05649069,80.07113972,65.40774931,71.05705646,80.06784674,0.058788231,0.058607011,0.05332802,0.05998514,0.055783227,0.060634429,0.009245871,0.011458167,0.011266441,0.011031815,0.011986069,0.011388481,0.010498633,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
293,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Castanospermum australe,Fabaceae,Castanospermum,australe,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40423,12.425,0.21325,266,28.83,0.97475,27.9675,140.6787685,11.03634846,4.698135239,0.368572018,95.61117327,7.500763875,2.23,1.95119875,0.768305206,8.698932007,0.290511208,5.912157919,0.709093149,8.028519194,0.268121973,5.45651734,0.938879792,10.63021754,0.355008792,7.224740318,1.336177429,15.12851471,0.50523479,10.28197116,0.799367102,9.050622097,0.302256318,6.15118121,0.747680614,8.465415532,0.282712647,5.753450359,0.944760328,10.69679835,0.357232337,7.269991423,1.267810407,14.35444722,0.479383883,9.755882533,29.94353321,1.47136327,20.35087719,2.644666313,0.129953431,88.32178537,11.32223489,2.531269037,4.099643839,0.496274518,7.127187393,5.954404055,13.08159145,28.65962261,46.41713051,5.618936658,80.69568978,67.41716136,148.1128511,36.9,44.6284804,41.825,51.58596,48.6056962,57.9279996,55.12797247,68.42740511,404,59400,547.4860183,493.0817634,694.6723672,248,36000,298.1581128,279.8328504,344.4431359,72.33412635,51.9221097,64.52930061,93.78877579,818.9839692,587.8743221,730.6158989,1061.89855,12.610388499999999,11.1572332,12.12128523,13.65930489,11.15758268,12.12134954,13.65861947,142.7777807,126.324815,137.2400385,154.6538584,126.3287719,137.2407667,154.6460979,0.078450704,0.077297381,0.068861625,0.077457116,0.071643395,0.077941843,0.013475659,0.014797265,0.014549666,0.014246667,0.015395505,0.014640796,0.01351772,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
294,Australia-FNQ,TrRF_lw,CTC1,-16.1,145.45,16.1,145.45,90,100.2495848,Crous,Castanospermum australe,Fabaceae,Castanospermum,australe,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,40423,12.975,0.157,226.25,29.68,1.9425,28.0475,127.0079251,19.01448127,3.774252173,0.565047002,76.50511162,11.45365544,2.23,1.94947875,1.521300894,14.89150443,0.442525873,8.970119052,1.404056661,13.74383994,0.40842111,8.278806286,1.859051138,18.19762833,0.540772855,10.96161193,2.645729721,25.89816124,0.769607025,15.6001424,1.584923712,15.51428686,0.461032891,9.34526131,1.482574453,14.51242428,0.431260875,8.741774491,1.872785289,18.33206734,0.544767934,11.04259326,2.512187971,24.59096582,0.730761534,14.81273381,33.65114975,1.660123388,20.27027027,3.437767114,0.169596511,102.1589794,9.788664745,3.273495419,2.606404518,0.789677689,6.669577626,3.337049358,10.00662698,32.0431492,25.51322002,7.729890153,65.28625937,32.66525741,97.95151678,36.9,46.4868864,41.825,51.58596,55.10509173,66.79209374,62.51134355,77.77022035,404,59400,585.0776648,493.0817634,694.6723672,248,36000,310.4028597,279.8328504,344.4431359,99.826275999999993,66.64868898,82.83163591,120.3899261,977.1659485,652.4016722,810.8111143,1178.456625,16.58766917,14.33262295,15.57215411,17.55034015,14.33354322,15.57234726,17.54861835,162.3711324,140.297241,152.430596,171.7943959,140.3062492,152.4324866,171.7775418,0.149710983,0.11710506,0.106142532,0.119383043,0.110574454,0.12026352,0.019458805,0.022825669,0.022443733,0.021976338,0.023780268,0.022609541,0.020867095,25.2,8.3,58,20.63,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,24,28.6,19.4,9.2,32,1.393190921,1498,154,133,135,113,98,85,90,107,126,147,151,159,N
