species,fresh_area_mm2,SLA_mm2_mg,location_lat,location_long,latitude (deg),longitude (deg)
Acacia buxifolia,116,3.706565068," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia buxifolia,100.8,3.675707022," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia buxifolia,127.2,4.06868536," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia buxifolia,162.4,3.673012904," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia buxifolia,168,4.049507868," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia dealbata,1306.2,1.937580734," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia dealbata,956.2,2.062822391," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia dealbata,1478.6,1.9028142," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia dealbata,1270.4,2.224597443," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia dealbata,974.6,2.476240978," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia parramattensis,2366.4,2.424186852," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia parramattensis,1988.8,2.436738316," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia parramattensis,3285.6,2.865172497," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia parramattensis,2072,2.464438347," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia parramattensis,2236.8,2.781926887," 34deg35'29.13""S","149deg39'59.02""E",-34.591425,149.6663944
Acacia penninervis,364.2,4.027625498," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia penninervis,322.4,3.920773208," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia penninervis,510.2,3.859085151," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia penninervis,340.8,3.889922092," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia rubida,414.6,4.198319439," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Acacia rubida,476.2,4.226917124," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Acacia rubida,400.6,5.251240314," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Acacia rubida,496.6,5.080254796," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Acacia rubida,423.8,4.647497276," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Acacia verniciflua,248.8,6.116627223," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia verniciflua,324,7.790147314," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia verniciflua,303.2,6.396688018," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia verniciflua,264.8,7.926134036," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Acacia verniciflua,158.4,5.642663513," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Daviesia mimosoides,375.2,4.403463713," 34deg53'56.89""S","149deg 9'52.64""E",-34.89913611,149.1646222
Daviesia mimosoides,370.4,4.673305364," 34deg53'56.89""S","149deg 9'52.64""E",-34.89913611,149.1646222
Daviesia mimosoides,264,3.150163188," 34deg53'56.89""S","149deg 9'52.64""E",-34.89913611,149.1646222
Daviesia mimosoides,217.6,3.875425274," 34deg53'56.89""S","149deg 9'52.64""E",-34.89913611,149.1646222
Daviesia mimosoides,272.8,4.682693546," 34deg53'56.89""S","149deg 9'52.64""E",-34.89913611,149.1646222
Eucalyptus amplifolia,4065,5.2865194," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Eucalyptus amplifolia,4012.8,5.78150056," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Eucalyptus amplifolia,2561.6,7.226332866," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Eucalyptus amplifolia,2617.6,7.061800681," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Eucalyptus amplifolia,4364,5.809587175," 34deg51'54.18""S","149deg58'40.49""E",-34.86505,149.9779139
Eucalyptus dives,732.8,5.814003766," 34deg36'38.53""S","149deg13'13.06""E",-34.61070278,149.2202944
Eucalyptus dives,1510.4,5.943695659," 34deg36'38.53""S","149deg13'13.06""E",-34.61070278,149.2202944
Eucalyptus dives,2051.2,4.749546863," 34deg36'38.53""S","149deg13'13.06""E",-34.61070278,149.2202944
Eucalyptus dives,1412.8,5.603275381," 34deg36'38.53""S","149deg13'13.06""E",-34.61070278,149.2202944
Eucalyptus dives,1645.6,4.416028792," 34deg36'38.53""S","149deg13'13.06""E",-34.61070278,149.2202944
Eucalyptus polyanthemos,2128,5.840264217," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Eucalyptus polyanthemos,2335.2,6.719596442," 34deg51'45.97""S","149deg 9'15.70""E",-34.86276944,149.1543611
Pimelea glauca,28,6.327804035," 34deg37'9.30""S","149deg13'15.76""E",-34.61925,149.2210444
Pimelea glauca,31.6,8.093561957," 34deg37'9.30""S","149deg13'15.76""E",-34.61925,149.2210444
Pimelea glauca,26.2,6.670081862," 34deg37'9.30""S","149deg13'15.76""E",-34.61925,149.2210444
Pimelea glauca,31,6.662237587," 34deg37'9.30""S","149deg13'15.76""E",-34.61925,149.2210444
