Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data
Abutilon otocarpum,7184,,,,,Malvaceae,D,S,S,,,,,,202 sd/g,,hard seed coat,a-heat,,,,,,most of year,all year,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,1,1,1,Q V SA WA NT,various,,,,,1,,,,,,,,,,8CN,,93b,SI,2,1,,,,,,2,2,4,4,5,4
Abutilon oxycarpum,3632,,,,,Malvaceae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,yes,I,,summer-autumn,Dec-May,,,,,,,10-Apr,,,,,,1,1,1,1,-,-,1,1,-,1,1,-,-,Q SA WA NT,RF (dry) F,1,,,1,1,,1,,,,1,,1,,8BD,II-95b,1; 95b,SI,2,1,,,4,10,40,1,1,4,1,1,2
Acacia acanthoclada,3698,E1,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Aug-Oct,Aug-Oct,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,1,V SA WA,Mallee,,,,,,,,,,,,,,1,8C,,,SI,2,1,,,,,,2,2,4,4,5,4
Acacia acinacea,3699,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,average-very good,hard seed coat,heat,,,,I,,Aug-Oct,Aug-Oct,,3,,,,,,,,,,,-,-,-,-,1,1,-,1,1,-,1,-,-,V SA,OW,,,,,,,1,,,,,,1,,8W 8WA,II-38d,38; 48; 93a,SI,2,1,3,,,,,1,1,1,4,5,4
Acacia aculeatissima,3700,,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,good,hard seed coat,heat,,,,,,Aug-Nov,Aug-Nov,,4,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,V,W,,,,,,,1,,,,,,,,,IId-38d; III-67,38; 93a,SI,2,1,4,,,,,2,2,1,4,5,4
Acacia adunca,3701,,,n,,Fabaceae: Mimosoideae,D,S,S,,,soil,,,,,,,,,,,,June–October,Jun-Oct,,,,,,,,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,,DSF W SH,,,,,,1,1,1,,,,,,,,II,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia alpina,3702,,,n,,Fabaceae: Mimosoideae,D,S,S,,,,,,,,,,,,,,,Oct-Nov,Oct-Nov,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V,H W,,,,,,,,,1,,,,,,,,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia aneura,3705,,,,,Fabaceae: Mimosoideae,D,T or S,Sr,"Mortality 46-100%, mean 81%, some basal recovery (HG), Mainly killed, resprouting in about half population at some sites (FO1)",,a-persistent soil,,,,62-100 %,hard seed coat,heat,,,prolific (FO1) / moderate (HG),I,,Mar-May,Mar-May,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,1,1,1,Q SA WA NT,Mulga-OW,,,,,,,,,,,,,1,1,8HG 8FO 8FO(1) 9FO(1) 8PL,,"93a,b; HG; FO(1)",SI,2,1,,,,,,2,1,4,4,5,4
Acacia aulacocarpa,7581,,,,,Fabaceae: Mimosoideae,D,T or S,R,,,a-persistent soil,,,,,hard seed coat,heat,,,yes,I,,Jan-Apr,Jan-Apr,,,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q NT WA,WSF RF,1,1,,,,,,,,,,,,,9B 9HO 9RS,,92; 93b,VSI,2,1,,,,,,1,1,4,4,5,4
Acacia ausfeldii,3708,V,,,,Fabaceae: Mimosoideae,D,S,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Aug-Oct,Aug-Oct,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,-,-,V,W,,,,,,,1,,,,,,,,8CE,,,SI,2,1,,,,,,2,2,4,4,5,4
Acacia baileyana,3710,,,,,Fabaceae: Mimosoideae,D,T or S,S,,,a-persistent soil,ant,,,96%,hard seed coat,heat,,,,T,,Jun-Sep,Jun-Sep,,3,,,,,20-30,,,,,,-,1,-,1,1,1,1,1,1,1,1,-,-,-,Mallee,,,,,,,,,,,,,,1,8BF,II-38d,1; 38; 93b,ST,3,3,3,,20,30,60,1,1,1,2,1,2
Acacia barringtonensis,3712,,,n,,Fabaceae: Mimosoideae,D,S,R,,root buds,,,,,,,,,,,,,Sep-Nov,Sep-Nov,,,3,,,,,,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,,DSF W,,,,,,1,1,,,,,,,,,IV,,VI,2,1,3,,,,,2,2,4,4,5,4
Acacia baueri subsp. baueri,7060,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,I,,Feb-Mar,Feb-Mar,,,,2,5,,,,,,,,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,H,,,,,,,,1,,,,,,,2BW 8B,VIII-39,9; 35,SI,2,1,2,5,,,,1,1,1,4,5,4
Acacia beadleana,11039,,,n,,Fabaceae: Mimosoideae,D,S,R,,basal buds,,,,,,,,,,,,,"All year, peak Jan-Feb",all year,,,3,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,,DSF W H,,,,,,,,1,,,,,,,,V,,VI,2,1,3,,,,,2,2,4,4,5,4
Acacia betchei,3715,,,,,Fabaceae: Mimosoideae,D,S,S,,,persistent soil,,,,,hard seed coat,scarification,,,,,,Nov-Feb,Nov-Feb,,,,,,,,,,,,,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,DSF H,,,,,,,1,1,,,,,,,,II-100,93,SI,2,1,,,,,,1,2,4,4,5,4
Acacia binervata,3716,,,,,Fabaceae: Mimosoideae,D,T,Sr,Resprouting form in northern tablelands (134),basal buds,persistent soil,a-ant,,,,hard seed coat,heat,,,prolific,I,,Aug-Nov,Aug-Nov,,5,,6,10,,20,,,50,,,1,1,1,1,1,-,-,-,-,-,-,-,-,Q,WSF RF,1,1,,,,,,,,,,,,,2BF,VIII-35; II-105; V-134,1; 35; 55; 93b; 98; 105,SI,2,1,5,6,20,,>50,1,1,1,1,1,3
Acacia binervia,3717,,,,,Fabaceae: Mimosoideae,D,T,S,"Has no protected vegetative buds or insulated bark; Mortality 100% after high intensity (100% scorch), 25% after low intensity fire (103)",,persistent soil,,,,,hard seed coat,heat,,,,I,,Aug-Oct,Aug-Oct,,2,,,,minimum stem circumference to survive low intensity fire is 25cm (no survial after high intensity),50-100,,,,,,1,1,1,-,1,1,-,1,-,-,-,-,-,-,DSF H,,,,,,,1,1,,,,,,,2BF,VIII-39; VIII-76; VIII-103; VIII-R41,1; 93b; 103,SI,2,1,2,,50,100,130,1,1,1,2,1,2
Acacia blakei subsp. diphylla,10788,,,c,Acacia diphylla,Fabaceae: Mimosoideae,D,T or S,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,Sep-Nov,Sep-Nov,,,,,,,,,,,,,1,1,-,1,1,-,-,-,-,-,-,-,-,-,DSF RF (dry),1,,,,,,1,,,,,,,,,VIII-74; II-134,,SI,2,1,,,,,,2,2,4,4,5,4
Acacia blakei subsp. diphylla,10788,,,nR,Acacia diphylla,Fabaceae: Mimosoideae,D,S,S,,,soil,,,,,,,,,,,,Aug-Nov,Aug-Nov,,,,,,,,,,,,,1,1,-,1,1,-,-,-,-,-,-,-,-,Q,"dry sclerophyll forest and dry rainforest, on steep slopes",1,,,,,,,,,,,,,,,II,,SI,2,1,,,,,,1,2,4,4,5,4
Acacia blayana,8381,,,,,Fabaceae: Mimosoideae,D,T,S,,,persistent soil,,,,,hard seed coat,heat,,,,I,,Sep-Oct,Sep-Oct,,,,,,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,-,TOF,,,1,,,,1,1,,,,,,,,II-R35,93b; R35,SI,2,1,,,,,,1,1,4,4,5,4
