Scientific Name,Fire Response,Comments on regeneration,Resprout location,Post-fire recruitment,Latitude,Longitude,latitude (deg),longitude (deg),site_name
Acmena smithii,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'33.341""S","153deg35'17.502""E",-28.8592614,153.588195,site_at_-28.8592614_and_153.588195
Acronychia imperforata,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'35.622""S","153deg35'31.787""E",-28.859895,153.5921631,site_at_-28.859895_and_153.5921631
Alphitonia excelsa,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'31.421""S","153deg35'17.447""E",-28.8587281,153.5881797,site_at_-28.8587281_and_153.5881797
Alpinia caerulea,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg44'37.007""S","153deg36'7.44""E",-28.7436131,153.6020667,site_at_-28.7436131_and_153.6020667
Archirhodomyrtus beckleri,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg29'40.4""S","153deg23'34.9""E",-28.4945556,153.3930278,site_at_-28.4945556_and_153.3930278
Callicoma serratifolia,"Resprout, seed","Readily resprouts following complete topkill, post-fire recruitment abundant locally",basal,Post-fire recruitment abundant,"28deg45'05.7""S","153deg35'03.0""E",-28.7515833,153.5841667,site_at_-28.7515833_and_153.5841667
Cissus hypoglauca,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'34.008""S","153deg35'27.611""E",-28.8594467,153.5910031,site_at_-28.8594467_and_153.5910031
Commersonia bartramia,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg19'49.3""S","153deg33'07.0""E",-28.3303611,153.5519444,site_at_-28.3303611_and_153.5519444
Cordyline stricta,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg44'36.672""S","153deg35'52.11""E",-28.74352,153.5978083,site_at_-28.74352_and_153.5978083
Cryptocarya microneura,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg29'42.499""S","153deg23'33.4""E",-28.4951386,153.3926111,site_at_-28.4951386_and_153.3926111
Cryptocarya foetida,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg38'46.9""S","153deg37'38.4""E",-28.6463611,153.6273333,site_at_-28.6463611_and_153.6273333
Cryptocarya rigida,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg29'38.3""S","153deg23'33.9""E",-28.4939722,153.39275,site_at_-28.4939722_and_153.39275
Cryptocarya triplinervis,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'32.67""S","153deg35'31.128""E",-28.859075,153.59198,site_at_-28.859075_and_153.59198
Duboisia myoporoides,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'32.417""S","153deg35'21.84""E",-28.8590047,153.5894,site_at_-28.8590047_and_153.5894
Elaeocarpus obovatus,Resprout,Resprouts following complete topkill,basal,NA,"28deg29'38.299""S","153deg23'33.9""E",-28.4939719,153.39275,site_at_-28.4939719_and_153.39275
Endiandra discolor,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg44'35.339""S","153deg36'3.479""E",-28.7431497,153.6009664,site_at_-28.7431497_and_153.6009664
Euroschinus falcatus,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg29'39.0""S","153deg23'34.6""E",-28.4941667,153.3929444,site_at_-28.4941667_and_153.3929444
Ficus watkinsiana,Resprout,Readily resprouts following complete topkill,basal,NA,"28deg51'33.497""S","153deg35'29.477""E",-28.8593047,153.5915214,site_at_-28.8593047_and_153.5915214
Flagellaria indica,Resprout,Resprouts following complete topkill,basal,NA,"28deg44'34.518""S","153deg35'53.759""E",-28.7429217,153.5982664,site_at_-28.7429217_and_153.5982664
Flindersia schottiana,Resprout,Resprouts following complete topkill,basal,NA,"28deg44'35.711""S","153deg36'5.789""E",-28.7432531,153.6016081,site_at_-28.7432531_and_153.6016081
Glochidion sumatranum,"Resprout, seed",Readily resprouts following complete topkill,"basal, stem buds",NA,"28deg44'35.688""S","153deg35'52.877""E",-28.7432467,153.5980214,site_at_-28.7432467_and_153.5980214
