Species,Conservation Code,Fire response,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Acacia aemula ssp. aemula,P4,OSS,,,,,
Acacia amyctica,P2,,,,,,
Acacia ancistrophylla var.. perarcuata,P3,,,,,,
Acacia arcuatilis,P2,,,,,,
Acacia asepala,P2,,,,,,
Acacia ataxiphylla ssp. ataxiphylla,P3,,,,,,
Acacia bifaria,P3,,,,,,
Acacia brachyphylla var.. recurvata,P3,,,,,,
Acacia declinata,P3,,,,,,
Acacia depressa,R,,,,,,
Acacia diaphana,P1,,,,,,
Acacia dictyoneura,P4,OSS,,,,,
Acacia diminuta,P1,,,,,,
Acacia dissona var.. indoloria,P3,,,,,,
Acacia disticha,P3,OSS?,,,,,
Acacia drummondii ssp. elegans Porongurup variant (R.J. Cumming 938),P4,OSS,,,,,
Acacia empelioclada,P4,,,,,,
Acacia errabunda,P3,?OSS,,,,,
Acacia euthyphylla,P3,,,,,,
Acacia glaucissima,P3,,,,,,
Acacia grisea,P4,,,,,,
Acacia heterochroa ssp. robertii,P2,,,,,,
Acacia heteroclita ssp. valida,P2,OSS,,,,,
Acacia hystrix ssp. continua,P1,,,,,,
Acacia improcera,P3,,,,,,
Acacia incanicarpa,P2,RS,,,,,
Acacia laricina var.. crassifolia,P3,OSS,,,,,
Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),P2,OSS?,,,,,
Acacia microneura,P1,,,,,,
Acacia moirii ssp. dasycarpa,P4,OSS?,,,,,
Acacia mutabilis ssp. incurva,P2,OSS,,,,,
Acacia mutabilis ssp. rhynchophylla,P3,,,,,,
Acacia newbeyi,P3,,,,,,
Acacia nitidula,P2,,,,,,
Acacia papulosa,P2,,,,,,
Acacia phlebopetala var.. pubescens,P2,,,,,,
Acacia pinguiculosa ssp. pinguiculosa,P4,OSS?,,,,,
Acacia prismifolia,X,,,,,,
Acacia rhamphophylla,R,OSS,,,,,
Acacia singula,P3,,,,,,
Acacia sp. Esperance (M.A. Burgman 1833b),P1,,,,,,
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),P1,,,,,,
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),P1,,,,,,
Acacia subtiliformis,P3,,,,,,
Acacia truculenta,P3,,,,,,
Acacia trulliformis,R,OSS,,,,,
Acacia undosa,P3,,,,,,
