trait_name,find,replace
habitat,banksia shrublands,shrubland
habitat,banksia shrublands / mallee shrublands,shrubland mallee
habitat,closed forest,forest
habitat,granite shrubland /mallee heath,shrubland mallee heath
habitat,heathland,heath
habitat,low woodland,woodland
habitat,mallee heath / banksia shrublands,mallee heath shrubland
habitat,mallee over melaleuca shrubland,mallee shrubland
habitat,mallee shrublands,mallee shrubland
habitat,mallee woodland/ shrubland,mallee woodland shrubland
habitat,mallee-heath,mallee_heath
habitat,mallee-thicket,mallee thicket
habitat,mallet / moort woodland,mallet woodland
habitat,mallet /heath,mallet heath
habitat,mallet woodland / shrubland,mallet shrubland
habitat,melaleuca thicket,thicket
habitat,moort forest,forest
habitat,open - closed forest,open_forest closed_forest
habitat,open woodland,open_woodland
habitat,open woodland over heathland,open_woodland heath
habitat,sedgelands,sedgeland
habitat,shrubland / fringing open woodland,shrubland open_woodland
habitat,shrubland over closed sedgeland,shrubland sedgeland
habitat,shrubland- heathland - sedgeland,shrubland heath sedgeland
habitat,shrublands,shrubland
habitat,thicket/ mallee thicket,thicket mallee
habitat,tree mallee shrubland,mallee shrubland
habitat,wet heath,wet_heath
habitat,woodland / low forest,woodland low_forest
habitat,woodland/ mallee,woodland mallee
habitat,woodland/ mallet /granite shrubland,woodland mallet shrubland
habitat,woodland/ shrubland,woodland shrubland
habitat,woodland/ thickets,NA
habitat,woodland/shrubland,woodland shrubland
habitat,woodlands,woodland
