original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
"Acacia drummondii ssp. elegans Porongurup variant (R.J.
Cumming 938)",Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),Acacia drummondii subsp. elegans Porongurup variant (R.J.Cumming 938),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
"Acacia leioderma Fitzgerald River N.P. variant (A.S.
George 9922)",Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Caustis sp. Boyanup (G.S. McCutcheon 1706),Caustis sp. Boyanup (G.S. McCutcheon 1706),Caustis sp. Boyanup (G.S.McCutcheon 1706),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Chamaluacium floriferum floriferum,Chamaluacium floriferum floriferum,Chamelaucium floriferum subsp. floriferum,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Darwinia sp. Mt Ragged (S. Barrett 663),Darwinia sp. Mt Ragged (S. Barrett 663),Darwinia sp. Mt Ragged (S.Barrett 663),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Eremophila glabra ssp. Scaddan (C. Turley s.n. 10/11/2005),Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Gastrolobium sp. East Peak (E.D. Middleton EDM 43),Gastrolobium sp. East Peak (E.D. Middleton EDM 43),Gastrolobium sp. East Peak (E.D.Middleton EDM 43),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Gonocarpus benthamii ssp. Stirling (C.J. Robinson 1080),Gonocarpus benthamii subsp. Stirling (C.J. Robinson 1080),Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Lasiopetalum sp. Denmark (B.G. Hammersley 2012),Lasiopetalum sp. Denmark (B.G. Hammersley 2012),Lasiopetalum sp. Denmark (B.G.Hammersley 2012),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
Latrobea colophona,Latrobea colophona,Latrobea colophon,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-11),match_05a_fuzzy_accepted_canonical_name
