Species,psi50eaf (Mpa),Ks_petiole (Kg m-1 s-1 MPa-1),XLApetiole (cm2 m-2),Dh (um),FWA (%),LMA (g m-2),LA (cm2),WD (g m-3),Site,Lat.,Long.,MAT (°C),MAP (mm),Elv. (m),Site_name
Angophora costata,-3.74*,0.35 ± 0.03,0.65 ± 0.06,10.3 ± 0.8,91.0 ± 0.4,179.1 ± 10.4,20.4 ± 1.6,0.60 ± 0.01,Mainland Aus.,-32.778,150.922,16.6,779,310,site_at_-32.778_lat_and_150.922_long
Corymbia citriodora,-3.78*,0.86 ± 0.33,0.75 ± 0.08,12.5 ± 1.5,87.9 ± 1.9,116.5 ± 10.8,14.6 ± 4.1,0.61 ± 0.04,Mainland Aus.,-18.295,145.493,21.3,1139,677,site_at_-18.295_lat_and_145.493_long
Eucalyptus amygdalina,-4.60 ± 0.3,0.18 ± 0.03,1.14 ± 0.06,8.6 ± 0.4,94.2 ± 0.3,200.6 ± 8.2,9.2 ± 0.6,0.64 ± 0.02,Tasmania,-42.999,147.299,11.9,726,63,site_at_-42.999_lat_and_147.299_long
Eucalyptus archeri,-5.66 ± 0.1,0.15 ± 0.04,1.68 ± 0.10,9.8 ± 0.6,96.6 ± 0.4,256.3 ± 29.2,10.1 ± 0.5,0.64 ± 0.04,Tasmania,-41.724,146.724,5,1516,1092,site_at_-41.724_lat_and_146.724_long
Eucalyptus barberi,-4.06 ± 0.4,0.44 ± 0.06,1.12 ± 0.06,12.1 ± 0.6,92.7 ± 0.5,278.3 ± 28.0,10.7 ± 1.3,0.73 ± 0.01,Tasmania,-41.98,148.14,11.9,739,180,site_at_-41.98_lat_and_148.14_long
Eucalyptus coccifera,-4.80 ± 0.2,0.10 ± 0.02,1.16 ± 0.10,7.8 ± 0.7,96.5 ± 0.4,273.5 ± 8.4,9.3 ± 0.5,0.61 ± 0.01,Tasmania,-42.885,147.221,5.3,960,1102,site_at_-42.885_lat_and_147.221_long
Eucalyptus dalrympleana,-5.04 ± 0.4,0.47 ± 0.11,0.80 ± 0.11,11.2 ± 0.8,92.3 ± 0.7,208.7 ± 8.4,25.3 ± 3.3,0.70 ± 0.01,Tasmania,-42.799,146.923,9.2,815,355,site_at_-42.799_lat_and_146.923_long
Eucalyptus globulus,-5.08 ± 0.2,0.70 ± 0.12,1.26 ± 0.13,12.6 ± 0.5,90.2 ± 1.2,301.2 ± 14.5,40.1 ± 6.9,0.69 ± 0.02,Tasmania,-42.677,147.404,12,559,90,site_at_-42.677_lat_and_147.404_long
Eucalyptus gunnii,-6.38 ± 0.6,0.20 ± 0.05,1.66 ± 0.11,9.4 ± 0.8,95.0 ± 0.6,246.6 ± 3.9,11.4 ± 2.0,0.67 ± 0.01,Tasmania,-41.796,146.677,6.2,1408,1053,site_at_-41.796_lat_and_146.677_long
Eucalyptus johnstonii,-4.76 ± 0.4,0.33 ± 0.14,1.46 ± 0.04,11.0 ± 1.1,94.9 ± 0.8,297.0 ± 12.0,18.4 ± 3.4,0.76 ± 0.01,Tasmania,-42.916,147.25,9,1127,694,site_at_-42.916_lat_and_147.25_long
Eucalyptus nitida,-3.68 ± 0.2,0.27 ± 0.07,0.74 ± 0.04,10.3 ± 0.8,93.9 ± 0.7,257.0 ± 7.0,10.9 ± 1.7,0.68 ± 0.01,Tasmania,-42.712,146.47,7.8,1512,654,site_at_-42.712_lat_and_146.47_long
Eucalyptus obliqua,-4.62 ± 0.2,0.41 ± 0.08,1.00 ± 0.08,11.7 ± 0.4,93.5 ± 0.5,205.2 ± 8.1,38.0 ± 5.3,0.66 ± 0.04,Tasmania,-42.883,147.284,11,869,218,site_at_-42.883_lat_and_147.284_long
Eucalyptus pulchella,-5.25 ± 0.2,0.07 ± 0.03,1.64 ± 0.26,6.9 ± 0.5,96.3 ± 0.9,206.9 ± 8.7,3.3 ± 0.3,0.71 ± 0.02,Tasmania,-42.906,147.323,12,671,70,site_at_-42.906_lat_and_147.323_long
