Species,Site,Lat.,Long.,MAT (°C),MAP (mm),Elv. (m),Site_name
Angophora costata (Gaertn.) Britten,Mainland Aus.,-32.778,150.922,16.6,779,310,site_at_-32.778_lat_and_150.922_long
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Mainland Aus.,-18.295,145.493,21.3,1139,677,site_at_-18.295_lat_and_145.493_long
Eucalyptus amygdalina Labill.,Tasmania,-42.999,147.299,11.9,726,63,site_at_-42.999_lat_and_147.299_long
Eucalyptus archeri Maiden & Blakely,Tasmania,-41.724,146.724,5,1516,1092,site_at_-41.724_lat_and_146.724_long
Eucalyptus barberi L.A.S.Johnson & Blaxell,Tasmania,-41.98,148.14,11.9,739,180,site_at_-41.98_lat_and_148.14_long
Eucalyptus coccifera Hook.f.,Tasmania,-42.885,147.221,5.3,960,1102,site_at_-42.885_lat_and_147.221_long
Eucalyptus dalrympleana Maiden,Tasmania,-42.799,146.923,9.2,815,355,site_at_-42.799_lat_and_146.923_long
Eucalyptus globulus Labill.,Tasmania,-42.677,147.404,12,559,90,site_at_-42.677_lat_and_147.404_long
Eucalyptus gunnii Hook.f.,Tasmania,-41.796,146.677,6.2,1408,1053,site_at_-41.796_lat_and_146.677_long
Eucalyptus johnstonii Maiden,Tasmania,-42.916,147.25,9,1127,694,site_at_-42.916_lat_and_147.25_long
Eucalyptus nitida Hook.f.,Tasmania,-42.712,146.47,7.8,1512,654,site_at_-42.712_lat_and_146.47_long
Eucalyptus obliqua L'Hér.,Tasmania,-42.883,147.284,11,869,218,site_at_-42.883_lat_and_147.284_long
Eucalyptus pulchella Desf.,Tasmania,-42.906,147.323,12,671,70,site_at_-42.906_lat_and_147.323_long
Eucalyptus punctata DC.,Mainland Aus.,-32.778,150.922,16.6,779,310,site_at_-32.778_lat_and_150.922_long
Eucalyptus regnans F.Muell.,Tasmania,-42.927,147.254,9.9,1044,432,site_at_-42.927_lat_and_147.254_long
Eucalyptus risdonii Hook.f.,Tasmania,-42.827,147.33,12,627,110,site_at_-42.827_lat_and_147.33_long
Eucalyptus socialis F.Muell. ex Miq.,Mainland Aus.,-32.976,146.156,17.9,383,180,site_at_-32.976_lat_and_146.156_long
Eucalyptus sparsifolia Blakely,Mainland Aus.,-32.778,150.922,16.6,779,310,site_at_-32.778_lat_and_150.922_long
Eucalyptus tenuiramis Miq.,Tasmania,-42.385,147.05,9.6,552,430,site_at_-42.385_lat_and_147.05_long
Eucalyptus vernicosa Hook.f.,Tasmania,-42.717,146.462,7.5,1552,877,site_at_-42.717_lat_and_146.462_long
Eucalyptus viminalis ,Tasmania,-42.918,147.346,11.5,784,100,site_at_-42.918_lat_and_147.346_long
