Species,Spring1_glasshouse,Spring1_outdoors,Summer_glasshouse,Summer_outdoors,Autumn_glasshouse,Autumn_outdoors,Winter_glasshouse,Winter_outdoors,Spring2_glasshouse,Spring2_outdoors
Alternanthera denticulata,x,x,x,x,x,x,x,x,x,x
Brachycome radicans,x,x,N,N,N,x,x,x,x,x
Centipeda minima,x,x,x,x,x,x,x,x,x,x
Conyza sp.,N,N,N,N,N,x,x,N,N,N
Crassula helmsii,N,x,N,N,N,x,x,x,x,x
Damasonium minus,N,N,x,N,x,N,N,N,N,N
Elatine gratioloides,x,x,x,x,x,x,x,x,x,x
Geranium sp.,x,x,N,N,N,N,N,N,x,N
Gnaphalium sp.,x,x,x,N,x,x,x,x,x,x
Gratiola peruviana,N,x,N,N,N,N,N,N,N,N
Hydrocotyle tripartita,x,x,x,N,x,x,x,x,x,x
Hypericum japonicum,x,x,x,x,x,x,x,x,x,x
Isotoma fluviatilis,x,x,x,x,x,x,x,x,x,x
Lilaeopsis polyantha,x,x,N,N,N,N,N,x,x,x
Limosella australis,x,x,x,x,x,x,x,x,x,x
Lythrum hyssopifolia,N,N,x,x,N,N,N,N,N,N
Modiola caroliniana,N,N,N,x,x,x,x,x,x,N
Myriophyllum variifolium,x,x,x,x,x,x,x,x,x,x
Myriophyllum verrucosum,x,x,x,x,x,x,x,N,x,x
Nymphoides geminata,x,x,x,x,x,x,x,x,x,x
Persicaria hydropiper,x,x,x,N,x,x,x,x,x,N
Persicaria lapathifolia,N,x,N,x,N,x,x,x,x,N
Polygonum arviculare,N,x,N,x,x,x,x,x,N,x
Polygonum plebeium,N,x,N,x,x,x,N,x,x,x
Polygonum prostratum,N,N,N,N,x,x,N,N,x,N
Portulaca oleracea,N,x,N,N,N,N,N,N,N,N
Ranunculus inundatus,x,x,N,N,x,x,x,x,x,x
Rorippa palustris,x,x,x,x,x,x,x,x,x,x
Rumex crispus,x,x,N,x,x,x,x,x,x,x
Stellaria angustifolia,x,N,N,N,x,N,x,N,x,x
Trifolium spp.,x,x,x,N,x,x,x,x,x,x
Utricularia australis,x,x,x,x,x,x,x,x,x,x
Utricularia dichotoma,x,x,x,N,x,x,x,x,x,x
Carex sp.,x,x,x,N,x,x,N,x,N,N
Cyperus sanguinolentus,x,x,x,x,x,x,x,x,x,x
Cyperus sp.,N,N,x,N,N,N,N,N,x,x
Eleocharis acuta,x,x,x,x,x,x,x,x,x,x
Eleocharis dietrichiana,x,x,x,x,x,x,x,x,x,x
Eleocharis pusilla,x,x,x,x,x,x,x,x,x,x
Eleocharis sphacelata,x,x,x,x,N,N,N,x,N,x
Isolepis sp.,x,x,x,x,x,x,x,x,x,x
Isolepis fluitans,N,N,x,N,N,N,N,N,N,N
Juncus articulatus,x,x,x,x,x,x,x,x,x,x
Juncus bufonius,x,x,x,x,x,x,x,x,x,x
Juncus holoschoenus,x,x,x,x,x,x,x,x,x,x
Juncus sp.,x,x,x,x,x,x,x,x,x,x
Lipocarpha microcephala,x,x,x,x,x,x,x,x,x,x
Potamogeton ochreatus,N,N,N,N,N,N,N,x,N,N
Potamogeton tricarinatus,N,N,N,N,x,N,x,x,N,N
Typha orientalis,x,x,x,x,x,x,x,x,x,x
Vallisneria gigantea,x,N,x,N,x,x,x,N,N,x
Agrostis avenacea var avenacea,x,x,x,x,x,x,x,x,x,x
Amphibromus sp.,x,x,x,x,x,x,x,x,x,x
Eragrostis trachycarpa ,x,N,x,N,x,N,x,x,x,x
Glyceria australis,N,x,x,x,x,x,x,x,x,x
Panicum gilvum,x,x,x,x,x,x,x,x,x,x
Panicum obseptum,N,N,N,N,N,N,N,x,N,N
Panicum schinzii,x,N,N,N,N,N,N,N,N,N
Schoenus apogon,x,x,x,N,x,x,x,x,x,x
Chara spp.,x,N,x,N,x,x,x,N,x,x
Nitella spp.,x,x,x,x,x,x,x,N,x,x
Azolla filiculoides,N,N,x,N,x,x,x,N,N,N
Isoetes drummondii,x,x,x,x,x,x,x,N,x,x
Marsilea hirsuta,N,N,N,x,x,x,N,N,N,N
