Taxon_ALA,Latitude,Longitude,source,ldmc,lma,lamina_size,thickness,sala,wood_dens,N_percent,dC13,delta,cica,Narea,MAP,MAT
Eucalyptus notactites,-33.98194444,122.2155556,CCA,495.0651628,366.4244452,1643.375133,63.75,2.034971413,0.716666667,0.907,-28.67,21.28010048,0.746907101,3.323469718,747.5,16.15
Eucalyptus stoatei,-33.72583333,120.3908333,CCA,558.823227,463.4949025,1630.688067,78.66666667,3.343203946,0.786666667,0.563,-27.62,20.17729694,0.698110484,2.609476301,459.9,16.25
Eucalyptus clivicola,-33.70083333,120.1877778,CCA,415.8892128,334.6124031,1134.8244,58.625,2.074080811,0.785,0.621,-28.75,21.36422136,0.750629264,2.077943023,417.3,16.15
Eucalyptus newbeyi,-34.45333333,118.8758333,CCA,437.9128034,182.6760935,670.798,35.83333333,1.653501668,0.726666667,1.266,-28.42,21.01731201,0.735279292,2.312679344,492.1,16.15
Eucalyptus utilis,-34.45333333,118.8758333,CCA,509.5549946,260.6097701,976.3074667,53.66666667,2.651655229,0.78,1.083,-27.52,20.07239223,0.693468683,2.822403811,492.1,16.15
Eucalyptus wandoo wandoo,-32.35361111,118.0691667,CCA,505.2691266,265.0658021,1285.888333,48.16666667,1.802614668,0.676666667,1.284,-27.38,19.92556188,0.686971765,3.403444899,327,17.15
Eucalyptus porosa,-32.98583333,135.5469444,CCA,502.0301695,243.3402726,946.9488667,42.83333333,2.189682194,0.733333333,1.429,-27.65,20.20877256,0.699503211,3.477332495,338.7,16.75
Eucalyptus amplifolia amplifolia,-35.09472222,150.1155556,CCA,463.8696107,214.99769,3890.18145,40.83333333,1.618438106,0.586666667,1.462,-28.2,20.78616999,0.72505177,3.143266227,834.1,13.35
Eucalyptus aquatica,-34.65722222,150.2169444,CCA,476.2595483,239.0791842,1018.162733,46.66666667,2.456312404,0.666666667,1.696,-29.04,21.66927577,0.764127246,4.054782964,853.6,13.45
Eucalyptus paniculata matutina,-32.73333333,152.1791667,CCA,510.7999453,208.4532252,1368.088733,34.25,1.763762121,0.69,1.191,-27.72,20.28222323,0.70275324,2.482677913,1396.4,18.45
Eucalyptus parramattensis decadens,-32.78305556,151.8872222,CCA,512.6028432,229.9243511,1634.4332,45.33333333,1.097850969,0.553333333,1.03,-28.01,20.58663155,0.716222635,2.368220816,1137.2,18.25
Eucalyptus fusiformis,-30.9025,152.8533333,CCA,501.3687403,158.4746767,2198.603067,27.5,1.187804022,0.66,1.323,-27.98,20.55513261,0.714828877,2.096619973,1253.7,17.75
Eucalyptus ancophila,-30.81638889,152.8533333,CCA,486.4843039,174.7083173,2458.0304,29.25,1.046052025,0.67,1.197,-27.06,19.59010833,0.672128687,2.091258558,1243,18.05
Eucalyptus banksii,-30.40166667,151.7011111,CCA,530.6693804,272.4929702,2417.259733,54.16666667,1.133045107,0.636666667,1.293,-27.53,20.08288173,0.69393282,3.523334105,751.9,12.95
Eucalyptus mckieana,-29.98333333,151.4616667,CCA,451.994901,195.2571218,2043.0726,43.75,1.870279106,0.585,1.361,-26.58,19.08734154,0.649882369,2.657449428,931.6,12.85
Eucalyptus fibrosa,-29.30222222,152.6447222,CCA,531.0039899,235.7397277,2129.860067,38.33333333,1.307537765,0.64,1.138,-28.76,21.37473745,0.751094577,2.682718102,1141.8,18.15
Eucalyptus prava,-28.875,151.975,CCA,513.5122427,201.6502332,1345.8395,37.25,1.240096558,0.565,1.606,-28.32,20.91223448,0.730629844,3.238502744,899.1,13.45
Eucalyptus sideroxylon,-28.90083333,151.9077778,CCA,510.0482059,197.9863342,1530.954267,34.66666667,1.194278573,0.623333333,1.136,-29.76,22.42744063,0.797674364,2.249124756,767.8,14.95
Eucalyptus populnea,-27.11666667,150.6933333,CCA,503.3587276,195.9775447,1867.670267,33.33333333,1.708644023,0.676666667,1.363,-27.83,20.39766707,0.707861375,2.671173935,632.8,19.25
Eucalyptus elegans,-27.11666667,150.6933333,CCA,506.828764,184.7130845,909.9296667,37.83333333,1.548117924,0.67,1.307,-29.58,22.23779394,0.789282918,2.414200014,632.8,19.25
Eucalyptus woollsiana,-27.15111111,150.6586111,CCA,481.0008204,225.6013929,903.7128,39.58333333,1.963680817,0.696666667,1.422,-27.04,19.56914981,0.671201319,3.208051807,627.2,19.45
Eucalyptus panda,-27.1325,150.4833333,CCA,476.6773101,202.0121866,1743.247333,39.33333333,1.535496354,0.646666667,1.168,-29.81,22.48013276,0.800005874,2.359502339,682,19.15
Eucalyptus fibrosa nubilis,-27.05611111,150.5094444,CCA,500.0833509,235.0362577,2621.105933,40.33333333,1.138906811,0.686666667,1.222,-28.83,21.44835611,0.75435204,2.872143069,663.6,19.45
Eucalyptus argophloia,-26.63111111,150.7347222,CCA,453.8247588,193.2073581,983.6866667,37.66666667,1.296723724,0.633333333,1.295,-27.62,20.17729694,0.698110484,2.502035287,634.8,19.75
Eucalyptus dura,-26.3525,150.8680556,CCA,501.4470465,220.6225321,1885.835867,38,1.419908983,0.703333333,0.965,-28.45,21.04883948,0.736674313,2.129007435,713.6,19.05
Eucalyptus orgadophila,-24.57694444,148.9005556,CCA,486.517624,176.9243647,1406.3788,37.5,1.035494199,0.67,1.112,-28.15,20.73365231,0.722727978,1.967398936,684.2,21.35
Eucalyptus siderophloia,-26.13555556,152.5805556,CCA,469.5470661,165.2835987,1591.993,36.5,1.253913316,0.66,1.253,-28.27,20.85970383,0.728305479,2.071003492,1091.6,20.15
Eucalyptus kabiana,-26.895,152.8808333,CCA,489.6543489,210.0397189,966.3085333,37,2.247315026,0.69,1.403,-27.34,19.88361812,0.685115846,2.946857256,1409.3,18.95
Eucalyptus dealbata,-30.13972222,150.0677778,CCA,411.8745013,190.360774,1328.152267,38.66666667,2.258142114,0.555,1.327,-28.35,20.94375547,0.732024578,2.526087471,762.4,15.75
Eucalyptus vicina,-31.55111111,146.6913889,CCA,486.5019936,207.174031,1364.8716,43,1.738655948,0.646666667,1.464,-27.97,20.5446334,0.71436431,3.033027814,423.5,18.35
Eucalyptus viridis,-31.56027778,146.5091667,CCA,489.3034101,271.9487908,478.3984667,46.33333333,2.699707367,0.733333333,1.317,-27.15,19.68443234,0.676302316,3.581565575,450.6,17.95
Eucalyptus caleyi caleyi,-32.40361111,150.2280556,CCA,488.5552991,212.5463698,1575.8987,37.625,1.476001839,0.655,1.027,-27.76,20.32419979,0.70461061,2.182851217,656,17.05
Eucalyptus conica,-32.40388889,150.2222222,CCA,486.4325954,210.0893027,585.1764667,32.83333333,2.085719316,0.68,1.54,-26.77,19.28629409,0.658685579,3.235375262,664.9,16.95
Eucalyptus melliodora,-32.71222222,149.9661111,CCA,489.6302521,171.6062938,1198.213133,32,0.858049089,0.66,1.383,-27.31,19.85216256,0.683724007,2.373315043,765.6,14.25
Eucalyptus behriana,-34.35388889,138.7869444,CCA,535.254832,252.2858266,1751.463467,46.16666667,1.511045976,0.773333333,1.17,-28.63,21.23804524,0.745046249,2.951744171,456.1,16.15
Eucalyptus odorata,-35.69305556,137.5311111,CCA,511.4928173,267.1289104,701.5719333,40.91666667,2.471676075,0.733333333,1.128,-28.04,20.61813243,0.717616479,3.013214109,461.6,15.65
Eucalyptus camaldulensis camaldulensis,-35.69722222,137.5225,CCA,498.0322369,181.4327893,1460.175667,30.66666667,1.123535897,0.58,1.555,-27.26,19.79974094,0.681404466,2.821279873,461.2,15.65
Eucalyptus albopurpurea,-35.74694444,137.6383333,CCA,539.2514512,311.3311203,355.4958667,54.23333333,3.318707748,0.71,0.963,-27.35,19.8941,0.6855796,2.997925,492,15.55
Eucalyptus petiolaris,-34.48583333,135.8575,CCA,511.4555212,239.4810461,1534.876,43,1.404509188,0.62,1.263,-28.23,20.8176832,0.726446159,3.024645613,484.1,15.65
Eucalyptus occidentalis,-33.72305556,123.3672222,CCA,536.5204892,362.0852254,2187.699333,56.83333333,1.455520224,0.686666667,0.634,-27.69,20.25074308,0.701360313,2.295620329,489.5,15.95
