Merged Column,Original column,AusTraits_notes,AusTraits metadata or trait_name,grouping,data_type,Tabs Using This Column,Status,Merged/Renamed From,additional merges
datasetName,Myrtaceae: 'datasetName',datasetName,,taxonomy,N/A,Myrtaceae,Retained as-is,,
Family,Celastraceae: 'Family'; Petaloid Monocots: 'FAMILY_NAME',Family,,taxonomy,N/A,"Celastraceae, Petaloid Monocots",Merged from 2 columns,Celastraceae (as 'Family'); Petaloid Monocots (as 'FAMILY_NAME'),
GENUS,Apiaceae: 'Genus'; Asteracea: 'Genus'; Celastraceae: 'Genus'; Ericaceae: 'Genus'; Fabaceae: 'GENUS'; Haemodoraceae: 'GENUS'; Haloragaceae: 'Genus'; Lamiaceae: 'Genus'; Malvaceae: 'Genus'; Myrtaceae: 'genus'; Petaloid Monocots: 'GENUS'; Phyllanthaceae: 'Genus'; Polygonaceae: 'Genus'; Rhamnaceae: 'Genus'; Thymelaeaceae: 'Genus',GENUS,,taxonomy,N/A,"Apiaceae, Asteracea, Celastraceae, Ericaceae, Fabaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Malvaceae, Myrtaceae, Petaloid Monocots, Phyllanthaceae, Polygonaceae, Rhamnaceae, Thymelaeaceae",Retained as-is,,
GENUS2,Ericaceae: 'GENUS2'; Proteaceae: 'Genus2',GENUS2,,taxonomy,N/A,"Ericaceae, Proteaceae",Retained as-is,,
Group,Myrtaceae: 'Group'; Orchidacae: 'Group'; Proteaceae: 'Group',Group,,taxonomy,N/A,"Myrtaceae, Orchidacae, Proteaceae",Retained as-is,,
Inf_group,Myrtaceae: 'Inf group',Inf_group,,taxonomy,N/A,Myrtaceae,Retained as-is,,
INFRA_NAME,Ericaceae: 'INFRA_NAME',INFRA_NAME,,taxonomy,N/A,Ericaceae,Retained as-is,,
INFRA_RANK,Ericaceae: 'INFRA_RANK',INFRA_RANK,,taxonomy,N/A,Ericaceae,Retained as-is,,
Name,Apiaceae: 'Name'; Myrtaceae: 'Name',Name,,taxonomy,N/A,"Apiaceae, Myrtaceae",Retained as-is,,
Name_Authorship,Apiaceae: 'Name Authorship'; Araliaceae: 'Name Authorship'; Asteracea: 'Name Authorship'; Celastraceae: 'Name Authorship'; Eremophila: 'Name Authorship'; Haloragaceae: 'Name Authorship'; Lamiaceae: 'Name Authorship'; Malvaceae: 'Name Authorship'; Phyllanthaceae: 'Name Authorship'; Pittosporaceae: 'Name Authorship'; Polygonaceae: 'Name Authorship'; Rhamnaceae: 'Name Authorship'; Rutaceae: 'Name Authorship'; Thymelaeaceae: 'Name Authorship',Name_Authorship,,taxonomy,N/A,"Apiaceae, Araliaceae, Asteracea, Celastraceae, Eremophila, Haloragaceae, Lamiaceae, Malvaceae, Phyllanthaceae, Pittosporaceae, Polygonaceae, Rhamnaceae, Rutaceae, Thymelaeaceae",Retained as-is,,
NAME_ID,Ericaceae: 'NAME_ID'; Fabaceae: 'NAME_ID'; Proteaceae: 'NAME_ID',NAME_ID,,taxonomy,N/A,"Ericaceae, Fabaceae, Proteaceae",Retained as-is,,
new_genus,Rutaceae: 'new genus',new_genus,,taxonomy,N/A,Rutaceae,Retained as-is,,
SPECIES,Ericaceae: 'SPECIES'; Proteaceae: 'SPECIES',SPECIES,taxon_name,taxonomy,N/A,"Ericaceae, Proteaceae",Retained as-is,,
SPECIES_NAME,Apiaceae: 'Species Name'; Araliaceae: 'Species Name'; Asteracea: 'Species Name'; Celastraceae: 'Species Name'; Eremophila: 'Species Name'; Ericaceae: 'SPECIES_NAME'; Euphorbiaceae: 'Species Name'; Fabaceae: 'SPECIES_NAME'; Goodeniaceae: 'SPECIES_NAME'; Haemodoraceae: 'SPECIES_NAME'; Haloragaceae: 'Species Name'; Lamiaceae: 'Species Name'; Malvaceae: 'Species Name'; Myrtaceae: 'scientificName'; Orchidacae: 'SPECIES_NAME'; Petaloid Monocots: 'SPECIES_NAME'; Phyllanthaceae: 'Species Name'; Pittosporaceae: 'Species Name'; Polygonaceae: 'Species Name'; Proteaceae: 'SPECIES_NAME'; Rhamnaceae: 'Species Name'; Rutaceae: 'Species Name'; Thymelaeaceae: 'Species Name',SPECIES_NAME,,taxonomy,N/A,"Apiaceae, Araliaceae, Asteracea, Celastraceae, Eremophila, Ericaceae, Euphorbiaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Malvaceae, Myrtaceae, Orchidacae, Petaloid Monocots, Phyllanthaceae, Pittosporaceae, Polygonaceae, Proteaceae, Rhamnaceae, Rutaceae, Thymelaeaceae",Retained (header standardized),Apiaceae (as 'Species Name'); Araliaceae (as 'Species Name'); Asteracea (as 'Species Name'); Celastraceae (as 'Species Name'); Eremophila (as 'Species Name'); Euphorbiaceae (as 'Species Name'); Haloragaceae (as 'Species Name'); Lamiaceae (as 'Species Name'); Malvaceae (as 'Species Name'); Myrtaceae (as 'scientificName'); Phyllanthaceae (as 'Species Name'); Pittosporaceae (as 'Species Name'); Polygonaceae (as 'Species Name'); Rhamnaceae (as 'Species Name'); Rutaceae (as 'Species Name'); Thymelaeaceae (as 'Species Name'),
Subgenus,Myrtaceae: 'Subgenus'; Proteaceae: 'Subgenus',Subgenus,,taxonomy,N/A,"Myrtaceae, Proteaceae",Retained as-is,,
Subsp,Apiaceae: 'Subsp'; Araliaceae: 'Subsp'; Celastraceae: 'subsp'; Myrtaceae: 'Subsp',Subsp,,taxonomy,N/A,"Apiaceae, Araliaceae, Celastraceae, Myrtaceae",Retained as-is,,
taxa,Eremophila: 'taxa'; Rhamnaceae: 'Taxa'; Rutaceae: 'Taxa (subsp)'; Thymelaeaceae: 'Taxa',taxa,,taxonomy,count,"Eremophila, Rhamnaceae, Rutaceae, Thymelaeaceae",Retained (header standardized),Rutaceae (as 'Taxa (subsp)'),
Taxonomy,Asteracea: 'Taxonomy'; Eremophila: 'Taxonomy'; Ericaceae: 'Taxonomy'; Euphorbiaceae: 'Taxonomy'; Fabaceae: 'Taxonomy'; Goodeniaceae: 'Taxonomy'; Haemodoraceae: 'Taxonomy'; Haloragaceae: 'Taxonomy'; Lamiaceae: 'Taxonomy'; Malvaceae: 'Taxonomy'; Orchidacae: 'Taxonomy'; Petaloid Monocots: 'Taxonomy'; Phyllanthaceae: 'Taxonomy'; Pittosporaceae: 'Taxonomy'; Polygonaceae: 'Taxonomy'; Proteaceae: 'Taxonomy'; Rutaceae: 'Taxonomy',Taxonomy,,taxonomy,N/A,"Asteracea, Eremophila, Ericaceae, Euphorbiaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Haloragaceae, Lamiaceae, Malvaceae, Orchidacae, Petaloid Monocots, Phyllanthaceae, Pittosporaceae, Polygonaceae, Proteaceae, Rutaceae",Retained as-is,,
Taxonomy2,Proteaceae: 'Taxonomy2',Taxonomy2,,taxonomy,N/A,Proteaceae,Retained as-is,,
Pollinators_Bee_Records,Asteracea: 'Bee records'; Eremophila: 'Bee Rec'; Ericaceae: 'Bee'; Fabaceae: 'Bee rec'; Goodeniaceae: 'Bee rec'; Myrtaceae: 'Bee rec'; Proteaceae: 'Bee rec'; Rutaceae: 'Bee records',Pollinators_Bee_Records,method context: records count (bees),pollination,count,"Asteracea, Eremophila, Ericaceae, Fabaceae, Goodeniaceae, Myrtaceae, Proteaceae, Rutaceae",Merged from 3 columns,Asteracea (as 'Bee records'); Eremophila (as 'Bee Rec'); Ericaceae (as 'Bee'); Fabaceae (as 'Bee rec'); Goodeniaceae (as 'Bee rec'); Myrtaceae (as 'Bee rec'); Proteaceae (as 'Bee rec'); Rutaceae (as 'Bee records'),
Pollinators_Bee_Species,Eremophila: 'Bee spp.'; Fabaceae: 'Bee sp'; Lamiaceae: 'Bee species'; Myrtaceae: 'Bee sp'; Proteaceae: 'Bee sp',Pollinators_Bee_Species,method context: species count; merge `bees` into pollination_vector_possible column,pollination,count,"Eremophila, Fabaceae, Lamiaceae, Myrtaceae, Proteaceae",Merged from 3 columns,Eremophila (as 'Bee spp.'); Fabaceae (as 'Bee sp'); Lamiaceae (as 'Bee species'); Myrtaceae (as 'Bee sp'); Proteaceae (as 'Bee sp'),
Pollinators_Bird,Eremophila: 'Bird'; Ericaceae: 'Bird'; Fabaceae: 'Bird'; Goodeniaceae: 'Bird'; Haemodoraceae: 'Bird'; Lamiaceae: 'Bird'; Myrtaceae: 'Bird'; Petaloid Monocots: 'Bird'; Pittosporaceae: 'Bird'; Proteaceae: 'Bird'; Rutaceae: 'Bird'; Thymelaeaceae: 'bird',Pollinators_Bird,merge `birds` into pollination_vector_possible column,pollination,binary,"Eremophila, Ericaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Lamiaceae, Myrtaceae, Petaloid Monocots, Pittosporaceae, Proteaceae, Rutaceae, Thymelaeaceae",Retained as-is,,
Pollinators_Bird&Insect,Fabaceae: 'Bird & Insect'; Goodeniaceae: 'Bird & Insect'; Malvaceae: 'Birdm& & Insect'; Myrtaceae: 'Bird & Insect'; Proteaceae: 'Bird & Insect',Pollinators_Bird&Insect,merge `birds insects` into pollination_vector_possible column,pollination,binary,"Fabaceae, Goodeniaceae, Malvaceae, Myrtaceae, Proteaceae",Retained (header standardized),Malvaceae (as 'Birdm& & Insect'),
Pollinators_Bird_Records,Eremophila: 'Bird rec'; Ericaceae: 'Bird rec'; Fabaceae: 'Bird records'; Goodeniaceae: 'Bird rec'; Haemodoraceae: 'Bird records'; Lamiaceae: 'Bird records'; Myrtaceae: 'Bird rec'; Proteaceae: 'Bird rec'; Rutaceae: 'Bird rec',Pollinators_Bird_Records,method context: records count (birds),pollination,count,"Eremophila, Ericaceae, Fabaceae, Goodeniaceae, Haemodoraceae, Lamiaceae, Myrtaceae, Proteaceae, Rutaceae",Merged from 2 columns,Eremophila (as 'Bird rec'); Ericaceae (as 'Bird rec'); Fabaceae (as 'Bird records'); Goodeniaceae (as 'Bird rec'); Haemodoraceae (as 'Bird records'); Lamiaceae (as 'Bird records'); Myrtaceae (as 'Bird rec'); Proteaceae (as 'Bird rec'); Rutaceae (as 'Bird rec'),
buzz_pollination_by_bees_BPB,Ericaceae: 'BPB'; Fabaceae: 'Buzz Pollinated'; Petaloid Monocots: 'Buzz pollination'; Pittosporaceae: 'BPB',buzz_pollination_by_bees_BPB,merge `bees` into pollination_vector_possible column; separately trait/column titled `buzz_pollination` with value `buzz_pollination_occurs`,pollination,binary,"Ericaceae, Pittosporaceae",Retained as-is,,
Pollinators_Butterfly,Thymelaeaceae: 'Butterfly',Pollinators_Butterfly,merge into çcolumn,pollination,binary,Thymelaeaceae,Retained as-is,,
