Species,Tree,number,Aa,gs,WUEi,CiCa,Amass,Leaf N,PNUE,Ci,WUE,date_leaf,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,Petiole Width,Petiole Height,Lamina,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio,Date_d18O,d18O,Date,Individual,Sun/Shade,Tree ID,Notes,Species_name,Growth.Form
AGY,AGY_1,3,14.003406,0.20903185,67.60214,0.6798756,72.71679367,1.525191,128.5948478,259.3006015,5.152543042,19/06/2014,1.47,0.806633333,0.550666667,41.80666667,52.17049508,1.736666667,1.9,0.306666667,0.504453998,4.306708978,0.490541154,-30.34210955,44.84176194,-31.57050493,5.863993343,50.40880891,1.525191046,33.05081618,104.055,44.345,4.087,40.258,0.386891548,19/06/2014,-2.87,NA,NA,NA,NA,NA,Agyrodendron peralatum,T
AGY,AGY_2,3,17.231542,0.21778383,80.60871,0.6145922,100.5015002,1.5681252,153.9067016,231.5639321,5.242910596,20/06/2014,0.806666667,0.410433333,0.510333333,23.93666667,58.33334025,1.143333333,1.28,0.303333333,0.504769608,2.791410939,0.558474138,-30.42575731,44.85717177,-31.37542548,2.640434323,49.28021711,1.568125195,31.4262007,91.416,38.909,2.748,36.161,0.395565328,20/06/2014,-3.29,NA,NA,NA,NA,NA,Agyrodendron peralatum,NA
AGY,AGY_4,3,16.241211,0.25306103,63.83408,0.6828373,82.17510908,1.5257494,149.0902774,257.4811612,3.680618449,25/06/2014,1.216666667,0.620233333,0.51,31.05666667,50.91898564,1.463333333,1.54,0.35,0.489800942,1.623616374,0.680463512,-30.76698233,48.88619885,-30.24218798,1.671911618,49.44431837,1.525749377,32.40657942,154.984,54.53,3.683,50.847,0.328079028,25/06/2014,-3.26,NA,NA,NA,NA,NA,Agyrodendron peralatum,NA
ALS,ALS_1,3,15.275867,0.28737435,55.15392,0.7295031,134.4775972,1.9470806,109.884405,277.7239472,4.263506415,3/4/2014,1.263333333,0.454633333,0.361,40.28666667,88.52273782,3.373333333,1.903333333,0.336666667,0.315082873,4.036022062,0.924235283,-28.45275984,42.15453598,-28.12308815,3.04222572,50.12452647,1.947080582,25.74342682,57.68,32.281,9.502,22.779,0.39492025,3/4/2014,-4.23,4/3/2014,1,Sun,6027,NA,Alstonia scholaris,T
ALS,ALS_2,3,18.813394,0.16331441,115.25572,0.4684659,192.9480122,2.0192829,130.4920655,176.0752781,8.510727427,8/5/2014,1.44,0.4076,0.282666667,41.36666667,103.1087833,2.3,2.03,0.33,0.292807222,4.266471734,0.743117901,-27.98369497,45.14455718,-28.22256621,3.721471377,49.23100023,2.01928294,24.38043687,59.283,33.588,16.153,17.435,0.294097802,8/5/2014,-5.34,5/8/2014,2,Sun,7100,NA,Alstonia scholaris,NA
ALS,ALS_4,3,13.574295,0.24179882,66.05449,0.6886156,142.2676876,1.7994859,105.6532734,263.3574558,4.846535454,22/05/2014,1.33,0.3756,0.281666667,39.22,105.1130995,3,1.826666667,0.31,0.374013963,6.174997386,0.569326678,-27.76619006,45.59225889,-29.1541268,5.093404065,46.75701086,1.799485856,25.98353897,99.196,57.771,13.193,44.578,0.449393121,22/05/2014,-4.17,5/22/2014,4,Sun,7006,NA,Alstonia scholaris,NA
ALS,ALS_5,3,18.502574,0.247115,76.06308,0.6338309,160.7613677,1.9117507,135.5548354,238.2744388,5.659651418,23/05/2014,1.666666667,0.554266667,0.333,47.95,87.12299622,2.156666667,1.823333333,0.283333333,0.254069273,NA,NA,NA,NA,-27.77773246,2.689292482,48.71987403,1.911750725,25.48442817,NA,NA,NA,NA,NA,22/05/2014,-4.15,5/23/2014,5,Sun,5082,NA,Alstonia scholaris,NA
CAL,CAL_1,3,10.52453,0.41969312,27.6389,0.8552829,115.0336892,1.9971066,73.81006461,329.9802416,2.641521981,4/4/2014,1.596666667,0.740166667,0.464333333,80.90333333,109.3014494,NA,NA,0.163333333,NA,NA,NA,NA,NA,-25.78130681,2.152150481,44.53407483,1.997106583,22.299298,NA,NA,NA,NA,NA,4/4/2014,-5.03,4/4/2014,1,Sun,5009,NA,Calamus  sp,L
CAL,CAL_5,1,14.069434,0.11488846,122.46168,0.4519522,157.5631978,NA,NA,115.7206139,10.23844752,8/5/2014,1.996666667,0.879033333,0.44,98.18,112.699319,NA,NA,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/4/2014,-4.06,5/8/2014,5,Sun,5007,NA,Calamus  sp,NA
CAL,CAL_6,3,11.705717,0.11977327,98.39234,0.5577891,138.3514178,2.18067,75.18344009,214.3928217,7.113188371,9/5/2014,1.653333333,0.819566667,0.495333333,96.86,118.2357134,NA,NA,0.14,NA,NA,NA,NA,NA,-29.78387063,3.00372928,43.2304951,2.180669962,19.82440986,NA,NA,NA,NA,NA,9/5/2014,-4.72,NA,NA,NA,NA,NA,Calamus  sp,NA
