Identifier,Day,Date,BranchCode,Species,Growth.Form,d18O
ACM 2,164,13/06/2014,ACM_2,SYZ_G,T,-3.44
ACM 3,164,13/06/2014,ACM_3,SYZ_G,T,-3.23
ACM 4,170,19/06/2014,ACM_4,SYZ_G,T,-2.71
ACM 5,170,19/06/2014,ACM_5,SYZ_G,T,-3.43
ACM 6,171,20/06/2014,ACM_6,SYZ_G,T,-3.50
AGY 1,170,19/06/2014,AGY_1,AGY,T,-2.87
AGY 2,171,20/06/2014,AGY_2,AGY,T,-3.29
AGY 3,171,20/06/2014,AGY_3,AGY,T,-3.40
AGY 4,176,25/06/2014,AGY_4,AGY,T,-3.26
ALS 1,93,3/04/2014,ALS_1,ALS,T,-4.23
ALS 2,128,8/05/2014,ALS_2,ALS,T,-5.34
ALS 3,129,9/05/2014,ALS_3,ALS,T,-5.30
ALS 4,142,22/05/2014,ALS_4,ALS,T,-4.17
ALS 5,142,22/05/2014,ALS_5,ALS,T,-4.15
ALS 6,164,13/06/2014,ALS_6,ALS,T,-5.08
CAL 1,94,4/04/2014,CAL_1,CAL,L,-5.03
CAL 10,176,25/06/2014,CAL_10,CAL,L,-4.74
CAL 2,98,8/04/2014,CAL_2,CAL,L,-4.41
CAL 3,98,8/04/2014,CAL_3,CAL,L,-4.63
CAL 4,98,8/04/2014,CAL_4,CAL,L,-5.24
CAL 5,98,8/04/2014,CAL_5,CAL,L,-4.06
CAL 6,129,9/05/2014,CAL_6,CAL,L,-4.72
CAL 7,142,22/05/2014,CAL_7,CAL,L,-3.66
CAL 8,142,22/05/2014,CAL_8,CAL,L,-3.69
CAR 1,170,19/06/2014,CAR_1,CAR,T,-3.80
CAR 2,171,20/06/2014,CAR_2,CAR,T,-3.61
CAR 3,171,20/06/2014,CAR_3,CAR,T,-4.62
CAS 1,93,3/04/2014,CAS_1,CAS,T,-4.44
CAS 2,93,4/04/2014,CAS_2,CAS,T,-4.02
CAS 3,128,8/05/2014,CAS_3,CAS,T,-5.15
CAS 5,142,22/05/2014,CAS_5,CAS,T,-4.45
CAS 6,164,13/06/2014,CAS_6,CAS,T,-3.89
CLE 1,93,3/04/2014,CLE_1,CLE,T,-3.86
CLE 2,128,8/05/2014,CLE_2,CLE,T,-3.76
CLE 3,129,9/05/2014,CLE_3,CLE,T,-3.81
CLE 4,142,22/05/2014,CLE_4,CLE,T,-3.84
CLE 5,142,22/05/2014,CLE_5,CLE,T,-3.93
END 1,93,3/04/2014,END_1,END,T,-5.47
END 2,128,8/05/2014,END_2,END,T,-4.89
END 3,129,9/05/2014,END_3,END,T,-4.41
END 4,142,22/05/2014,END_4,END,T,-4.28
END 5,142,22/05/2014,END_5,END,T,-3.42
END 6,164,13/06/2014,END_6,END,T,-3.92
ENT 1,93,3/04/2014,ENT_1,ENT,L,-4.82
ENT 2,94,4/04/2014,ENT_2,ENT,L,-4.81
ENT 3,126,6/05/2014,ENT_3,ENT,L,-4.20
ENT 4,128,8/05/2014,ENT_4,ENT,L,-4.63
ENT 5,128,8/05/2014,ENT_5,ENT,L,-5.39
ENT 6,142,22/05/2014,ENT_6,ENT,L,-4.78
ENT 7,164,13/06/2014,ENT_7,ENT,L,-3.92
MER 1,93,3/04/2014,MER_1,MER,L,-4.24
MER 2,94,4/04/2014,MER_2,MER,L,-3.53
MER 3,128,8/05/2014,MER_3,MER,L,-2.77
MER 4,129,9/05/2014,MER_4,MER,L,-3.59
MER 5,142,22/05/2014,MER_5,MER,L,-3.49
MER 6,142,22/05/2014,MER_6,MER,L,-2.41
MER 7,164,13/06/2014,MER_7,MER,L,-4.24
MYR 1,93,3/04/2014,MYR_1,MYR,T,-5.01
MYR 2,94,4/04/2014,MYR_2,MYR,T,-4.45
MYR 3,129,9/05/2014,MYR_3,MYR,T,-4.71
MYR 4,142,22/05/2014,MYR_4,MYR,T,-3.65
MYR 5,142,22/05/2014,MYR_5,MYR,T,-3.17
MYR 6,164,13/06/2014,MYR_6,MYR,T,-3.82
NEO 1,164,13/06/2014,NEO_1,NEO,L,-4.06
NEO 2,164,13/06/2014,NEO_2,NEO,L,-3.45
NEO 3,171,20/06/2014,NEO_3,NEO,L,-3.18
NEO 4,171,20/06/2014,NEO_4,NEO,L,-3.50
NEO 5,171,20/06/2014,NEO_5,NEO,L,-3.67
NOR 1,94,4/04/2014,NOR_1,NOR,T,-4.52
NOR 2,128,8/05/2014,NOR_2,NOR,T,-4.83
NOR 3,129,9/05/2014,NOR_3,NOR,T,-5.44
NOR 4,142,22/05/2014,NOR_4,NOR,T,-4.52
NOR 5,142,22/05/2014,NOR_5,NOR,T,-4.38
NOR 6,164,13/06/2014,NOR_6,NOR,T,-2.59
ROC 1,94,4/04/2014,ROC_1,ROC,T,-3.75
ROC 3,129,9/05/2014,ROC_3,ROC,T,-3.71
ROC 4,142,22/05/2014,ROC_4,ROC,T,-2.61
ROC 5,142,22/05/2014,ROC_5,ROC,T,-2.55
ROC 6,164,13/06/2014,ROC_6,ROC,T,-3.71
SYZ 1,170,19/06/2014,SYZ_1,SYZ_S,T,-2.18
SYZ 2,171,20/06/2014,SYZ_2,SYZ_S,T,-3.52
SYZ 3,171,20/06/2014,SYZ_3,SYZ_S,T,-3.04
TET 1,93,3/04/2014,TET_1,TET,L,-3.55
TET 2,128,8/05/2014,TET_2,TET,L,-4.04
TET 3,129,9/05/2014,TET_3,TET,L,-4.32
TET 4,129,9/05/2014,TET_4,TET,L,-4.14
TET 5,142,22/05/2014,TET_5,TET,L,-3.03
TET 6,164,13/06/2014,TET_6,TET,L,-3.61
TETSTIG 1,164,13/06/2014,TET STIG_1,TET STIG,L,-2.21
UNKC 1,128,8/05/2014,TET STIG_2,TET STIG,L,-3.57
UNKC 3,129,9/05/2014,TET STIG_4,TET STIG,L,-2.83
UNKC 4,129,9/05/2014,TET STIG_5,TET STIG,L,-2.90
UNKG 1,170,19/06/2014,ICH_1,ICH,L,-2.74
UNKG 2,171,20/06/2014,ICH_2,ICH,L,-3.11
