,Name ID,Species Name,Family Name,Naturalised,Consveration Code,Response To Fire,Response To Fire Auth,Flowering Month,Flowering Month Auth,Months Until First Flowering,Months Until First Flowering Auth,Months Until Peak Flowering,Months Until Peak Flowering Auth,Months To Flowering Decline,Months To Flowering Decline Auth,Response To Dieback,Response To Dieback Auth,Longevity
1, 3200," Acacia acuminata (Jam, Mangard)", Fabaceae, N,, 2, NDB, Aug,, 60, MUI,,,,, 3, RTW, 4
2, 3207, Acacia alata (Winged Wattle), Fabaceae, N,, 2, NDB, Apr,, 24, NDB, 48, NDB, 72, NDB, 3, NDB, 4
3, 3217," Acacia aneura (Mulga, Wanari)", Fabaceae, N,, 2, NDB,,, 48, MUI,,,,, 3, NDB, 4
4, 12957, Acacia aneura var. aneura, Fabaceae, N,, 2, NDB, May,, 120, NDB,,,,, 3, NDB, 4
5, 3219, Acacia anomala (Grass Wattle), Fabaceae, N, T, 5, NDB, Sep,, 18, NDB,,,,, 3, NDB, 4
6, 3220, Acacia aphylla (Leafless Rock Wattle), Fabaceae, N, T, 2, BEL, Aug,, 30, NDB,,,,, 3, NDB, 4
7, 15466, Acacia applanata, Fabaceae, N,, 4,, Oct,, 31, NDB,,,,, 3, NDB,
8, 3231, Acacia auronitens, Fabaceae, N,, 2, VDM, Aug,, 24, VDM,,,,, 3, NDB, 4
9, 3239, Acacia biflora, Fabaceae, N,, 2, LMC, Oct,, 30, LMC,,,,, 3, NDB, 4
10, 3242, Acacia blakelyi, Fabaceae, N,, 2, BEL, Aug,, 24, VDM,,,,, 3, NDB, 4
11, 3247, Acacia browniana, Fabaceae, N,, 1, LMC, Aug,, 24, LMC, 48, NDB, 60, GWJ, 3, NDB, 4
12, 11731, Acacia browniana var. browniana, Fabaceae, N,, 2, NDB, Aug,, 29, NDB, 48, NDB, 72, NDB, 2, RTW, 4
13, 3253, Acacia cedroides, Fabaceae, N,, 2, VDM, Aug,, 24, VDM,,,,, 3, NDB, 4
14, 3254, Acacia celastrifolia (Glowing Wattle), Fabaceae, N,, 2, BEL, Jun,, 36, MUI,,,,, 3, NDB, 4
15, 3262, Acacia cochlearis (Rigid Wattle), Fabaceae, N,, 2, GWJ, Aug,, 24, NDB,,,,, 3, NDB, 4
16, 3267, Acacia congesta, Fabaceae, N,, 5, NDB, Sep,, 24, NDB,,,,, 3, NDB, 4
17, 3282, Acacia cyclops (Coastal Wattle), Fabaceae, N,, 2, BEL, Aug,, 24, NDB,,,,, 3, NDB, 4
18, 3285, Acacia daviesioides, Fabaceae, N,, 2, NDB, Aug,, 48, MUI,,,,, 3, NDB, 4
19, 3307, Acacia divergens, Fabaceae, N,, 2, NDB, Sep,, 24, NDB, 60, NDB, 72, NDB, 3, NDB, 4
20, 11303, Acacia drummondii subsp. candolleana, Fabaceae, N,, 2, NDB, Sep,, 36, NDB, 72, NDB,,, 3, NDB, 4
21, 11661, Acacia drummondii subsp. drummondii, Fabaceae, N,, 2, BEL, Sep,, 36, NDB,,,,, 3, NDB, 4
22, 11192, Acacia drummondii subsp. elegans, Fabaceae, N,, 2, NDB, Aug,, 24, NDB, 60, NDB, 84, NDB, 3, RTW, 4
23, 3323, Acacia ericifolia, Fabaceae, N,, 2, BEL, Jun,, 36, MUI,,,,, 3, NDB, 4
24, 3331, Acacia extensa (Wiry Wattle), Fabaceae, N,, 2, NDB, Sep,, 19, NDB, 40, NDB, 72, NDB, 2, RTW, 4
25, 3337, Acacia filifolia, Fabaceae, N, 3, 2, NDB, Jun,, 36, MUI,,,,, 3, NDB, 4
26, 3349, Acacia glaucoptera (Flat Wattle), Fabaceae, N,, 2, NDB, Sep,, 36, MUI,,,,, 3, NDB, 4
27, 3353, Acacia gonophylla, Fabaceae, N,, 2, NDB, Aug,, 48, MUI,,,,, 3, NDB, 4
28, 3363, Acacia hastulata, Fabaceae, N,, 2, GWJ, Aug,, 15, GWJ,,,,, 3, NDB, 4
29, 3366, Acacia hemiteles, Fabaceae, N,, 2, BEL, Aug,, 36, MUI,,,,, 3, NDB, 4
30, 3373, Acacia horridula, Fabaceae, N, 3, 2, BEL, Jul,, 24, NDB,,,,, 3, NDB, 4
