Species,Code,Site,Rep no,Area (cm2),Wet weight (g),Dry Weight (g),Leaf Moisture content (g/g),SLA (cm2/g),N (%),other_dry_mass_values
Acacia genistifolia,ACG,Dry,1,0.175,0.0115,0.0033,2.4848,53.0303,1.46,
Acacia genistifolia,ACG,Dry,2,0.213,0.0085,0.0057,0.4912,37.3684,1.46,
Acacia genistifolia,ACG,Dry,3,0.172,0.0115,0.0056,1.0536,30.7143,1.46,
Acacia genistifolia,ACG,Dry,4,0.144,0.008,0.0032,1.5,45,1.2,
Acacia genistifolia,ACG,Dry,5,0.261,0.0154,0.0068,1.2647,38.3824,1.48,
Acacia myrtifolia,ACM,Dry,1,3.432,0.1026,0.0427,1.4028,80.3747,1.55,accurate
Acacia myrtifolia,ACM,Dry,2,4.861,0.1539,0.0792,0.9432,61.3763,1.54,accurate
Acacia myrtifolia,ACM,Dry,3,3.84,0.1006,0.0462,1.1775,83.1169,1.63,accurate
Acacia myrtifolia,ACM,Dry,4,4,0.1005,0.0481,1.0894,83.1601,1.04,accurate
Acacia myrtifolia,ACM,Dry,5,5.149,0.1391,0.0519,1.6802,99.21,1.43,accurate
Banksia marginata,BAM,Dry,1,2.467,0.0925,0.0451,1.051,54.7007,0.82,accurate
Banksia marginata,BAM,Dry,2,2.056,0.0798,0.0413,0.9322,49.7821,0.65,accurate
Banksia marginata,BAM,Dry,3,2.322,0.0867,0.0454,0.9097,51.1454,0.65,accurate
Banksia marginata,BAM,Dry,4,2.604,0.1061,0.0572,0.8549,45.5245,0.75,accurate
Banksia marginata,BAM,Dry,5,4.115,0.1807,0.0974,0.8552,42.2485,0.66,accurate
Banksia spinulosa var. cunninghamii,BAS,Dry,1,4.304,0.1113,0.05,1.226,86.08,1.05,
Banksia spinulosa var. cunninghamii,BAS,Dry,2,3.636,0.0899,0.0405,1.2198,89.7778,1.03,
Banksia spinulosa var. cunninghamii,BAS,Dry,3,2.631,0.0828,0.0388,1.134,67.8093,0.96,
Banksia spinulosa var. cunninghamii,BAS,Dry,4,2.333,0.0634,0.028,1.2643,83.3214,0.95,
Banksia spinulosa var. cunninghamii,BAS,Dry,5,4.164,0.0991,0.044,1.2523,94.6364,1.09,
Boronia muelleri,BOM,Wet,1,2.905,0.0577,0.0176,2.2784,165.0568,1.54,
Boronia muelleri,BOM,Wet,2,1.717,0.0453,0.0149,2.0403,115.2349,1.54,
Boronia muelleri,BOM,Wet,3,3.687,0.0845,0.0287,1.9443,128.4669,1.45,
Boronia muelleri,BOM,Wet,4,1.812,0.0411,0.0106,2.8774,170.9434,1.5,
Boronia muelleri,BOM,Wet,5,3.5,0.0738,0.0248,1.9758,141.129,1.49,
Correa reflexa var. reflexa,COR,Wet,1,5.577,0.1052,0.0469,1.2431,118.9126,1.33,
Correa reflexa var. reflexa,COR,Wet,2,11.613,0.2183,0.0889,1.4556,130.6299,1.4,
Correa reflexa var. reflexa,COR,Wet,3,9.707,0.1569,0.0622,1.5225,156.0611,1.18,
Correa reflexa var. reflexa,COR,Wet,4,8.431,0.1522,0.0656,1.3201,128.5213,1.24,
Correa reflexa var. reflexa,COR,Wet,5,8.513,0.1708,0.0553,2.0886,153.9421,1.27,
Goodenia ovata,GOO,Wet,1,13.686,0.2728,0.0857,2.1832,159.6966,2.37,accurate
Goodenia ovata,GOO,Wet,2,19.058,0.3151,0.0934,2.3737,204.0471,1.97,accurate
Goodenia ovata,GOO,Wet,3,10.066,0.1758,0.0542,2.2435,185.7196,2.06,accurate
Goodenia ovata,GOO,Wet,4,17.32,0.3626,0.1156,2.1367,149.827,1.68,accurate
Goodenia ovata,GOO,Wet,5,24.463,0.4077,0.1035,2.9391,236.3575,1.56,accurate
Grevillea barkleyana,GRB,Wet,1,38.404,1.0878,0.5545,0.9618,69.2588,0.92,
Grevillea barkleyana,GRB,Wet,2,42.929,0.9495,0.4901,0.9374,87.5923,0.84,
Grevillea barkleyana,GRB,Wet,3,31.509,0.8795,0.4952,0.7761,63.6288,0.88,
Grevillea barkleyana,GRB,Wet,4,37.093,0.8754,0.4472,0.9575,82.945,0.79,
Grevillea barkleyana,GRB,Wet,5,45.829,1.1207,0.5684,0.9717,80.6281,0.94,
Hakea decurrens subsp. Physocarpa,HAD,Dry,1,0.538,0.0428,0.0188,1.2766,28.617,0.55,
