Landscape_Position,Species,Ks (kg/m2/Mpa/s),Kl (kg/m2/Mpa/s),H,PLC50,location_name,Phreatophytic trait
BS,Banksia attenuata,0.697872192,3.58E-04,5.13E-04,-1.55542,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.839382541,1.09E-03,1.30E-03,-1.62022,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.588713031,1.05E-03,1.79E-03,-1.1612,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.429227309,6.35E-04,1.48E-03,-0.75619,Swan Coastal Plain,Faculative
BS,Banksia attenuata,1.335886834,5.69E-04,4.26E-04,-2.3021,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.51509835,3.59E-04,6.96E-04,-1.93918,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.745869056,7.86E-04,1.05E-03,-1.81004,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.651074874,3.40E-04,5.22E-04,-1.8986,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.729260189,3.31E-04,4.54E-04,-1.25181,Swan Coastal Plain,Faculative
BS,Banksia attenuata,0.587028757,5.16E-04,8.79E-04,-2.04304,Swan Coastal Plain,Faculative
BS,Banksia littoralis,1.031718321,0.000374207,0.000362703,-1.83194,Swan Coastal Plain,Obligate
BS,Banksia littoralis,0.529269064,0.000176669,0.000333799,-1.56424,Swan Coastal Plain,Obligate
BS,Banksia littoralis,2.264669595,0.000508066,0.000224344,-1.09193,Swan Coastal Plain,Obligate
BS,Banksia littoralis,1.252177033,0.000523571,0.000418128,-1.27529,Swan Coastal Plain,Obligate
BS,Banksia littoralis,0.465335034,0.000241382,0.000518727,-2.08815,Swan Coastal Plain,Obligate
BS,Banksia littoralis,6.83E-01,0.000246101,0.000360542,-1.39598,Swan Coastal Plain,Obligate
BS,Banksia littoralis,1.48E+00,0.000373833,0.000251761,-2.58621,Swan Coastal Plain,Obligate
BS,Banksia littoralis,8.11E-01,0.000115001,0.000141755,-2.63642,Swan Coastal Plain,Obligate
BS,Banksia littoralis,1.30E+00,0.000332377,0.000255373,-1.67791,Swan Coastal Plain,Obligate
BS,Banksia littoralis,8.78E-01,0.000147517,0.000167957,-1.68076,Swan Coastal Plain,Obligate
BS,Banksia menziesii,0.985573209,0.000820554,0.000832565,-2.0189,Swan Coastal Plain,Faculative
BS,Banksia menziesii,1.162321121,0.000536781,0.000461818,-1.65008,Swan Coastal Plain,Faculative
BS,Banksia menziesii,0.51551124,0.000153676,0.000298103,-1.54566,Swan Coastal Plain,Faculative
BS,Banksia menziesii,0.232492702,0.000122974,0.000528937,-1.24948,Swan Coastal Plain,Faculative
BS,Banksia menziesii,0.718304511,0.000439811,0.000612291,-1.83472,Swan Coastal Plain,Faculative
BS,Banksia menziesii,1.16E+00,0.000920602,0.000791336,-1.23106,Swan Coastal Plain,Faculative
BS,Banksia menziesii,2.03E+00,0.001080276,0.00053099,-2.08571,Swan Coastal Plain,Faculative
BS,Banksia menziesii,1.11E+00,0.000877207,0.000791336,-1.21494,Swan Coastal Plain,Faculative
BS,Banksia menziesii,2.24E+00,0.002799937,0.001247987,-1.95858,Swan Coastal Plain,Faculative
BS,Banksia menziesii,1.68E-06,1.10E-09,0.000653897,-1.69371,Swan Coastal Plain,Faculative
BS,Banksia ilicifolia,1.281994926,0.000905488,0.000706312,-1.15377,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,1.111340565,0.001066498,0.00095965,-1.67872,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,1.73248394,0.001186421,0.000684809,-0.80343,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,0.559775605,0.00027141,0.000484855,-1.6263,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,1.253369988,0.001312038,0.001046808,-1.16509,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,0.758109589,0.000532182,0.000701986,-1.88715,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,1.049512409,0.00063658,0.000606548,-1.90467,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,0.454783961,0.000216156,0.000475293,-2.58814,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,0.614848946,0.000518756,0.000843713,-1.23973,Swan Coastal Plain,Obligate
BS,Banksia ilicifolia,1.004525329,0.001226288,0.001220763,-0.8845,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,0.981979492,0.000681745,0.000694256,-0.88251,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,0.801007692,0.000485382,0.000605964,-1.55477,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,0.960513705,0.000493563,0.000513853,-2.17375,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,1.463243786,0.000965007,0.000659498,-2.17031,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,0.670507926,0.000926387,0.00138162,-1.85924,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,1.670337478,0.000362033,0.000216742,-1.78704,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,1.831770919,0.00055303,0.00055303,-1.90881,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,1.570808608,0.000889506,0.000566273,-2.22916,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,1.129246968,0.000446778,0.000395642,-1.63003,Swan Coastal Plain,Obligate
MS,Banksia ilicifolia,0.766857102,0.000370835,0.000483578,-1.64357,Swan Coastal Plain,Obligate
