species,branch,sampling_period,burn_status,sapwood cross sectional area (cm2),leaf fresh weight (g),dry weight to fresh weight ratio,leaf dry weight (kg),SW area per leaf dry mass (cm2 kg-1),specific leaf area (m2 kg-1),SW area per leaf area (cm2 m-2),diameter,diameter under bark
Eucalyptus miniata,EM1,October,unburnt,19.306,2808.41,0.5005,1.405609205,13.73496981,6,2.29,5.64,4.963
Eucalyptus miniata,EM2,October,unburnt,12.534,1855.84,0.4509,0.836798256,14.9785207,6,2.5,4.7,4.213
Eucalyptus miniata,EM3,October,unburnt,16.193,2740.49,0.4446,1.218421854,13.29014245,6,2.22,5.53,4.7
Eucalyptus miniata,EM4,October,unburnt,12.29,2378.98,0.4256,1.012493888,12.13834488,6,2.02,4.58,4.138
Eucalyptus miniata,EM5,October,unburnt,13.278,2220.08,0.4511,1.001478088,13.25840291,6,2.21,4.75,4.238
Eucalyptus miniata,EM6,October,unburnt,41.281,2251.9,0.4217,0.94962623,43.47078745,6,7.25,9.63,9.1
Eucalyptus tetrodonta,ET1,October,unburnt,10.899,2103.6,0.4974,1.04633064,10.41640145,5.25,1.98,5.08,4.55
Eucalyptus tetrodonta,ET2,October,unburnt,17.86,4075.35,0.4955,2.019335925,8.844491785,5.25,1.68,5.93,4.963
Eucalyptus tetrodonta,ET3,October,unburnt,13.786,2651.51,0.5065,1.342989815,10.26515603,5.25,1.96,5.33,4.45
Eucalyptus tetrodonta,ET4,October,unburnt,10.094,2759.34,0.4432,1.222939488,8.25388345,5.25,1.57,4.85,4.08
Eucalyptus tetrodonta,ET5,October,unburnt,5.213,1541.97,0.4371,0.673995087,7.734477744,5.25,1.47,3.45,2.6
Eucalyptus tetrodonta,ET6,October,unburnt,14.103,3065.3,0.4623,1.41708819,9.952097618,5.25,1.9,7.28,6.375
