species,Tree,Leaf type,position,Obs,Time,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,Status,leaf respiraton at 30degC,sampling_period
Eucalyptus tetrodonta,ET4,mature,detached,1,248.5,-6.73,0.0137,1.10E+03,0.74,5.2,6,1,2.84,40.71,39.87,40.77,364.67,372.39,20.643,21.51,27,28.13,501,0,0,100.7,-0.292,-0.1,111105,-3.4,October
Eucalyptus tetrodonta,ET4,mature,detached,2,387.3,-6.22,0.0175,892,0.869,4.8,6,1,2.84,40.52,39.01,40.58,364.21,371.28,21.163,22.182,27.95,29.3,500.2,0,0,100.7,-0.292,-0.1,111105,-3.33,October
Eucalyptus tetrodonta,ET4,mature,detached,3,524.5,-5.93,0.0191,822,1.02,5.17,6,1,2.84,40.49,39.65,40.52,365.31,372.03,19.693,20.9,26.06,27.65,496.2,0,0,100.7,-0.292,-0.1,111105,-3.04,October
Eucalyptus tetrodonta,ET4,mature,detached,4,609.3,-5.82,0.0155,919,0.823,5.11,6,1,2.84,40.5,39.51,40.51,365.31,371.94,20.011,20.979,26.46,27.74,499.7,0,0,100.7,-0.292,-0.1,111105,-3.01,October
Eucalyptus tetrodonta,ET4,mature,detached,5,686.5,-6.41,0.0149,1.01E+03,0.79,5.1,6,1,2.84,40.51,39.62,40.52,368.1,375.43,20.578,21.505,27.19,28.42,500.5,0,0,100.7,-0.292,-0.1,111105,-3.29,October
Eucalyptus tetrodonta,ET4,mature,detached,6,771.3,-6.71,0.0173,942,0.888,4.95,6,1,2.84,40.5,39.33,40.52,365.81,373.46,20.803,21.845,27.52,28.89,500.1,0,0,100.7,-0.292,-0.1,111105,-3.51,October
Eucalpytus tetrodonta,ET4,expanding,detached,7,904.8,-11,0.0403,775,1.98,4.78,6,1,2.84,40.28,39.11,40.33,365.81,378.16,20.409,22.735,27.3,30.41,499.2,0,0,100.7,-0.292,-0.1,111105,-5.85,October
Eucalpytus tetrodonta,ET4,expanding,detached,8,988.8,-9.49,0.021,1.05E+03,1.07,4.93,6,1,2.84,40.2,39.16,40.23,365.53,376.43,20.144,21.4,27.07,28.76,500.4,0,0,100.7,-0.292,-0.1,111105,-5.03,October
Eucalpytus tetrodonta,ET4,expanding,detached,9,1070.5,-6.7,0.0161,987,0.838,5.04,6,1,2.84,40.12,39.32,40.15,365.63,373.28,19.987,20.97,26.97,28.3,500.8,-1,0,100.7,-0.292,-0.1,111105,-3.51,October
Eucalpytus tetrodonta,ET4,expanding,detached,10,1161.3,-9.92,0.0421,716,1.97,4.56,6,1,2.84,40.02,38.55,40.08,365.35,376.41,20.465,22.786,27.76,30.91,498.3,0,1,100.7,-0.292,-0.1,111105,-5.48,October
