observation_id,species_name,trait_name (n AusTraits),value,original_trait_name,notes
Sinclair_2017_3764,Pimelea ligustrina subsp. ciliata,lifespan,?20,SPP LIFE,Can I replace with 20?
Sinclair_2017_0847,Caladenia amoena,reproductive_maturity,i,JUVEN,
Sinclair_2017_0852,Caladenia calcicola,reproductive_maturity,i,JUVEN,
Sinclair_2017_4090,Prostanthera galbraithiae,reproductive_maturity,3,JUVEN,"Making sure this is intentionally 3, since not an explicitly given category"
Sinclair_2017_5321,Walwalleya proluta,fire_and_establishing,1,"T, I, R, M, K",
Sinclair_2017_0032,Acacia cyclops,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0056,Acacia fimbriata,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0106,Acacia obtusifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0128,Acacia saligna,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0156,Acacia williamsonii,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0267,Allocasuarina grampiana,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0737,Brachyloma ciliatum,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0739,Brachyloma depressum,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_1105,Caustis flexuosa,"fire_cued_seeding, seed_longevity",perveg,PERSEED,
Sinclair_2017_1228,Chrysocephalum baxteri,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_1298,Coopernookia barbata,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_1330,Correa reflexa var. reflexa,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_1554,Daviesia buxifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_1805,Epacris obtusifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2024,Eucalyptus radiata subsp. radiata,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2061,Eucalyptus viminalis subsp. viminalis,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2321,Goodia lotifolia var. pubescens,"fire_cued_seeding, seed_longevity",k,PERSEED,
Sinclair_2017_2418,Hakea sericea,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2420,Hakea teretifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2766,Lagenophora gracilis,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2784,Lasiopetalum macrophyllum,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2912,Leptospermum turbinatum,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2942,Leucopogon lanceolatus var. lanceolatus,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_2954,Leucopogon virgatus,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3029,Lomandra confertifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3044,Lomandra multiflora subsp. multiflora,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3049,Lomatia ilicifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3168,Melaleuca diosmifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3237,Millotia tenuifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3250,Mirbelia pungens,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3467,Opercularia aspera,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3549,Ozothamnus obcordatus,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3616,Patersonia glabrata,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3664,Persoonia levis,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3665,Persoonia linearis,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3772,Pimelea octophylla,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3843,Platysace lanceolata,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_3879,Poa meionectes,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4099,Prostanthera melissifolia,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4101,Prostanthera nivea,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4106,Prostanthera saxicola,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4275,Pultenaea muelleri,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4543,Scaevola ramosissima,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4905,Stylidium graminifolium,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4910,Stylidium soboliferum,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_4988,Tetratheca pilosa,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_5267,Viola hederacea sensu Thiele & Prober,"fire_cued_seeding, seed_longevity",perseed,PERSEED,
Sinclair_2017_0112,Acacia penninervis,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0195,Acrotriche cordata,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0228,Agonis flexuosa,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0230,Agonis parviceps,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0470,Asterolasia trymalioides,"fire_response_juvenile, fire_response_on_maturity, fire_response",s,PERVEG,
Sinclair_2017_0536,Austrodanthonia caespitosa,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0563,Austrostipa flavescens,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0566,Austrostipa macalpinei,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0696,Boronia algida,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0727,Bossiaea obcordata,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0729,Bossiaea riparia,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0827,Bursaria spinosa,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_0950,Callistemon sieberi,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_1105,Caustis flexuosa,"fire_response_juvenile, fire_response_on_maturity, fire_response",perseed,PERVEG,
Sinclair_2017_1277,Conospermum taxifolium,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_1298,Coopernookia barbata,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_1554,Daviesia buxifolia,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
Sinclair_2017_1562,Daviesia mimosoides subsp. mimosoides,"fire_response_juvenile, fire_response_on_maturity, fire_response",perveg,PERVEG,
