species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Acacia abbreviata,dry,pod,fleshy,aril,45,4,3.75,,10-Apr
Acacia abrupta,dry,pod,fleshy,aril,50,2.75,4,,
Acacia acanthaster,dry,pod,fleshy,aril,,,,,
Acacia acanthoclada,dry,pod,fleshy,aril,,,,,
Acacia acellerata,dry,pod,fleshy,aril,,,,,
Acacia acinacea,dry,pod,fleshy,aril,,,,,
Acacia aciphylla,dry,pod,fleshy,aril,,,,,
Acacia acoma,dry,pod,fleshy,aril,,,,,
Acacia acradenia,dry,pod,fleshy,aril,,,,,12-Jan
Acacia acrionastes,dry,pod,fleshy,aril,,,,,
Acacia acuaria,dry,pod,fleshy,aril,,,,,
Acacia aculeatissima,dry,pod,fleshy,aril,,,,,
Acacia aculeiformis,dry,pod,dry,,,,,,1-Aug
Acacia acuminata,dry,pod,dry,,,,,,10-Jul
Acacia acutata,dry,pod,fleshy,aril,,,,,
Acacia adenogonia,dry,pod,fleshy,aril,,,,,
Acacia adinophylla,dry,pod,fleshy,aril,,,,,
Acacia adnata,dry,pod,fleshy,aril,,,,,
Acacia adoxa,dry,pod,dry,,,,,,
Acacia adsurgens,dry,pod,fleshy,aril,,,,,9-May
Acacia adunca,dry,pod,fleshy,aril,,,,,
Acacia aemula,dry,pod,fleshy,aril,,,,,
Acacia aestivalis,dry,pod,fleshy,aril,,,,,
Acacia alata,dry,pod,fleshy,aril,,,,,
Acacia albizioides,dry,pod,dry,,,,,,
Acacia alcockii,dry,pod,fleshy,aril,,,,,
Acacia alexandri,dry,pod,fleshy,aril,,,,,
Acacia alleniana,dry,pod,dry,,,,,,
Acacia alpina,dry,pod,fleshy,aril,,,,,
Acacia amanda,dry,pod,dry,,,,,,11-May
Acacia amblygona,dry,pod,fleshy,aril,,,,,
Acacia amblyophylla,dry,pod,fleshy,aril,,,,,
Acacia amentifera,dry,pod,dry,,,,,,
Acacia ammobia,dry,pod,fleshy,aril,,,,,10-Aug
Acacia ammophila,dry,pod,fleshy,aril,,,,,
Acacia amoena,dry,pod,fleshy,aril,,,,,
Acacia ampliata,dry,pod,fleshy,aril,,,,,
Acacia ampliceps,dry,pod,fleshy,aril,,,,,
Acacia amputata,dry,pod,dry,,,,,,
Acacia amyctica,dry,pod,dry,,60,3,,,
Acacia anarthros,dry,pod,dry,,,,,,
Acacia anasilla,dry,pod,fleshy,aril,,,,,
Acacia anastema,dry,pod,dry,,,,,,9-Jul
Acacia anaticeps,dry,pod,dry,,,,,,
Acacia anceps,dry,pod,dry,,,,,,
Acacia ancistrocarpa,dry,pod,fleshy,aril,,,,,7-Feb
Acacia ancistrophylla,dry,pod,fleshy,aril,,,,,
Acacia andrewsii,dry,pod,fleshy,aril,,,,,
Acacia aneura,dry,pod,fleshy,aril,,,,,
Acacia anfractuosa,dry,pod,fleshy,aril,,,,,
Acacia angusta,dry,pod,fleshy,aril,,,,,
Acacia anomala,dry,pod,fleshy,aril,,,,,
Acacia anthochaera,dry,pod,dry,,,,,,
Acacia aphanoclada,dry,pod,fleshy,aril,,,,,
Acacia aphylla,dry,pod,fleshy,aril,,,,,
Acacia applanata,dry,pod,fleshy,aril,,,,,
Acacia aprepta,dry,pod,dry,,,,,,1-Oct
Acacia aprica,dry,pod,fleshy,aril,,,,,
Acacia arafurica,dry,pod,fleshy,aril,,,,,5-Apr
Acacia araneosa,dry,pod,fleshy,aril,,,,,
Acacia arbiana,dry,pod,dry,,45,12,,,8-Jul
Acacia arcuatilis,dry,pod,fleshy,aril,,,,,
Acacia argutifolia,dry,pod,fleshy,aril,,,,,
Acacia argyraea,dry,pod,fleshy,aril,,,,,
Acacia argyrodendron,dry,pod,dry,,,,,,
Acacia argyrophylla,dry,pod,dry,,,,,,
Acacia argyrotricha,dry,pod,fleshy,aril,,,,,10-Sep
Acacia arida,dry,pod,fleshy,aril,,,,,10-May
Acacia aristulata,dry,pod,fleshy,aril,,,,,
Acacia armillata,dry,pod,fleshy,aril,,,,,
Acacia armitii,dry,pod,dry,,,,,,
Acacia arrecta,dry,pod,fleshy,aril,,,,,8-Dec
Acacia ascendens,dry,pod,fleshy,aril,,,,,
