Site,Season,Species,Plant ,Leaf,Time,PAR,LAVPD,Leaf Temp,A,E,gs
1,Wet,Brachychiton australis,1,1,5:00,0,0.508410722,22.2,,,
1,Wet,Brachychiton australis,1,2,5:00,0,0.480158714,22,,,
1,Wet,Brachychiton australis,1,3,5:00,0,0.491206642,22.4,,,
1,Wet,Brachychiton australis,1,4,5:00,0,0.515931295,22.3,,,
1,Wet,Brachychiton australis,1,5,5:00,0,0.51480577,22.4,,,
1,Wet,Brachychiton australis,1,1,9:00,1445,1.93763959,30.33,11.5,2.2,0.17
1,Wet,Brachychiton australis,1,2,9:00,793,1.286748854,27.7,12.75,3.43,1.25
1,Wet,Brachychiton australis,1,3,9:00,1470,2.389049444,32.33,8.64,3.02,0.21
1,Wet,Brachychiton australis,1,4,9:00,879,2.026585695,31,8.83,2.78,0.23
1,Wet,Brachychiton australis,1,5,9:00,1403,2.871434584,34.02,7.67,2.48,0.12
1,Wet,Brachychiton australis,1,1,11:00,1510,3.50871711,36.09,8.34,2.92,0.11
1,Wet,Brachychiton australis,1,2,11:00,1458,3.004119035,34.56,11.81,4.08,0.23
1,Wet,Brachychiton australis,1,3,11:00,1481,3.115647365,34.89,9.38,3.64,0.18
1,Wet,Brachychiton australis,1,4,11:00,1549,3.234575364,35.27,9.42,3.38,0.15
1,Wet,Brachychiton australis,1,5,11:00,1489,3.621370533,36.49,6.94,2.13,0.07
1,Wet,Brachychiton australis,1,1,13:00,404,2.722192133,34.19,10.9,4.61,0.34
1,Wet,Brachychiton australis,1,2,13:00,1771,3.787412239,37.27,10.06,6.18,0.32
1,Wet,Brachychiton australis,1,3,13:00,1962,4.981404795,40.58,4.89,3.12,0.08
1,Wet,Brachychiton australis,1,4,13:00,255,2.229049444,32.33,9.99,2.9,0.22
1,Wet,Brachychiton australis,1,5,13:00,1672,4.983577756,40.61,2.04,1.04,0.02
1,Wet,Brachychiton australis,1,1,15:00,409,1.588481744,30.09,8.22,1.8,0.17
1,Wet,Brachychiton australis,1,2,15:00,156,1.191178979,28.22,7.6,2.36,0.48
1,Wet,Brachychiton australis,1,3,15:00,1784,3.705483557,37.12,3.38,1.22,0.04
1,Wet,Brachychiton australis,1,4,15:00,1627,3.280331568,35.85,4.67,1.65,0.06
1,Wet,Brachychiton australis,1,5,15:00,226,1.69751699,30.41,2.99,0.64,0.04
1,Wet,Brachychiton australis,1,1,17:00,1575,3.232488695,36.01,4.75,1.57,0.06
1,Wet,Brachychiton australis,1,2,17:00,1213,2.820851566,34.68,1.78,1.37,0.06
1,Wet,Brachychiton australis,1,3,17:00,1521,3.492031229,36.7,4.34,0.91,0.03
1,Wet,Brachychiton australis,1,4,17:00,245,1.561604096,29.98,3.56,1.69,0.16
1,Wet,Brachychiton australis,1,5,17:00,1513,3.502726417,36.82,3.37,0.87,0.03
1,Wet,Brachychiton australis,2,1,5:00,2,0.508410722,23.51,-0.41,0.02,0
1,Wet,Brachychiton australis,2,2,5:00,2,0.480158714,23.52,-0.99,0.01,0
1,Wet,Brachychiton australis,2,3,5:00,2,0.491206642,23.64,-0.71,0,0
1,Wet,Brachychiton australis,2,4,5:00,2,0.515931295,23.78,-0.69,0.03,0
1,Wet,Brachychiton australis,2,5,5:00,2,0.51480577,23.83,-0.35,0.03,0
1,Wet,Brachychiton australis,2,1,9:00,125,0.935567384,25.81,1.89,1.11,0.23
1,Wet,Brachychiton australis,2,2,9:00,117,0.945242163,25.96,1.14,1.24,0.28
1,Wet,Brachychiton australis,2,3,9:00,1020,1.905084316,30.36,5.71,1.52,0.12
1,Wet,Brachychiton australis,2,4,9:00,1521,2.532950546,32.92,12.46,2.71,0.19
1,Wet,Brachychiton australis,2,5,9:00,1841,2.977598768,34.44,12.9,3.15,0.19
1,Wet,Brachychiton australis,2,1,11:00,1286,3.473579717,35.86,6.62,2.76,0.12
1,Wet,Brachychiton australis,2,2,11:00,1330,3.548578614,36.12,5.53,2.48,0.1
1,Wet,Brachychiton australis,2,3,11:00,1470,3.359264004,35.63,8.45,3.51,0.18
1,Wet,Brachychiton australis,2,4,11:00,1919,3.564683778,36.32,10.52,4.98,0.33
1,Wet,Brachychiton australis,2,5,11:00,2003,3.607969834,36.39,10.06,5.52,0.4
1,Wet,Brachychiton australis,2,1,13:00,1727,3.698399252,36.63,7.53,3.21,0.13
1,Wet,Brachychiton australis,2,2,13:00,678,3.104119035,34.56,1.82,0.82,0.03
1,Wet,Brachychiton australis,2,3,13:00,1894,4.626245854,39.06,4.06,2.31,0.06
1,Wet,Brachychiton australis,2,4,13:00,1750,3.55200271,36.1,8.93,4.85,0.31
1,Wet,Brachychiton australis,2,5,13:00,1836,3.758797668,36.72,8.25,5,0.29
1,Wet,Brachychiton australis,2,1,15:00,1873,4.1668244,38.17,7.93,4.97,0.23
1,Wet,Brachychiton australis,2,2,15:00,1844,5.516043738,41.39,1.76,1.4,0.03
1,Wet,Brachychiton australis,2,3,15:00,1911,5.358006862,40.89,2.92,2,0.04
1,Wet,Brachychiton australis,2,4,15:00,1692,3.89137606,37.05,8.38,4.48,0.22
1,Wet,Brachychiton australis,2,5,15:00,1698,3.568247947,36.21,8.53,5.07,0.34
1,Wet,Brachychiton australis,2,1,17:00,1518,3.098063944,34.93,7.17,2.25,0.1
1,Wet,Brachychiton australis,2,2,17:00,1286,3.43594723,35.99,2.58,0.85,0.03
1,Wet,Brachychiton australis,2,3,17:00,1445,3.668650419,36.69,4.79,1.63,0.05
1,Wet,Brachychiton australis,2,4,17:00,1249,2.98858374,34.64,7.8,3.22,0.19
1,Wet,Brachychiton australis,2,5,17:00,1267,3.030885873,34.81,7.66,3.34,0.2
1,Wet,Brachychiton australis,3,1,5:00,2,0.725989386,25.35,-0.53,-0.21,
1,Wet,Brachychiton australis,3,2,5:00,2,0.703694187,25.39,-0.69,-0.2,
1,Wet,Brachychiton australis,3,3,5:00,2,0.667914086,25.36,-0.33,-0.07,
1,Wet,Brachychiton australis,3,4,5:00,2,0.613898133,25.13,-0.73,0.14,0.02
1,Wet,Brachychiton australis,3,5,5:00,2,0.627238605,25.2,-1.18,0.07,0.01
1,Wet,Brachychiton australis,3,1,9:00,1492,2.910011496,35.57,10.26,6.4,0.64
1,Wet,Brachychiton australis,3,2,9:00,1695,3.582380768,37.57,9.12,4.96,0.24
1,Wet,Brachychiton australis,3,3,9:00,1784,3.081868921,36.13,11.22,6.49,0.56
1,Wet,Brachychiton australis,3,4,9:00,1875,3.428587544,37.1,10.52,5.81,0.35
1,Wet,Brachychiton australis,3,5,9:00,1667,2.586708991,34.47,13.6,7.2,1.52
1,Wet,Brachychiton australis,3,1,11:00,1559,2.637171958,34.57,9.82,6.21,0.79
1,Wet,Brachychiton australis,3,2,11:00,1497,2.720160248,34.84,9.81,6.09,0.67
1,Wet,Brachychiton australis,3,3,11:00,1332,2.405198623,33.83,9.76,6.75,1.59
1,Wet,Brachychiton australis,3,4,11:00,1705,2.910405976,35.54,12.09,7.03,0.86
1,Wet,Brachychiton australis,3,5,11:00,1367,2.410655717,33.95,12.09,7.03,2.14
1,Wet,Brachychiton australis,3,1,13:00,1823,4.024917096,39.03,9.84,7.17,0.38
1,Wet,Brachychiton australis,3,2,13:00,1713,3.707706247,38.2,8.33,7.07,0.44
1,Wet,Brachychiton australis,3,3,13:00,1059,3.310776018,36.99,6.86,5,0.28
1,Wet,Brachychiton australis,3,4,13:00,1833,4.280647772,39.62,7,5.55,0.21
1,Wet,Brachychiton australis,3,5,13:00,1453,3.646736406,37.92,7.29,5.23,0.25
1,Wet,Brachychiton australis,3,1,15:00,1591,4.976212476,37.41,11.41,1.74,0.04
1,Wet,Brachychiton australis,3,2,15:00,1815,5.357371292,38.5,9.03,2.14,0.05
1,Wet,Brachychiton australis,3,3,15:00,1169,4.568454244,36.15,9.07,1.72,0.04
1,Wet,Brachychiton australis,3,4,15:00,1510,5.209846529,38.04,9.06,1.85,0.04
1,Wet,Brachychiton australis,3,5,15:00,964,4.647991175,36.45,6.82,1.22,0.03
1,Wet,Brachychiton australis,3,1,17:00,1299,3.1546385,36.38,7.78,4.21,0.22
1,Wet,Brachychiton australis,3,2,17:00,312,2.092032209,32.81,6.89,2.86,0.23
1,Wet,Brachychiton australis,3,3,17:00,986,3.285413645,36.71,2.6,1.79,0.07
1,Wet,Brachychiton australis,3,4,17:00,203,2.23954983,33.19,2.3,1.27,0.07
1,Wet,Brachychiton australis,3,5,17:00,532,2.211061828,33.09,5.78,2.31,0.15
1,Wet,Brachychiton australis,4,1,5:00,2,0.570095486,25.11,-0.41,0.05,0
1,Wet,Brachychiton australis,4,2,5:00,2,0.606380873,25.3,-0.56,0.03,0
1,Wet,Brachychiton australis,4,3,5:00,2,0.604462165,25.29,-0.09,0.04,0
1,Wet,Brachychiton australis,4,4,5:00,2,0.607914086,25.36,-0.51,0.07,0.01
1,Wet,Brachychiton australis,4,5,5:00,2,0.632730127,25.54,-0.76,0.01,0
1,Wet,Brachychiton australis,4,1,9:00,879,2.188813728,33.91,8.91,2.46,0.17
1,Wet,Brachychiton australis,4,2,9:00,1262,2.644427438,35.49,9.87,3.14,0.19
1,Wet,Brachychiton australis,4,3,9:00,1463,2.727637963,35.78,9.32,4.03,0.27
1,Wet,Brachychiton australis,4,4,9:00,260,1.69541385,32.17,3.78,2.29,0.23
1,Wet,Brachychiton australis,4,5,9:00,1727,3.645314709,38.44,6.91,3.47,0.14
1,Wet,Brachychiton australis,4,1,11:00,1656,3.5282989,37.53,7.3,3.71,0.16
1,Wet,Brachychiton australis,4,2,11:00,1570,3.01871711,36.09,8.3,4.98,0.33
1,Wet,Brachychiton australis,4,3,11:00,1591,2.804009965,35.52,9.28,5.83,0.55
1,Wet,Brachychiton australis,4,4,11:00,1546,3.541877057,37.71,6.58,3.76,0.16
1,Wet,Brachychiton australis,4,5,11:00,1826,3.859078315,38.64,4.34,4.49,0.18
1,Wet,Brachychiton australis,4,1,13:00,1883,5.390241603,42.17,5.75,5.02,0.13
1,Wet,Brachychiton australis,4,2,13:00,1975,5.130603104,41.59,5.16,5.83,0.17
1,Wet,Brachychiton australis,4,3,13:00,1951,4.192177179,39.26,7.56,7.55,0.39
1,Wet,Brachychiton australis,4,4,13:00,1972,7.38573261,46.33,1.66,1.12,0.02
1,Wet,Brachychiton australis,4,5,13:00,1984,4.407321798,39.74,5.43,6.62,0.27
1,Wet,Brachychiton australis,4,1,15:00,1909,7.016979143,45.42,1.64,1.68,0.03
1,Wet,Brachychiton australis,4,2,15:00,1911,6.639999571,44.64,1.91,2.7,0.05
1,Wet,Brachychiton australis,4,3,15:00,1883,5.834615345,42.99,3.64,4.22,0.09
1,Wet,Brachychiton australis,4,4,15:00,1797,7.628479537,46.6,2.26,0.72,0
1,Wet,Brachychiton australis,4,5,15:00,1886,6.856589545,45.1,2.57,2.8,0.05
1,Wet,Brachychiton australis,4,1,17:00,1178,4.826847848,40.12,1.97,1.05,0.02
1,Wet,Brachychiton australis,4,2,17:00,1082,3.897088069,37.64,5.61,2.78,0.09
1,Wet,Brachychiton australis,4,3,17:00,928,3.616572529,36.89,4.71,2.52,0.09
1,Wet,Brachychiton australis,4,4,17:00,1093,4.639675931,39.54,0.92,0.62,0.01
1,Wet,Brachychiton australis,4,5,17:00,1105,4.132239238,38.24,3.12,1.76,0.05
1,Wet,Cochlospermum gillivraei,1,1,5:00,2,0.507988896,23.96,,,
1,Wet,Cochlospermum gillivraei,1,2,5:00,2,0.512334349,24.04,,,
1,Wet,Cochlospermum gillivraei,1,3,5:00,2,0.515774591,24.17,,,
1,Wet,Cochlospermum gillivraei,1,4,5:00,2,0.498462627,24.24,,,
1,Wet,Cochlospermum gillivraei,1,5,5:00,2,0.486647198,24.23,,,
1,Wet,Cochlospermum gillivraei,1,1,9:00,1262,2.600984032,33.23,7.69,3.32,0.21
1,Wet,Cochlospermum gillivraei,1,2,9:00,365,1.859987449,30.54,4.36,2.38,0.21
1,Wet,Cochlospermum gillivraei,1,3,9:00,1137,2.669479251,33.64,6.67,3.01,0.17
1,Wet,Cochlospermum gillivraei,1,4,9:00,599,1.802475573,30.51,9.22,3.84,0.58
1,Wet,Cochlospermum gillivraei,1,5,9:00,751,2.390830392,32.77,5.15,2.89,0.19
1,Wet,Cochlospermum gillivraei,1,1,11:00,597,2.052323987,31.37,6.52,3.6,0.37
1,Wet,Cochlospermum gillivraei,1,2,11:00,1617,3.454858443,36.23,7.37,3.93,0.17
1,Wet,Cochlospermum gillivraei,1,3,11:00,1867,3.649751272,36.87,5.83,5.05,0.24
1,Wet,Cochlospermum gillivraei,1,4,11:00,1932,3.395160797,36.14,7.55,6.67,0.48
1,Wet,Cochlospermum gillivraei,1,5,11:00,1126,3.235693813,35.65,4.86,4.14,0.21
1,Wet,Cochlospermum gillivraei,1,1,13:00,1773,3.445570538,36.74,8.52,5.06,0.26
1,Wet,Cochlospermum gillivraei,1,2,13:00,1640,3.653210329,37.43,5.48,4.12,0.17
1,Wet,Cochlospermum gillivraei,1,3,13:00,1440,4.236071032,38.98,3.72,2.36,0.07
1,Wet,Cochlospermum gillivraei,1,4,13:00,1424,3.211643752,36.19,8.51,5.15,0.31
1,Wet,Cochlospermum gillivraei,1,5,13:00,899,3.531068719,37.02,3.21,2.57,0.09
1,Wet,Cochlospermum gillivraei,1,1,15:00,1184,2.528145497,33.84,7.29,3.13,0.2
1,Wet,Cochlospermum gillivraei,1,2,15:00,1737,3.90788099,38.09,5,2.72,0.09
1,Wet,Cochlospermum gillivraei,1,3,15:00,1539,3.781700999,37.85,5.75,2.92,0.1
1,Wet,Cochlospermum gillivraei,1,4,15:00,1372,3.284637261,36.41,6.75,3.9,0.19
1,Wet,Cochlospermum gillivraei,1,5,15:00,1648,4.682602802,40.26,2.44,2.33,0.06
1,Wet,Cochlospermum gillivraei,1,1,17:00,999,3.061672159,35.45,0.12,0.07,0
1,Wet,Cochlospermum gillivraei,1,2,17:00,1077,2.670347246,34.35,4.99,1.87,0.09
1,Wet,Cochlospermum gillivraei,1,3,17:00,226,1.824935955,31.38,3.98,1.42,0.1
1,Wet,Cochlospermum gillivraei,1,4,17:00,234,1.839009456,31.51,3.9,1.49,0.11
1,Wet,Cochlospermum gillivraei,1,5,17:00,1205,3.510776018,36.99,1.53,1.01,0.03
1,Wet,Cochlospermum gillivraei,2,1,5:00,2,0.02,23.96,-0.98,-0.98,0.02
1,Wet,Cochlospermum gillivraei,2,2,5:00,2,0.02,24.04,-0.47,0.11,0.02
1,Wet,Cochlospermum gillivraei,2,3,5:00,2,0,24.17,-0.66,0.09,0.02
1,Wet,Cochlospermum gillivraei,2,4,5:00,2,0,24.24,-0.35,0.02,0
1,Wet,Cochlospermum gillivraei,2,5,5:00,2,0,24.23,-0.25,0,0
1,Wet,Cochlospermum gillivraei,2,1,9:00,1166,0.15,32.76,6.41,0.02,0
1,Wet,Cochlospermum gillivraei,2,2,9:00,1176,0.1,33.69,5.27,2.42,0.15
1,Wet,Cochlospermum gillivraei,2,3,9:00,1299,0.08,34.49,4.52,1.91,0.1
1,Wet,Cochlospermum gillivraei,2,4,9:00,1048,0.2,32.49,5.24,1.86,0.08
1,Wet,Cochlospermum gillivraei,2,5,9:00,534,0.15,30.79,4.65,2.74,0.2
1,Wet,Cochlospermum gillivraei,2,1,11:00,1815,0.13,38.22,5.56,1.89,0.15
1,Wet,Cochlospermum gillivraei,2,2,11:00,1919,0.09,39.83,4.09,3.66,0.13
1,Wet,Cochlospermum gillivraei,2,3,11:00,1685,0.08,39.57,4.47,3.19,0.09
1,Wet,Cochlospermum gillivraei,2,4,11:00,1541,0.29,36.54,7.36,2.72,0.08
1,Wet,Cochlospermum gillivraei,2,5,11:00,1304,0.46,35.08,7.22,4.89,0.29
1,Wet,Cochlospermum gillivraei,2,1,13:00,2008,0.16,39.27,6.61,5.2,0.46
1,Wet,Cochlospermum gillivraei,2,2,13:00,1987,0.09,40.9,3.96,4.36,0.16
1,Wet,Cochlospermum gillivraei,2,3,13:00,1951,0.13,40.29,4.62,3.43,0.09
1,Wet,Cochlospermum gillivraei,2,4,13:00,1990,0.42,38.56,6.5,4.22,0.13
1,Wet,Cochlospermum gillivraei,2,5,13:00,1940,0.28,39.3,7.9,6.64,0.42
1,Wet,Cochlospermum gillivraei,2,1,15:00,148,0.11,32.23,4.94,5.95,0.28
1,Wet,Cochlospermum gillivraei,2,2,15:00,745,0.12,34.24,6.16,1.76,0.11
1,Wet,Cochlospermum gillivraei,2,3,15:00,1886,0.05,40.04,4.86,2.32,0.12
1,Wet,Cochlospermum gillivraei,2,4,15:00,1833,0.19,37.43,8.5,1.88,0.05
1,Wet,Cochlospermum gillivraei,2,5,15:00,1881,0.2,37.67,7.94,4.15,0.19
1,Wet,Cochlospermum gillivraei,2,1,17:00,1161,0.06,36.12,4.74,4.34,0.2
1,Wet,Cochlospermum gillivraei,2,2,17:00,1184,0.08,36.04,5.39,1.76,0.06
1,Wet,Cochlospermum gillivraei,2,3,17:00,1234,0.11,36.03,6.5,2.12,0.08
1,Wet,Cochlospermum gillivraei,2,4,17:00,1275,0.21,35.18,9.46,2.54,0.11
1,Wet,Cochlospermum gillivraei,2,5,17:00,1343,0.17,35.83,8.62,3.52,0.21
1,Wet,Cochlospermum gillivraei,3,1,5:00,2,0.719216222,25.98,-0.21,3.27,0.17
1,Wet,Cochlospermum gillivraei,3,2,5:00,2,0.685567384,25.81,-0.16,0.01,0
1,Wet,Cochlospermum gillivraei,3,3,5:00,2,0.668078018,25.67,0.96,0.09,0.01
1,Wet,Cochlospermum gillivraei,3,4,5:00,2,0.638564485,25.57,-0.57,0.08,0.01
1,Wet,Cochlospermum gillivraei,3,5,5:00,2,0.616904842,25.51,-0.49,0.04,0
1,Wet,Cochlospermum gillivraei,3,1,9:00,1899,3.515425022,37.72,8.22,9.08,1.08
1,Wet,Cochlospermum gillivraei,3,2,9:00,1748,4.031144365,39.02,7.38,7.2,0.38
1,Wet,Cochlospermum gillivraei,3,3,9:00,1690,3.205741909,36.77,7.12,9.16,
1,Wet,Cochlospermum gillivraei,3,4,9:00,1881,3.038166055,36.24,10.61,10.49,
1,Wet,Cochlospermum gillivraei,3,5,9:00,1896,3.992258751,38.89,5.58,8.16,0.53
1,Wet,Cochlospermum gillivraei,3,1,11:00,1967,4.375149606,40.04,7.27,7.35,0.34
1,Wet,Cochlospermum gillivraei,3,2,11:00,1919,3.821025811,38.94,6.33,8.31,0.62
1,Wet,Cochlospermum gillivraei,3,3,11:00,1698,3.785059148,38.71,9.58,7.77,0.53
1,Wet,Cochlospermum gillivraei,3,4,11:00,1859,2.805020224,35.71,10.42,11.03,
1,Wet,Cochlospermum gillivraei,3,5,11:00,,0.611637868,,,,
1,Wet,Cochlospermum gillivraei,3,1,13:00,1659,5.242112291,41.57,4.6,4.03,0.1
1,Wet,Cochlospermum gillivraei,3,2,13:00,1607,4.303628025,39.29,6.04,5.92,0.24
1,Wet,Cochlospermum gillivraei,3,3,13:00,1768,4.931569418,40.85,6.62,5.14,0.15
1,Wet,Cochlospermum gillivraei,3,4,13:00,1416,3.105590382,36.05,8.28,7.95,1.04
1,Wet,Cochlospermum gillivraei,3,5,13:00,1513,4.183807171,39.08,5.29,5.91,0.25
1,Wet,Cochlospermum gillivraei,3,1,15:00,1048,5.668908023,41.68,1.72,1.83,0.04
1,Wet,Cochlospermum gillivraei,3,2,15:00,1221,5.12671891,40.17,3.88,3.78,0.1
1,Wet,Cochlospermum gillivraei,3,3,15:00,1072,5.020335215,39.85,3.66,3.25,0.08
1,Wet,Cochlospermum gillivraei,3,4,15:00,1317,4.953422359,39.73,3.97,4.45,0.12
1,Wet,Cochlospermum gillivraei,3,5,15:00,1148,5.633130692,41.24,3.02,2.35,0.05
1,Wet,Cochlospermum gillivraei,3,1,17:00,1145,4.217737715,38.31,2.06,1.08,0.03
1,Wet,Cochlospermum gillivraei,3,2,17:00,1126,3.798587544,37.1,5.77,2.24,0.07
1,Wet,Cochlospermum gillivraei,3,3,17:00,1048,3.788255763,37.07,5.58,2.13,0.07
1,Wet,Cochlospermum gillivraei,3,4,17:00,1304,4.30105342,38.51,2.95,2.11,0.06
1,Wet,Cochlospermum gillivraei,3,5,17:00,1053,4.253320059,38.38,1.72,1.26,0.03
1,Wet,Cochlospermum gillivraei,4,1,5:00,2,0.598564485,25.57,,-0.16,0
1,Wet,Cochlospermum gillivraei,4,2,5:00,2,0.567914086,25.36,,-0.12,0
1,Wet,Cochlospermum gillivraei,4,3,5:00,2,0.624407926,25.6,,-0.04,0
1,Wet,Cochlospermum gillivraei,4,4,5:00,2,0.641797787,25.74,,-0.07,0
1,Wet,Cochlospermum gillivraei,4,5,5:00,2,0.66162812,25.79,,0.03,0
1,Wet,Cochlospermum gillivraei,4,1,9:00,1909,2.70250398,35.2,9.77,6.49,0.83
1,Wet,Cochlospermum gillivraei,4,2,9:00,1875,2.652968961,35.01,10.02,7,1.17
1,Wet,Cochlospermum gillivraei,4,3,9:00,1745,2.614281208,34.95,11.37,7.05,1.34
1,Wet,Cochlospermum gillivraei,4,4,9:00,1888,3.6968244,38.17,7,5.53,0.27
1,Wet,Cochlospermum gillivraei,4,5,9:00,1470,2.73848716,35.44,4.2,7.16,1.17
1,Wet,Cochlospermum gillivraei,4,1,11:00,1831,3.793200523,38.16,7.75,6.47,0.35
1,Wet,Cochlospermum gillivraei,4,2,11:00,1627,3.367636192,37.01,7.69,7.24,0.59
1,Wet,Cochlospermum gillivraei,4,3,11:00,1914,3.705449448,38,8.35,8.05,0.61
1,Wet,Cochlospermum gillivraei,4,4,11:00,1984,5.360241603,42.17,4.33,5.05,0.13
1,Wet,Cochlospermum gillivraei,4,5,11:00,1789,3.998691588,39.04,3.93,7.56,0.44
1,Wet,Cochlospermum gillivraei,4,1,13:00,1748,5.448976508,42.8,4.92,3.33,0.08
1,Wet,Cochlospermum gillivraei,4,2,13:00,1458,4.801836065,41.38,3.37,3.74,0.1
1,Wet,Cochlospermum gillivraei,4,3,13:00,1246,3.961913205,39.39,7.01,4.99,0.2
