Species,Branch,Psi (MPa),PLC,,
Brachychiton australis,1,-0.77,30.85,,
Brachychiton australis,2,-1.84,25.80,,
Brachychiton australis,3,-1.43,21.61,,
Brachychiton australis,4,-1.27,16.89,,
Brachychiton australis,5,-2.33,33.00,,
Brachychiton australis,6,-0.90,16.32,,
Brachychiton australis,7,-2.54,31.73,,
Brachychiton australis,8,-2.32,17.68,,
Brachychiton australis,9,-2.96,48.82,,
Brachychiton australis,10,-3.17,45.49,,
Brachychiton australis,11,-3.39,60.07,,
Brachychiton australis,12,-0.48,1.00,,
Brachychiton australis,13,-0.68,6.04,,
Cochlospermum gillivraei,1,-2.03,95.99,,
Cochlospermum gillivraei,2,-2.50,92.12,,
Cochlospermum gillivraei,3,-1.82,91.47,,
Cochlospermum gillivraei,4,-1.25,16.10,,
Cochlospermum gillivraei,5,-0.45,1.00,,
Cochlospermum gillivraei,6,-1.25,20.44,,
Cochlospermum gillivraei,7,-1.32,50.20,,
Cochlospermum gillivraei,8,-1.75,76.30,,
Cochlospermum gillivraei,9,-2.38,95.34,,
Cochlospermum gillivraei,10,-1.32,42.97,,
Cochlospermum gillivraei,11,-1.71,95.21,,
Cochlospermum gillivraei,12,-2.33,74.96,,
Cochlospermum gillivraei,13,-0.72,10.90,,
Cochlospermum gillivraei,14,-0.75,16.95,,
Alphitonia excelsa,1,-0.58,1.00,,
Alphitonia excelsa,2,-1.35,10.87,,
Alphitonia excelsa,3,-0.83,9.51,,
Alphitonia excelsa,4,-1.62,21.23,,
Alphitonia excelsa,5,-3.50,18.66,,
Alphitonia excelsa,6,-2.93,18.68,,
Alphitonia excelsa,7,-5.20,42.09,,
Alphitonia excelsa,8,-5.10,48.10,,
Alphitonia excelsa,9,-1.40,11.82,,
Alphitonia excelsa,10,-2.43,19.24,,
Alphitonia excelsa,11,-4.70,28.81,,
Alphitonia excelsa,12,-5.50,31.45,,
Alphitonia excelsa,13,-6.70,78.42,,
Alphitonia excelsa,14,-6.50,61.09,,
Gossia bidwillii,1,-1.42,26.75,,
Gossia bidwillii,2,-1.22,18.86,,
Gossia bidwillii,3,-1.21,34.98,,
Gossia bidwillii,4,-3.12,47.92,,
Gossia bidwillii,5,-0.13,10.87,,
Gossia bidwillii,6,-3.77,57.45,,
Gossia bidwillii,7,-1.40,18.57,,
Gossia bidwillii,8,-1.65,37.22,,
Gossia bidwillii,9,-5.40,40.76,,
Gossia bidwillii,10,-6.14,55.36,,
Gossia bidwillii,11,-2.75,24.54,,
Gossia bidwillii,12,-0.18,23.31,,
Gossia bidwillii,13,-6.70,70.50,,
Gossia bidwillii,14,-5.62,38.61,,
