Species,"Conservation
status",MAT (°C),latitude,longitude,Fire response,1000 seed weight (g),Region,"diurnal temp, optimum, C","mean temp, optimum","optimum temp, C",MTG (days),germination (%),"current diurnal temp, C","current mean temp, C",current MTG (days),current germination (%),"2070 diurnal temp, C","2070 mean temp, C",2070 MTG (days),2070 germination (%)
Eucalyptus aequioperta,,-17.3,32.039,118.898,Resprout,0.24,Wheat belt,17/12,14,14,23.4,80,17/6,17,28,38,20/8,14,25.6,36
Eucalyptus argutifolia,DRF,-18.5,31.285,115.448,Resprout,0.98,Coastal,18/15,16,11,15.7,100,19/10,14,27.8,74,21/12,17,25.4,72
Eucalyptus burdettiana,DRF,-16.6,33.923,120.029,Resprout,4.41,Coastal,25/22,24,7,7,100,28/15,28,15.4,89,30/17,24,15,90
Eucalyptus calcicola subsp. unita,P4,-15.1,35.105,117.623,Resprout,4,Coastal,26/25,26,5,23.3,100,24/14,24,24,80,26/16,21,21,84
Eucalyptus conferruminata,,-16,35.106,118.017,Seeder,2.22,Coastal,31/25,28,4,6.9,100,25/15,25,14.6,94,26/17,22,13.5,94
Eucalyptus crispata,DRF,-19.7,29.664,115.415,Resprout,0.56,Inland,26/25,25,3,7.6,100,28/14,13,16.4,86,31/18,13,13.8,88
Eucalyptus erythrocorys,,-19.4,30.046,115.045,Resprout,12.5,Coastal,41/31,36,3,3,100, 33/18,33,6,99,34/20,27,5.7,99
Eucalyptus georgei subsp. fulgida,P4,-16.7,32.382,119.837,Seeder,0.98,Wheat belt,15/11,13,14,19.6,100,15/5,15,31,63,19/8,14,30,57
Eucalyptus insularis,DRF,-15.9,33.992,122.139,Resprout,1.58,Coastal,22/12,17,14,18.4,100,18/8,18,23.6,85,19/10,15,22.7,85
Eucalyptus jimberlanica,Pl,-17,32.152,121.815,Resprout,1.09,Inland,12/12,12,14,19.4,95,16/7,16,25.1,37,19/9,14,21.8,35
Eucalyptus kondininensis,,-15.9,32.946,117.271,Seeder,0.42,Wheat belt,14/12,13,17,10.6,100,15/6,15,30.5,82,18/8,13,28,69
Eucalyptus kruseana,P4,-17.7,30.927,122.55,Resprout,0.45,Goldfields,20/17,19,10,12.6,100,16/6,16,28,78,20/8,14,24,76
Eucalyptus livida,,-16.1,32.678,119.782,Resprout,0.49,Wheat belt,14/12,13,13,18.4,100,27/13,27,29.4,71,27/14,21,29.2,76
Eucalyptus marginata,,-18.4,32.097,115.882,Resprout,9.27,Coastal,21/20,20,10,12.6,100,25/14,25,19.6,84,24/14,19,19.5,85
Eucalyptus megacornuta,,-15.9,33.613,120.152,Seeder,2.61,Coastal,20/17,18,9,13.8,100,23/11,23,23.7,89,26/14,20,22.6,90
Eucalyptus myriadena,,-16.7,32.799,119.441,Resprout,0.16,Wheat belt,41/23,32,6,11.8,100,31/15,31,22,63,34/18,26,20,69
Eucalyptus newbeyi,P3,-15.9,34.448,118.878,Seeder,1.43,Coastal,23/19,21,7,12.4,100,17/7,17,23.8,90,19/9,14,22.2,88
Eucalyptus nigrifunda,P4,-19,29.97,122.874,Seeder,0.35,Goldfields,23/22,23,10,14.2,100,26/13,26,26,84,30/17,24,24.2,86
Eucalyptus nutans,DRF,-16.3,34.377,119.388,Seeder,0.44,Coastal,22/17,19,6,12.9,100,27/15,27,16.6,85,29/1 7,23,15.8,85
Eucalyptus pimpiniana,P3,-18.6,30.12,123.174,Resprout,1.92,Goldfields,23/15,19,8,10.1,100,26/13,26,20,88,24/12,18,20,89
Eucalyptus preissiana subsp. lobata,P4,-17,33.92,120.555,Resprout,3.83,Coastal,23/20,21,11,11,100,28/16,22,19.3,90,29118,24,18.1,91
Eucalyptus rugulata,P4,-16.1,32.678,119.777,Seeder,1.43,Wheat belt,15/14,15,10,14.4,100,16/6,16,26,98,19/8,14,25,98
Eucalyptus spathulata subsp. salina,P3,-17,32.223,118.079,Seeder,0.56,Wheat belt,25/20,23,6,8.7,100,24/11,24,18,81,23/11,17,20,83
Eucalyptus staeri,,-15.5,34.884,118.407,Resprout,9.05,Montane,18/17,18,14,17.2,90,25/15,25,29.8,72,26/17,22,28.9,73
Eucalyptus subtilis,,-16.3,32.91,119.483,Resprout,0.28,Wheat belt,28/23,26,6,9.7,100,28/14,28,20,89,27/14,21,19,91
Eucalyptus talyuberlup,,-14.7,34.413,117.959,Resprout,2.72,Montane,22/19,21,6,9.5,100,21/10,21,17.1,91,24/13,19,14.9,91
