genus,species,form,height,stem diameter,fruits,dispersers,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Acanthus,ilicifolius,shrub,3,NA,capsule,NA,NA,17,25,9,12,6,12,Acanthus ilicifolius,111NNN111111,111NNNNNNNN1
Asystasia,(Newcastle Bay),herb,1,NA,capsule,NA,NA,15,28,3,5,3,5,Asystasia (Newcastle Bay),NNN11111NNNN,NNN11111NNNN
Asystasia,australiasica,herb,0.5,NA,capsule,NA,NA,22,22,4,4,2,3,Asystasia australiasica,1.11111E+11,NNNNNN1NNNNN
Barleria,cristata,shrub,2,NA,capsule,NA,NA,9,9,4,4,NA,NA,Barleria cristata,11111111NNNN,11111111NNNN
Brillantaisia,lamium,shrub,2,NA,capsule,NA,NA,25,40,2,3,1,2,Brillantaisia lamium,1NNN11111111,NNNNNNN111NN
Dicliptera,spicata,herb/shrub,1,NA,capsule,NA,NA,3,3,1,1,1,2,Dicliptera spicata,NNNN1111111N,NNNN1111111N
Dipteracanthus,australasicus,herb/shrub,1.5,NA,capsule,NA,NA,7,17,5,5,NA,NA,Dipteracanthus australasicus,1.11111E+11,NN11NNNNNNNN
Graptophyllum,excelsum,shrub,3,NA,capsule,NA,NA,17,27,NA,NA,3,5,Graptophyllum excelsum,11NNN1111111,11NNN1111111
Graptophyllum,ilicifolium,tree,10,NA,capsule,NA,NA,10,26,NA,NA,NA,NA,Graptophyllum ilicifolium,NNNNNN1NNNNN,NNNNNN111111
Graptophyllum,spinigerum,shrub,3 (rarely to 8),NA,capsule,NA,NA,15,20,NA,NA,NA,NA,Graptophyllum spinigerum,NNNNNN1111NN,NNNNNNNNNN11
Harnieria,hygrophiloides,herb,2,NA,capsule,NA,NA,8,10,NA,NA,2,2,Harnieria hygrophiloides,N11111111111,NNN111111111
Hemigraphis,alternata,herb,prostrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemigraphis alternata,NNNNNNNN1111,NA
Hemigraphis,royenii,herb,prostrate,NA,capsule,NA,NA,8,9,NA,NA,1,2,Hemigraphis royenii,NNNNN1111111,NNNNNNNNN1NN
Hypoestes,floribunda,herb/shrub,1.2,NA,capsule,NA,NA,9,13,NA,NA,1,2,Hypoestes floribunda,11111111111N,1NNNN1111111
