floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,19,Acanthaceae,,Acanthus,ilicifolius,,shrub,3,,July,March,capsule,December,March,,,,17,25,9,12,6,12,,,8,,4,coastal,,,,,,,1,,,,1,,,,,,,,,,0,0,0,1,1,Torres Strait Islands,9.3,0,6,148,Rockhampton,23.36666667,150.5,NT,"New Guinea, Pacific Islands, Malesia, Asia & India",-30,,14.1,53.4,39.3,9,-30,23,23,14,53
,21,Acanthaceae,,Asystasia,(Newcastle Bay),,herb,1,,April,August,capsule,April,(August),,,,15,28,3,5,3,5,,,9,Introduced,,dry rainforest,,,,,,1,,,,,,,,1,,,,,,,0,620,620,1,2,Cape York,10.68333333,142.5166667,3,81,Mt Pinnacle west of Mareeba,17.23333333,145.05,,"India, Malaysia, & Africa",,,6.6,6.6,0,10,10,17,17,6,6
,20,Acanthaceae,,Asystasia,australiasica,,herb,0.5,,January,December,capsule,July,July,,,,22,22,4,4,2,3,,,9,,3,rainforest/dry rainforest,,,,,,1,,1,,,,,,1,,,,,,,0,80,80,1,1,Torres Strait Islands,9.3,0,1,1,Torres Strait Islands,9.3,0,,New Guinea,8,,0,1.3,1.3,9,9,9,9,0,1
,22,Acanthaceae,,Barleria,cristata,,shrub,2,,January,August,capsule,January,(August),,,,9,9,4,4,,,,,9,Introduced,,rainforest/coastal,,,,,,,1,1,,,1,,,,,,,,,,0,0,0,1,1,Torres Strait Islands,9.3,0,7,149,"Mitchell, W Qld",26.48333333,147.9666667,,India & Asia,,,17.2,17.2,0,9,9,26,26,17,17
,23,Acanthaceae,,Brillantaisia,lamium,,shrub,2,,May,January,capsule,August,October,,,,25,40,2,3,1,2,,,9,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,100,100,2,60,Cooper Creek area near Cape Tribulation,16.18333333,145.4333333,3,105,Innisfail area,17.58333333,146.0833333,,Africa,,,1.4,1.4,0,16,16,17,17,1,1
,24,Acanthaceae,,Dicliptera,spicata,,herb/shrub,1,,May,November,capsule,May,November,,,,3,3,1,1,1,2,,,9,,4,dry rainforest/coastal,,,,,,1,1,,1,,1,,,1,,,,,,,0,320,320,1,21,Batavia Downs near Weipa,12.66666667,142.6666667,1,47,Mitchell River,15.18333333,141.5833333,NT & WA,Timor,9,,2.5,6.2,3.7,12,12,15,15,2,6
,25,Acanthaceae,,Dipteracanthus,australasicus,,herb/shrub,1.5,,January,December,capsule,March,April,,,,7,17,5,5,,,,,9,,2.5,dry rainforest,,,,,,1,,,,,,,,1,,,,,,,250,620,370,3,86,Chillagoe,17.15,144.5166667,8,150,NSW,29.5,0,"WA, NT & SA",,,,12.4,12.4,0,17,17,29,29,12,12
,26,Acanthaceae,,Graptophyllum,excelsum,,shrub,3,,June,February,capsule,June,February,,,,17,27,,,3,5,,,9,,2,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,50,630,580,3,86,Chillagoe,17.15,144.5166667,7,149,"Jimna, SE Qld",26.65,152.45,,,,,9.5,9.5,0,17,17,26,26,9,9
,27,Acanthaceae,,Graptophyllum,ilicifolium,,tree,10,,July,July,capsule,July,(December),,,,10,26,,,,,,,10,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,80,160,80,6,142,Mackay area,21.13333333,149.1833333,6,142,Mackay area,21.13333333,149.1833333,,,,,0,0,0,21,21,21,21,0,0
,28,Acanthaceae,,Graptophyllum,spinigerum,,shrub,3 (rarely to 8),,July,October,capsule,November,December,,,,15,20,,,,,59,,10,,3,subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,,1,,,,,,0,500,500,1,27,Nesbit River near Coen,13.55,143.5833333,7,149,"Upper Ormeau, SE Qld (Ormeau)",27.78333333,153.25,NT,New Guinea,8,,14.2,19.8,5.6,13,13,27,27,14,19
