Campaign,Date,Year,Ring,CO2.treat,Tree,Age,LeafAge (days),LMA (g m-2),NP (g N g-1 P),CP (g Carbon g-1 P),CN (g C g-1 N),Nm (mg g-1),Pm (mg g-1),Na ( g m-2),Pa (g m-2)
Apr-15,14/04/2015,2015,3,Amb,301,old,93,166.489216,21.55,645.85,30.05,17.023,0.792002,2.8345,0.132
Apr-15,14/04/2015,2015,3,Amb,302,old,93,207.587956,20.7,741.25,35.85,12.8875,0.623022,2.6855,0.1295
Apr-15,14/04/2015,2015,3,Amb,311,old,93,224.713191,19.9,756.4,38.1,13.6,0.684692,3.056,0.154
Apr-15,14/04/2015,2015,3,Amb,320,old,93,215.925723,23.1,767.9,33.2,15.453,0.669008,3.336,0.1445
Apr-15,14/04/2015,2015,3,Amb,321,old,93,210.495932,21.2,644.7,30.4,16.469,0.776988,3.467,0.164
Apr-15,14/04/2015,2015,4,Elev,403,old,93,231.039262,22.9,851.4,37.25,13.6705,0.59814,3.1595,0.138
Apr-15,14/04/2015,2015,4,Elev,408,old,93,194.226968,22.3,751.7,33.9,14.7225,0.660919,2.8685,0.1285
Apr-15,14/04/2015,2015,4,Elev,414,old,93,243.738255,22.7,773.1,34.1,14.855,0.654781,3.621,0.16
Apr-15,14/04/2015,2015,4,Elev,422,old,93,226.934513,18.5,612.6,33,15.3105,0.83311,3.4685,0.188
Apr-15,15/04/2015,2015,1,Elev,111,old,93,216.708494,23.9,795.6,33.3,15.384,0.643733,3.334,0.14
Apr-15,15/04/2015,2015,1,Elev,116,old,93,256.002711,21.15,886.2,41.85,11.826,0.55958,3.027,0.1435
Apr-15,15/04/2015,2015,1,Elev,117,old,93,232.346488,21.7,875.55,40.55,12.8035,0.587968,2.927,0.135
Apr-15,15/04/2015,2015,1,Elev,122,old,93,217.168808,21.3,744.6,34.8,14.3335,0.676761,3.0975,0.146
Apr-15,15/04/2015,2015,2,Amb,201,old,93,178.452096,23.7,750.2,31.6,16.042,0.676284,2.863,0.121
Apr-15,15/04/2015,2015,2,Amb,202,old,93,201.849338,21,667,31.65,16.03,0.76567,3.242,0.155
Apr-15,15/04/2015,2015,2,Amb,208,old,93,204.813689,21.35,737.75,34.6,14.8875,0.698683,3.05,0.143
Apr-15,15/04/2015,2015,2,Amb,209,old,93,263.306173,22.3,769.15,34.55,14.6175,0.653869,3.841,0.172
Apr-15,16/04/2015,2015,5,Elev,501,old,93,206.246498,16.4,561.65,34.75,14.339,0.871817,2.956,0.1795
Apr-15,16/04/2015,2015,5,Elev,502,old,93,198.492873,15.95,511.55,32.1,15.5115,0.97216,3.078,0.1925
Apr-15,16/04/2015,2015,5,Elev,509,old,93,263.132851,17.4,771.2,44.3,11.818,0.679103,3.11,0.179
Apr-15,16/04/2015,2015,5,Elev,513,old,93,176.271903,18.5,572.85,31.05,16.0605,0.884118,2.8265,0.157
Apr-15,16/04/2015,2015,6,Amb,603,old,93,152.050017,30.6,1022.3,33,15.363,0.554703,2.3345,0.084
Apr-15,16/04/2015,2015,6,Amb,607,old,93,166.751375,21.75,667.3,30.7,16.164,0.743887,2.688,0.1235
Apr-15,16/04/2015,2015,6,Amb,612,old,93,196.871112,21.4,937.8,43.8,11.54,0.538949,2.272,0.106
Apr-15,16/04/2015,2015,6,Amb,614,old,93,219.554154,21.65,789.8,36.45,13.8545,0.640737,3.042,0.141
Feb-13,13/02/2013,2013,4,Elev,403,old,364,210.534158,20.15,700.45,37.133333,13.006394,0.680281,2.724,0.136
Feb-13,13/02/2013,2013,4,Elev,408,old,364,171.23844,24.1,681.7,28.35,16.671833,0.692927,2.8555,0.1185
Feb-13,13/02/2013,2013,4,Elev,414,old,364,176.656658,28.85,910.9,31.6,15.109749,0.562388,2.6685,0.1005
Feb-13,13/02/2013,2013,6,Amb,603,old,364,160.815615,22.15,647.95,29.25,16.521051,0.745366,2.652,0.1195
Feb-13,13/02/2013,2013,6,Amb,607,old,364,177.334595,24.7,742.1,30.1,15.715482,0.637211,2.7825,0.113
Feb-13,13/02/2013,2013,6,Amb,612,old,364,175.066131,20.65,606.45,29.4,16.587978,0.803402,2.906,0.1405
Feb-13,14/02/2013,2013,1,Elev,116,old,364,217.909339,19.6,706.8,35.75,13.030677,0.709489,2.824,0.1465
Feb-13,14/02/2013,2013,1,Elev,117,old,364,197.969095,16.5,501.466667,30.333333,16.046221,0.997423,3.161333,0.196667
Feb-13,14/02/2013,2013,1,Elev,122,old,364,192.634732,23,696.3,30.35,15.739798,0.684549,3.005,0.1315
Feb-13,14/02/2013,2013,2,Amb,207,old,364,230.101372,14,464.35,33.25,14.581835,1.096536,3.3535,0.254
Feb-13,14/02/2013,2013,2,Amb,208,old,364,173.033593,21,607.1,28.95,17.154123,0.817828,2.9675,0.1415
Feb-13,14/02/2013,2013,2,Amb,209,old,364,192.606625,23.3,777.8,33.4,14.082093,0.606028,2.7115,0.1165
Feb-13,15/02/2013,2013,3,Amb,302,old,364,156.975586,19.55,601.05,31.933333,15.278503,0.810349,2.380667,0.117
Feb-13,15/02/2013,2013,3,Amb,320,old,364,182.819362,22.25,721.4,32.5,14.900306,0.669678,2.705,0.122
Feb-13,15/02/2013,2013,3,Amb,321,old,364,177.525654,20.35,556.55,27.35,17.219505,0.846233,3.0565,0.1505
Feb-13,15/02/2013,2013,5,Elev,501,old,364,165.517456,22.7,731.65,32.2,14.256593,0.630938,2.357,0.1045
Feb-13,15/02/2013,2013,5,Elev,502,old,364,159.329836,22.45,639.65,28.55,16.628901,0.741412,2.654,0.118
Feb-13,15/02/2013,2013,5,Elev,509,old,364,201.526151,17.15,658.05,38.3,12.515943,0.732396,2.5175,0.147
Feb-15,29/01/2015,2015,3,Amb,301,old,410,173.367077,26.5,830.7,31.3,17.15516,0.647043,2.974,0.112
Feb-15,29/01/2015,2015,3,Amb,302,old,410,202.856236,28.6,892.2,31.1,17.071426,0.595986,3.463,0.121
Feb-15,29/01/2015,2015,3,Amb,320,old,410,198.300117,29.6,984.75,33.4,16.21884,0.548612,3.22,0.1085
Feb-15,29/01/2015,2015,5,Elev,501,new,51,122.813806,13.7,440,32.1,16.280477,1.188885,1.999,0.146
Feb-15,29/01/2015,2015,5,Elev,501,old,410,196.635543,23.5,645.8,27.5,19.296377,0.821325,3.7945,0.1615
Feb-15,29/01/2015,2015,5,Elev,502,new,51,181.121461,12.9,352,27.3,19.042215,1.4784,3.449,0.268
Feb-15,29/01/2015,2015,5,Elev,502,old,410,197.626424,21.6,674.5,31.2,17.308187,0.800771,3.421,0.158
Feb-15,29/01/2015,2015,5,Elev,513,new,51,168.789609,15.6,763.2,48.9,11.255978,0.720875,1.9,0.122
Feb-15,29/01/2015,2015,5,Elev,513,old,410,246.140512,22.7,855.3,37.7,14.425306,0.636702,3.551,0.157
Feb-15,30/01/2015,2015,4,Elev,403,new,51,173.365242,18.4,777,42.3,12.65589,0.688835,2.194,0.119
Feb-15,30/01/2015,2015,4,Elev,403,old,410,195.060019,27.9,880.5,31.6,16.84023,0.604366,3.285,0.118
Feb-15,30/01/2015,2015,4,Elev,408,new,51,165.640725,15.6,538.6,34.4,14.981049,0.957531,2.481,0.159
Feb-15,30/01/2015,2015,4,Elev,408,old,410,212.98683,28.9,800.1,27.7,18.894125,0.653795,4.024,0.139
Feb-15,30/01/2015,2015,4,Elev,422,new,51,181.118698,14.6,475.1,32.8,16.262761,1.113198,2.9315,0.2015
Feb-15,30/01/2015,2015,4,Elev,422,old,410,216.959811,24.5,703,28.7,18.42489,0.753333,3.997,0.163
Feb-15,30/01/2015,2015,6,Amb,603,new,51,134.535673,21.4,542.4,25.4,21.197712,0.991605,2.852,0.133
Feb-15,30/01/2015,2015,6,Amb,607,new,51,138.645135,21.2,620.1,29.3,17.936467,0.84613,2.487,0.117
Feb-15,30/01/2015,2015,6,Amb,614,new,51,152.224674,19.5,492.3,25.2,20.98758,1.075921,3.195,0.164
Feb-15,30/01/2015,2015,6,Amb,614,old,410,230.291816,24.3,1138.7,46.9,11.559845,0.47646,2.662,0.11
Feb-15,30/01/2015,2015,6,Amb,outs R6,new,51,123.418441,15.4,422,27.3,20.16021,1.305875,2.488,0.1615
Feb-15,30/01/2015,2015,6,Amb,outs R6,old,410,197.360293,21.7,815.5,37.6,14.306654,0.659719,2.824,0.13
Feb-15,2/02/2015,2015,1,Elev,111,new,51,136.134989,13,328.3,25.2,20.295484,1.557846,2.763,0.212
Feb-15,2/02/2015,2015,1,Elev,111,old,410,212.361712,25.3,853.4,33.8,15.58944,0.616582,3.311,0.131
Feb-15,2/02/2015,2015,1,Elev,116,new,51,162.019382,15.5,484,31.1,16.689612,1.07366,2.704,0.174
Feb-15,2/02/2015,2015,1,Elev,116,old,410,211.717216,30.3,909.9,30,17.509925,0.578121,3.707,0.122
Feb-15,2/02/2015,2015,1,Elev,117,new,51,187.679779,15.2,441.6,29,17.812654,1.17012,3.343,0.22
Feb-15,2/02/2015,2015,1,Elev,117,old,410,205.387344,25.9,862.1,33.3,15.570502,0.602101,3.198,0.124
Feb-15,2/02/2015,2015,1,Elev,122,new,51,143.087173,17.3,522.7,30.1,15.71103,0.906035,2.248,0.13
Feb-15,2/02/2015,2015,1,Elev,122,old,410,231.329668,27.4,796.2,29.1,18.134221,0.662793,4.195,0.153
Feb-15,2/02/2015,2015,2,Amb,202,new,51,151.711731,18.2,534.3,29.3,18.490394,1.013178,2.805,0.154
Feb-15,2/02/2015,2015,2,Amb,202,old,410,216.632849,25.9,873.1,33.8,15.673417,0.606217,3.395,0.131
Feb-15,2/02/2015,2015,2,Amb,208,new,51,140.795632,13.1,432.8,33.1,15.873637,1.212955,2.235,0.171
Feb-15,2/02/2015,2015,2,Amb,208,old,410,217.045884,27.6,859.6,31.2,17.166353,0.622391,3.726,0.135
Feb-15,2/02/2015,2015,2,Amb,209,new,51,158.704362,15.6,552.8,35.9,15.118902,0.970052,2.4515,0.154
Feb-15,2/02/2015,2015,2,Amb,209,old,410,226.039199,27.7,837.4,30.3,17.477187,0.631888,3.951,0.143
Feb-15,3/02/2015,2015,3,Amb,301,new,51,123.697927,15.8,450.25,28.65,18.546228,1.176041,2.293,0.145
Feb-15,3/02/2015,2015,3,Amb,302,new,51,160.450065,19.5,662,34,15.54273,0.798816,2.494,0.128
