dataset_id,trait_name,find,replace
Crowley_2007,resprouting_capacity,1,fire_killed
Crowley_2007,resprouting_capacity,2,resprouts
Crowley_2007,resprouting_capacity,4,fire_killed partial_resprouting
Crowley_2007,resprouting_capacity,6,resprouts fire_killed
Crowley_2007,resprouting_capacity,3,partial_resprouting
Crowley_2007,resprouting_capacity,5,resprouts partial_resprouting
Crowley_2007,resprouting_capacity,7,partial_resprouting fire_killed resprouts
Crowley_2007,resprouting_capacity,8,fire_killed resprouts
Crowley_2007,bud_bank_location,2,basal_stem_buds
Crowley_2007,bud_bank_location,5,none
Crowley_2007,bud_bank_location,6,bud-bearing_root rhizome basal_stem_buds
Crowley_2007,bud_bank_location,20,basal_stem_buds none
Crowley_2007,bud_bank_location,7,basal_stem_buds epicormic_buds
Crowley_2007,bud_bank_location,14,basal_stem_buds bud-bearing_root rhizome
Crowley_2007,bud_bank_location,10,epicormic_buds basal_stem_buds
Crowley_2007,bud_bank_location,21,bud-bearing_root rhizome basal_stem_buds epicormic_buds none
Crowley_2007,bud_bank_location,1,bud-bearing_root rhizome
Crowley_2007,bud_bank_location,11,bud-bearing_root rhizome epicormic_buds
Crowley_2007,bud_bank_location,22,basal_stem_buds epicormic_buds none
Crowley_2007,bud_bank_location,3,epicormic_buds
Crowley_2007,bud_bank_location,4,fleshy_underground_organ
Crowley_2007,bud_bank_location,13,basal_stem_buds fleshy_underground_organ
Crowley_2007,bud_bank_location,19,apical_buds
Crowley_2007,bud_bank_location,15,bud-bearing_root rhizome fleshy_underground_organ
Crowley_2007,bud_bank_location,18,fleshy_underground_organ epicormic_buds
