dataset_id,find,reason,replace,taxonomic_resolution
Crowley_2007,Oldenlandia sp.,match_01. Rewording taxon with ending with `sp.` to indicate a genus-level alignment with `APC accepted` name (2023-06-18),Oldenlandia sp. [Crowley_2007],genus
Crowley_2007,Typhonium sp.,match_01. Rewording taxon with ending with `sp.` to indicate a genus-level alignment with `APC accepted` name (2023-06-18),Typhonium sp. [Crowley_2007],genus
Crowley_2007,Ficus sp. carpentariensis (W.B.Spencer 01/Jul/11),match_04. Rewording taxon where `/` indicates uncertain species identification to align with `APC accepted` genus (2023-06-18),Ficus sp. [Ficus sp. carpentariensis (W.B.Spencer 01/Jul/11); Crowley_2007],genus
Crowley_2007,Corymbia confertiflora*,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Corymbia confertiflora,Species
Crowley_2007,Eremophila gilesii var. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Eremophila gilesii subsp. gilesii,Subspecies
Crowley_2007,Lomandra leucocephala var. robusta,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Lomandra leucocephala subsp. robusta,Subspecies
Crowley_2007,Psydrax attenuata var. myrmecophila,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Psydrax attenuata f. myrmecophila,Forma
Crowley_2007,Spermacoce breviflora*,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Spermacoce breviflora,Species
Crowley_2007,Tarenna dallachiana var. expandens,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Tarenna dallachiana subsp. expandens,Subspecies
Crowley_2007,Urochloa gilesii subsp. gilesii,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-06-18),Urochloa gilesii var. gilesii,Varietas
Crowley_2007,Acacia aneura var. holey trunk (P.K.Latz 12458),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia aneura var. Holey Trunk (P.K.Latz 12458),Varietas
Crowley_2007,Acacia coriacea subsp. sericophylla,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia coriacea subsp. sericophylla,Subspecies
Crowley_2007,Acacia holosericea var. glabrata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia holosericea var. glabrata,Varietas
Crowley_2007,Acacia pallidifolia,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia pallidifolia,Species
Crowley_2007,Acacia sutherlandii,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Acacia sutherlandii,Species
Crowley_2007,Amaranthus pallidiflorus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Amaranthus pallidiflorus,Species
Crowley_2007,Amyema bifurcata var. bifurcata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Amyema bifurcata var. bifurcata,Varietas
Crowley_2007,Beyeria bickertonensis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Beyeria bickertonensis,Species
Crowley_2007,Buglossoides arvense,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Buglossoides arvense,Species
Crowley_2007,Cassytha aurea var. candida,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cassytha aurea var. candida,Varietas
Crowley_2007,Cephalomanes obscurum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-06-18),Cephalomanes obscurum,Species
