site_name,trait_name,unit,value,notes
,longitude,deg,NA,
,latitude,deg,NA,
Cunningham_Agnes Banks_15m,longitude,deg,150.715,
Cunningham_Agnes Banks_15m,latitude,deg,-33.617,
Cunningham_Braidwood_600m,longitude,deg,149.933,
Cunningham_Braidwood_600m,latitude,deg,-35.533,
Cunningham_Castlereagh_15m,longitude,deg,150.745,
Cunningham_Castlereagh_15m,latitude,deg,-33.683,
Cunningham_Copper Range_300m,longitude,deg,142.585,
Cunningham_Copper Range_300m,latitude,deg,-30.852,
Cunningham_Hillston_125m,longitude,deg,145.571,
Cunningham_Hillston_125m,latitude,deg,-33.525,
Cunningham_Knights Hill_665m,longitude,deg,150.7,
Cunningham_Knights Hill_665m,latitude,deg,-34.633,
Cunningham_KNP-Barrenjoey_33m,longitude,deg,151.325,
Cunningham_KNP-Barrenjoey_33m,latitude,deg,-33.588,
Cunningham_KNP-Bobbin Head_115m,longitude,deg,151.182,
Cunningham_KNP-Bobbin Head_115m,latitude,deg,-33.685,
Cunningham_KNP-Waratah_165m,longitude,deg,151.25,
Cunningham_KNP-Waratah_165m,latitude,deg,-33.641,
Cunningham_KNP-West Head_152m,longitude,deg,151.299,
Cunningham_KNP-West Head_152m,latitude,deg,-33.585,
Cunningham_Londonderry_15m,longitude,deg,150.733,
Cunningham_Londonderry_15m,latitude,deg,-33.663,
Cunningham_Mitchell Park_45m,longitude,deg,150.929,
Cunningham_Mitchell Park_45m,latitude,deg,-33.571,
Cunningham_Narooma_25m,longitude,deg,150.119,
Cunningham_Narooma_25m,latitude,deg,-36.239,
Cunningham_Nombinnie_160m,longitude,deg,146.009,
Cunningham_Nombinnie_160m,latitude,deg,-33.044,
Cunningham_Nuntherungie_190m,longitude,deg,142.477,
Cunningham_Nuntherungie_190m,latitude,deg,-30.801,
Cunningham_Patonga_5m,longitude,deg,151.269,
Cunningham_Patonga_5m,latitude,deg,-33.546,
Cunningham_Rankins-Springs_170m,longitude,deg,146.115,
Cunningham_Rankins-Springs_170m,latitude,deg,-33.936,
Cunningham_RNP-Audley_5m,longitude,deg,151.057,
Cunningham_RNP-Audley_5m,latitude,deg,-34.072,
Cunningham_RNP-Bola Creek_50m,longitude,deg,151.03,
Cunningham_RNP-Bola Creek_50m,latitude,deg,-34.149,
Cunningham_RNP-Fosters Flat_50m,longitude,deg,151.021,
Cunningham_RNP-Fosters Flat_50m,latitude,deg,-34.152,
Cunningham_White Cliffs_80m,longitude,deg,143.091,
Cunningham_White Cliffs_80m,latitude,deg,-31.085,
