site,taxon,leaf longevity,photosynthetic pathway,Nitrogen fixing,SLA (cm2g),Nmass,Total soil phosphorus (ug/g),Mean annual rainfall (mm),Potential hydration (proportion),Sclerification (proportion),leaf width (mm),total lamina thickness (um),upper cuticle thickness (um),upper epidermis thickness (um),upper hypodermis thickness (um),upper palisade thickness (um),spongy mesophyll thickness (um),lower palisade thickness (um),lower hypodermis thickness (um),lower epidermis thickness (um),lower cuticle thickness (um),upper epidermis cell cross-sectional area (um2),upper hypodermis cell cross-sectional area (um2),upper palisade cell cross-sectional area (um2),spongy mesophyll cell cross-sectional area (um2),lower palisade cell cross-sectional area (um2),lower hypodermis cell cross-sectional area (um2),lower epidermis cell cross-sectional area (um2),weighted mean cell cross-sectional area (um2),essential oil (mL/dry kg),Phenolics (relative index),Tannins (relative index),neutral detergent fiber (% of dry mass),Alkaloids present (Y/N)
Cunningham_Knights Hill_665m,Acacia binervata,evergreen,C3,yes,79.8,2.6, 319 ,2286,0.610,0.138,15.6,303,6.70,13.9,NA,56.4,125,61.2,NA,13.6,6.77,283,NA,271,1230,362,NA,207,653,0.0,19.0,24.0,48.7,Y
Cunningham_Nombinnie_160m,Acacia brachybotrya,evergreen,C3,yes,55.6,1.6, 107 ,369,0.473,0.185,7.1,295,6.4,16.8,,78.5,88.7,74.1,NA,10.9,8.09,300,NA,485,800,374,NA,252,490,0.0,23.4,12.9,36.7,N
Cunningham_Rankins-Springs_170m,Acacia rigens,evergreen,C3,yes,24.8,1.2, 106 ,408,0.489,0.302,1.0,752,15.5,18.7,NA,97.9,498,113,NA,17.3,<,839,NA,1850,3430,1700,NA,1060,2810,0.0,8.8,45.0,62.7,Y
Cunningham_Narooma_25m,Acacia stricta,evergreen,C3,yes,73.1,2.7, 212 ,953,0.542,0.247,5.8,295,8.3,8.1,NA,78.7,84.7,81.5,NA,9.53,6.18,274,NA,418,1110,550,NA,375,602,1.3,3.4,9.1,46.4,N
Cunningham_KNP-Waratah_165m,Boronia ledifolia,evergreen,C3,no,51.9,1, 66 ,1258,0.656,0.066,3.6,466,10.8,35.8,NA,222,164,NA,NA,15.8,10.4,1880,NA,5340,1920,NA,NA,556,3380,0.0,9.8,67.5,47.5,N
Cunningham_RNP-Audley_5m,Callicoma serratifolia,evergreen,,,102.5,1.2, 118 ,1112,0.591,0.258,36.5,194,9.81,36.9,NA,54.4,52.1,NA,NA,11.4,5.00,1150,NA,843,405,NA,NA,174,575,0.0,15.9,55.9,53.2,N
Cunningham_KNP-Bobbin Head_115m,Ceratopetalum gummiferum,evergreen,,,77.9,0.9, 55 ,1222,0.573,0.403,13.8,407,8.50,24.6,77.7,161,147,NA,NA,17.1,0.80,1200,1540,1260,1579,NA,NA,4.90,1430,0.0,15.9,89.3,36.3,N
Cunningham_KNP-Barrenjoey_33m,Correa reflexa,evergreen,C3,no,120.7,1, 117 ,1248,0.704,0.048,21.7,290,14.7,25.6,NA,100,132,NA,NA,21.0,9.53,624,NA,1080,670,NA,NA,581,772,0.0,13.3,65.3,43.1,N
Cunningham_White Cliffs_80m,Dodonaea attenuata,evergreen,C3,no,40.2,1.9, 258 ,216,0.588,0.180,1.4,527,18.4,22.7,NA,68.2,269,71.3,NA,16.7,11.4,613,NA,1800,1390,1180,NA,566,1145,7.4,7.5,0.2,26.6,N
Cunningham_Copper Range_300m,Eremophila latrobei,evergreen,C3,no,47.5,3.2, 276 ,241,0.700,0.090,2.1,631,9.03,15.8,NA,86.9,115,83.2,NA,13.8,9.36,511,NA,2230,2110,3670,NA,416,1200,5.5,4.2,0.6,26.0,N
