taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
Trachymene incisa subsp. incisa,species,,,plant_growth_form,erect perennial herb with a thick tuberous taproot,herb,mode,,,,,,"Methods, Study species, p.620",
Trachymene incisa subsp. incisa,species,,,life_history,perennial herb,perennial,mode,,,,,,"Methods, Study species, p.620",
Trachymene incisa subsp. incisa,species,,,flower_structural_sex_type,bisexual flowers that are arranged in simple umbels,bisexual,mode,,,,,,"Methods, Study species, p.620",
Trachymene incisa subsp. incisa,species,,,inflorescence_type,arranged in simple umbels,umbel,mode,,,,,,"Methods, Study species, p.620",
Trachymene incisa subsp. incisa,species,,,flower_colour,72.0 ± 2.0 (n = 74) white flowers per umbel,white,mode,,,,,,"Results, Floral architecture and reproductive effort, p.622",
Trachymene incisa subsp. incisa,species,,,flower_ovules_per_functional_carpel_count,2 ovules per flower,,raw,{count},,,,,"Discussion, p.624",
Trachymene incisa subsp. incisa,species,,,plant_height,to a height of about 80 cm,,maximum,cm,,,,,"Methods, Study species, p.620",
Trachymene incisa subsp. incisa,species,,,breeding_system,The plant is self-compatible,self-compatible,mode,,,,,,"Discussion, p.624-625",
Trachymene incisa subsp. incisa,species,,,breeding_system,facultatively xenogamous species; corresponds to the facultative xenogamous breeding system in Cruden's classification (Cruden 1977),mixed_mating_system,mode,,,,,,"Abstract; Results, Breeding system, p.623","Medium-confidence match -- 'facultative xenogamy' (Cruden 1977 classification, based on pollen:ovule ratio) is not itself an allowed_values_levels term; interpreted as mixed_mating_system since the species is self-compatible but preferentially outcrossing. Curator should confirm."
Trachymene incisa subsp. incisa,species,,,dichogamy_type,"Flowers are protandrous with the male and female phases separated by a quiescent, non-sexual phase",,mode,,,,,,"Abstract; Introduction, p.619; Results, p.621","Candidate trait name -- no dichogamy/protandry trait found in config/traits.yml. This describes temporal separation of sexes within bisexual flowers/umbels, distinct from flower_structural_sex_type (which is bisexual) and sex_type (not applicable, no unisexual flowers reported)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowers_per_inflorescence,72.0 ± 2.0 (n = 74) white flowers per umbel,,mean,{count}/{count},SE,2,74,"1999 flowering season, pooled across umbel orders","Results, Floral architecture and reproductive effort, p.622; Abstract",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowers_per_inflorescence,70.9 ± 6.5 flowers per umbel,,mean,{count}/{count},SE,6.5,10,"primary umbel order, 1999","Results, Floral architecture and reproductive effort, p.622","No significant difference among umbel orders (F2,27 = 0.8468, P = 0.4398)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowers_per_inflorescence,81.3 ± 5.5 flowers per umbel,,mean,{count}/{count},SE,5.5,10,"secondary umbel order, 1999","Results, Floral architecture and reproductive effort, p.622","No significant difference among umbel orders (F2,27 = 0.8468, P = 0.4398)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowers_per_inflorescence,75.5 ± 4.8 flowers per umbel,,mean,{count}/{count},SE,4.8,10,"tertiary umbel order, 1999","Results, Floral architecture and reproductive effort, p.622","No significant difference among umbel orders (F2,27 = 0.8468, P = 0.4398)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",umbels_per_plant,40.0 ± 3.8 umbels per plant (n = 75),,mean,{count},SE,3.8,75,1999,"Results, Floral architecture and reproductive effort, p.622",Candidate trait name -- no exact match in config/traits.yml.
