Site,"Latitude, Longitude",Date,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Stripey fly,Hoverfly,Mosquito fly,Butterfly / moth,Honeybee,Beetle,Wasp,grasshopper?,orange/brown bug,orange/silver bug,green flower spider,green bug,small spider,green caterpillar eating umbels,black weevil?,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,1,male,9,,,,,,7,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,1,female,1,,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,2,male,10,1,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,2,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,3,male,6,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,3,female,7,,,,1,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,4,male,12,,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,4,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,5,male,10,1,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,5,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,6,male,11,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,9am,6,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,1,male,9,2,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,1,female,1,2,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,2,male,10,18,,,,,,3,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,2,female,2,1,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,3,male,6,7,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,3,female,7,1,5,,,,,2,2,1,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,4,male,12,27,4,,,,6,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,4,female,5,1,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,5,male,10,7,,,,,,,,1,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,5,female,5,2,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,6,male,11,9,,,,,1,,,1,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,1,12pm,6,female,2,6,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,1,male,9,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,1,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,2,male,10,,1,3,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,2,female,2,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,3,male,8,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,3,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,4,male,13,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,4,female,4,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,5,male,11,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,5,female,4,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,6,male,10,,1,1,,,,,,,,1,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",21/12/2003,1,3pm,6,female,2,,,1,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,1,male,7,5,,,3,,2,12,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,1,female,4,,,,3,,1,3,,,1,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,2,male,12,14,,1,,,,11,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,2,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,3,male,7,7,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,3,female,7,1,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,4,male,10,,2,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,4,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,5,male,11,2,,,,,1,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,5,female,5,,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,6,male,7,15,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,9am,6,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,1,male,7,8,,,,,2,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,1,female,4,,,,,,2,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,2,male,12,11,,,3,,,3,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,3,male,7,3,,,4,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,3,female,7,2,,,1,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,4,male,10,8,,,1,,,,,1,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,4,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,5,male,11,13,,,,,5,2,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,5,female,5,1,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,6,male,7,,,,,,1,2,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,2,12pm,6,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,1,male,9,2,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,1,female,1,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,2,male,10,2,1,1,1,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,2,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,3,male,6,4,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,3,female,7,1,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,4,male,12,10,,,6,,5,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,4,female,5,,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,5,male,10,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,5,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,6,male,11,,,,2,,3,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",22/12/2003,2,3pm,6,female,2,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,1,male,7,1,,,,,4,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,1,female,3,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,2,male,8,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,2,female,4,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,3,male,7,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,3,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,4,male,7,,1,,,1,4,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,4,female,6,,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,5,male,11,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,5,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,6,male,7,,1,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,9am,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,1,male,7,3,,,,,3,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,1,female,3,1,,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,2,male,8,8,,,,,,1,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,2,female,4,2,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,3,male,7,13,,3,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,3,female,5,3,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,4,male,7,4,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,4,female,6,2,,,,,,,,1,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,5,male,11,1,2,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,5,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,6,male,7,3,,4,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",24/12/2003,3,12pm,6,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,1,male,7,3,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,1,female,4,1,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,2,male,12,,,,,,2,,,,1,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,3,male,7,,2,,,,1,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,3,female,7,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,4,male,10,,1,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,4,female,3,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,5,male,11,,,,,,2,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,5,female,5,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,6,male,7,,,,,,,,,,,,,,,,,,,,
Myall Lakes NP,"32°30′S, 152°21′E",23/12/2003,3,3pm,6,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,1,male,14,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,1,female,7,,1,,,,,,,,,,,,,,,,,,
