pollinator_species_AusTraits,pollinator species,plant species,pollination type1,pollination type2,source,method_details,source_ID
bee,Anthoglossa plumata,Thelymitra speciosa,pollination_syndrome,pollination_vector_known,observation,observations,
bee,Trichocolletes sp. ,Diuris magnifica,pollination_vector_known,,observation,observations,
bee_fly,Aleucosia cuneata ,Caladenia leucochila,pollination_syndrome,pollination_vector_known,"pollination study Caladenia leucochila, Davis unpublished",pollination study,
bee_fly,Aleucosia cuneata ,Caladenia hopperiana,pollination_syndrome,pollination_vector_known,"pollination study Caladenia hopperiana, Davis unpublished",pollination study,
flower_wasp,Lestrichothynnus phillipsi,Caladenia leucochila,pollination_syndrome,pollination_vector_known,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Hypocalymma angustifolium,pollination_vector_known,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Acacia pulchella,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Stylidium amoena,flower_visitor,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Bossiaea ornata,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Hakea prostrata,pollination_vector_known,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Hibbertia amplexicaulis,pollination_vector_known,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Astroloma pallidum,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Lomandra purpurea,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Hakea varia,pollination_vector_known,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Petrophile striata,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Conostylis serrulata,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Calothamnus quadrifidus,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Chorizema rhombeum,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Philotheca spicata,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lestrichothynnus phillipsi,Leucopogon propinquus,pollination_vector_possible,,"wasp dietary study Caladenia leucochila, Davis unpublished",wasp dietary study,
flower_wasp,Lophocheilus rubrocaudatus,Caladenia busselliana,pollination_syndrome,pollination_vector_known,"pollination study Caladenia busselliana, Davis unpublished",pollination study,
flower_wasp,Campsomeris sp,Calochilus pruinosus,pollination_syndrome,pollination_vector_known,observations,observations,
flower_wasp,Zaspilothynnus nigripes,Caladenia procera,pollination_syndrome,pollination_vector_known,"pollination study Caladenia procera, Davis unpublished",pollination study,
flower_wasp,Zaspilothynnus nigripes,Agonis flexuosa,pollination_vector_known,,"pollination study Caladenia procera, Davis unpublished",pollination study,
flower_wasp,Macrothynnus ms nr insignis,Caladenia huegelii,pollination_syndrome,pollination_vector_known,"Phillips et al, (2015). Pollinator rarity as a threat to a plant with a specialised pollination system. Bot J L Soc, 179(3) 511-525",pollination study,Phillips_2015
flower_wasp,Zaspilothynnus nigripes,Xanthorrhoea preissii,pollination_vector_known,,"pollination study Caladenia leucochila, Davis unpublished",pollination study,
flower_wasp,Lophocheilus rubrocaudatus,Hakea prostrata,pollination_vector_known,,"pollination study Caladenia busselliana, Davis unpublished",pollination study,
flower_wasp,Lophocheilus sp. ,Lachnostachys verbascifolia,pollination_vector_known,,observation,observations,
flower_wasp,Campylothynnus flavopictus,Caladenia crebra,pollination_syndrome,pollination_vector_known,observation,observations,
flower_wasp,Lissopimpla excelsa,Cryptostylis ovata,pollination_syndrome,pollination_vector_known,"study, Weinstein et al (2016)",,Weinstein_2016
flower_wasp,Macrothynnus insignis,Caladenia thinnicola,pollination_syndrome,pollination_vector_known,"Phillips et al, (2015). Pollinator rarity as a threat to a plant with a specialised pollination system. Bot J L Soc, 179(3) 511-525",pollination study,Phillips_2015
flower_wasp,Macrothynnus insignis,Chamelaucium uncinatum,pollination_vector_possible,,observation,observations,
flower_wasp,Zaspilothynnus nigripes,Caladenia arenicola,pollination_syndrome,pollination_vector_known,observation,observations,
honeybee,Apis mellifera,Caladenia longicauda subsp eminens,pollination_vector_known,,"observations, transfers pollen inefficiently","observations, transfers pollen inefficiently",
honeybee,Apis mellifera,Caladenia busselliana,pollination_vector_known,,"pollination study Caladenia busselliana, Davis unpublished",pollination study,
