Latitude,Longitude,Sex,Height (cm),Diameter (cm),Site ,Date
-33.50234,138.07721,F,155,150,Clements Gap Conservation Park,8/14/2020
-33.50228,138.07724,F,203,146,Clements Gap Conservation Park,8/14/2020
-33.50227,138.07724,F,107,84,Clements Gap Conservation Park,8/14/2020
-33.50225,138.07726,M,188,120,Clements Gap Conservation Park,8/14/2020
-33.50232,138.07722,M,145,153,Clements Gap Conservation Park,8/14/2020
-33.50223,138.07729,M,144,102,Clements Gap Conservation Park,8/14/2020
-33.50223,138.07732,M,114,54,Clements Gap Conservation Park,8/14/2020
-33.50225,138.07732,F,175,118,Clements Gap Conservation Park,8/14/2020
-33.50224,138.07732,F,123,88,Clements Gap Conservation Park,8/14/2020
-33.50221,138.07727,M,180,230,Clements Gap Conservation Park,8/14/2020
-33.80216,138.07729,M,134,168,Clements Gap Conservation Park,8/14/2020
-33.50216,138.07733,M,136,46,Clements Gap Conservation Park,8/14/2020
-33.50216,138.07733,M,176,92,Clements Gap Conservation Park,8/14/2020
-33.50216,138.07738,M,136,105,Clements Gap Conservation Park,8/14/2020
-33.50212,138.07727,F,162,130,Clements Gap Conservation Park,8/14/2020
-33.50209,138.07426,F,157,173,Clements Gap Conservation Park,8/14/2020
-33.25021,138.07726,F,120,152,Clements Gap Conservation Park,8/14/2020
-33.50213,138.07727,M,159,150,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07719,M,188,234,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07719,M,150,84,Clements Gap Conservation Park,8/14/2020
-33.50225,138.07709,F,139,87,Clements Gap Conservation Park,8/14/2020
-33.5022,138.07707,M,102,70,Clements Gap Conservation Park,8/14/2020
-33.50219,138.07648,J,99,54,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07712,M,132,118,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07716,M,148,115,Clements Gap Conservation Park,8/14/2020
-33.50211,138.07718,F,163,60,Clements Gap Conservation Park,8/14/2020
-33.50211,138.07718,M,142,102,Clements Gap Conservation Park,8/14/2020
-33.50209,138.07713,M,180,185,Clements Gap Conservation Park,8/14/2020
-33.50207,138.07722,M,104,86,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07724,F,141,184,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07724,F,120,154,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07727,F,171,207,Clements Gap Conservation Park,8/14/2020
-33.5502,138.07703,M,152,155,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07729,F,196,220,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07732,M,207,155,Clements Gap Conservation Park,8/14/2020
-33.50193,138.07739,F,112,85,Clements Gap Conservation Park,8/14/2020
-33.5019,138.07741,F,163,123,Clements Gap Conservation Park,8/14/2020
-33.5019,138.0775,F,147,65,Clements Gap Conservation Park,8/14/2020
-33.502,138.07747,F,215,134,Clements Gap Conservation Park,8/14/2020
-33.50204,138.07739,M,162,205,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07741,M,150,183,Clements Gap Conservation Park,8/14/2020
-33.50211,138.07741,J,34,8,Clements Gap Conservation Park,8/14/2020
-33.50211,138.07741,J,53,33,Clements Gap Conservation Park,8/14/2020
-33.50203,138.07747,M,188,90,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,71,36,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,36,13,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,83,12,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,33,11,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,60,36,Clements Gap Conservation Park,8/14/2020
-33.5021,138.07753,J,25,5,Clements Gap Conservation Park,8/14/2020
-33.50206,138.07753,J,121,53,Clements Gap Conservation Park,8/14/2020
-33.50199,138.07762,J,81,54,Clements Gap Conservation Park,8/14/2020
-33.50199,138.07762,J,145,120,Clements Gap Conservation Park,8/14/2020
-33.50202,138.07768,J,151,114,Clements Gap Conservation Park,8/14/2020
-33.50202,138.07768,J,16,7,Clements Gap Conservation Park,8/14/2020
-33.50202,138.07768,J,73,13,Clements Gap Conservation Park,8/14/2020
-33.50206,138.07761,J,60,17,Clements Gap Conservation Park,8/14/2020
-33.50188,138.0779,J,81,62,Clements Gap Conservation Park,8/14/2020
-33.50188,138.0779,J,66,36,Clements Gap Conservation Park,8/14/2020
-33.50188,138.0779,J,87,50,Clements Gap Conservation Park,8/14/2020
-33.50187,138.07788,M,153,112,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07793,F,150,114,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07784,M,107,77,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07782,F,124,95,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07777,F,155,151,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07774,M,157,173,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07776,F,119,100,Clements Gap Conservation Park,8/14/2020
-33.50186,138.07771,J,38,19,Clements Gap Conservation Park,8/14/2020
-33.5019,138.0777,M,140,147,Clements Gap Conservation Park,8/14/2020
-33.50201,138.07758,F,145,89,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07768,J,77,32,Clements Gap Conservation Park,8/14/2020
-33.50181,138.07767,J,34,11,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07764,J,36,9,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07764,F,118,66,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07764,F,95,70,Clements Gap Conservation Park,8/14/2020
-33.50176,138.07767,F,106,76,Clements Gap Conservation Park,8/14/2020
-33.50177,138.07759,F,106,76,Clements Gap Conservation Park,8/14/2020
-33.50178,138.07758,M,191,126,Clements Gap Conservation Park,8/14/2020
-33.50184,138.07751,J,44,26,Clements Gap Conservation Park,8/14/2020
-33.50156,138.07784,J,27,9,Clements Gap Conservation Park,8/14/2020
-33.50156,138.07784,J,38,6,Clements Gap Conservation Park,8/14/2020
-33.5016,138.0778,M,82,52,Clements Gap Conservation Park,8/14/2020
-33.50158,138.07779,J,20,32,Clements Gap Conservation Park,8/14/2020
-33.50166,138.07776,J,46,23,Clements Gap Conservation Park,8/14/2020
-33.50169,138.07776,J,44,22,Clements Gap Conservation Park,8/14/2020
-33.50164,138.07794,F,113,90,Clements Gap Conservation Park,8/14/2020
-33.50165,138.078,J,83,67,Clements Gap Conservation Park,8/14/2020
-33.5017,138.07796,J,82,45,Clements Gap Conservation Park,8/14/2020
-33.5017,138.07796,M,170,278,Clements Gap Conservation Park,8/14/2020
-33.5017,138.07796,M,157,164,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07785,J,108,52,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07791,J,32,13,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07791,J,63,49,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07797,M,130,90,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07797,F,139,92,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07797,F,190,144,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07797,M,167,180,Clements Gap Conservation Park,8/14/2020
-33.50174,138.078,M,148,102,Clements Gap Conservation Park,8/14/2020
-33.50175,138.07803,F,181,162,Clements Gap Conservation Park,8/14/2020
-33.50174,138.07805,F,158,157,Clements Gap Conservation Park,8/14/2020
-33.50174,138.07805,J,28,13,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07809,M,140,83,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07812,M,173,122,Clements Gap Conservation Park,8/14/2020
-33.50171,138.07812,J,100,45,Clements Gap Conservation Park,8/14/2020
-33.50164,138.07812,J,77,31,Clements Gap Conservation Park,8/14/2020
-33.50163,138.07809,M,72,64,Clements Gap Conservation Park,8/14/2020
-33.50163,138.07809,J,31,11,Clements Gap Conservation Park,8/14/2020
-33.50163,138.07809,J,10,4,Clements Gap Conservation Park,8/14/2020
-33.50162,138.07808,F,127,98,Clements Gap Conservation Park,8/14/2020
-33.50172,138.07819,F,160,120,Clements Gap Conservation Park,8/14/2020
-33.50172,138.07819,J,42,11,Clements Gap Conservation Park,8/14/2020
-33.50177,138.07817,F,118,126,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07814,M,138,97,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07814,M,187,91,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07814,J,28,17,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07811,F,140,104,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07811,F,88,65,Clements Gap Conservation Park,8/14/2020
-33.50186,138.07805,M,150,84,Clements Gap Conservation Park,8/14/2020
-33.50219,138.07693,J,60,42,Clements Gap Conservation Park,8/14/2020
-33.50209,138.077,M,119,60,Clements Gap Conservation Park,8/14/2020
-33.50209,138.077,J,66,22,Clements Gap Conservation Park,8/14/2020
-33.50209,138.077,F,133,160,Clements Gap Conservation Park,8/14/2020
-33.50202,138.07706,M,129,134,Clements Gap Conservation Park,8/14/2020
-33.50204,138.07718,M,134,145,Clements Gap Conservation Park,8/14/2020
-33.50197,138.07706,M,121,132,Clements Gap Conservation Park,8/14/2020
-33.50197,138.07706,M,184,164,Clements Gap Conservation Park,8/14/2020
-33.50202,138.07698,M,129,103,Clements Gap Conservation Park,8/14/2020
-33.50205,138.07695,M,82,57,Clements Gap Conservation Park,8/14/2020
-33.50204,138.07643,J,58,23,Clements Gap Conservation Park,8/14/2020
-33.50206,138.0768,J,72,29,Clements Gap Conservation Park,8/14/2020
-33.50187,138.07692,F,210,258,Clements Gap Conservation Park,8/14/2020
-33.50109,138.07695,F,108,99,Clements Gap Conservation Park,8/14/2020
-33.5019,138.07695,J,56,30,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07693,F,168,132,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07693,M,140,84,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07693,M,150,178,Clements Gap Conservation Park,8/14/2020
-33.50184,138.07689,M,145,131,Clements Gap Conservation Park,8/14/2020
-33.50184,138.07689,F,201,270,Clements Gap Conservation Park,8/14/2020
-33.50182,138.0769,F,187,270,Clements Gap Conservation Park,8/14/2020
-33.50205,138.07671,M,100,73,Clements Gap Conservation Park,8/14/2020
-33.50208,138.07678,F,180,138,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07671,F,167,146,Clements Gap Conservation Park,8/14/2020
-33.50215,138.07671,M,106,90,Clements Gap Conservation Park,8/14/2020
-33.80222,138.07671,M,48,43,Clements Gap Conservation Park,8/14/2020
-33.50191,138.07732,F,230,83,Clements Gap Conservation Park,8/14/2020
-33.50191,138.07732,F,186,131,Clements Gap Conservation Park,8/14/2020
-33.50191,138.07732,F,183,103,Clements Gap Conservation Park,8/14/2020
-33.50191,138.07732,F,165,134,Clements Gap Conservation Park,8/14/2020
-33.50188,138.07739,J,71,21,Clements Gap Conservation Park,8/14/2020
-33.50188,138.07739,F,148,84,Clements Gap Conservation Park,8/14/2020
-33.50185,138.07734,M,224,225,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07738,F,142,217,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07738,F,143,50,Clements Gap Conservation Park,8/14/2020
-33.50182,138.07738,J,85,33,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07733,M,119,46,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07733,F,164,118,Clements Gap Conservation Park,8/14/2020
-33.50181,138.07732,F,170,131,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07727,F,171,297,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07727,M,188,162,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07727,M,171,130,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07727,F,113,91,Clements Gap Conservation Park,8/14/2020
-33.5018,138.07727,M,160,124,Clements Gap Conservation Park,8/14/2020
-33.50192,138.07713,J,134,97,Clements Gap Conservation Park,8/14/2020
-33.5094,138.07704,J,97,61,Clements Gap Conservation Park,8/14/2020
-33.5094,138.07704,M,123,79,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07707,F,153,98,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07707,M,131,156,Clements Gap Conservation Park,8/14/2020
-33.50183,138.07707,M,149,190,Clements Gap Conservation Park,8/14/2020
-33.50179,138.07712,J,84,79,Clements Gap Conservation Park,8/14/2020
-33.50176,138.07707,J,62,35,Clements Gap Conservation Park,8/14/2020
-33.50176,138.07707,F,170,179,Clements Gap Conservation Park,8/14/2020
-33.50169,138.07716,F,241,209,Clements Gap Conservation Park,8/14/2020
-33.50169,138.07716,F,231,168,Clements Gap Conservation Park,8/14/2020
-33.50169,138.07716,F,270,190,Clements Gap Conservation Park,8/14/2020
-33.50169,138.07716,F,231,120,Clements Gap Conservation Park,8/14/2020
