year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,4,0.442105577,14.2294459,2.886838198
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Blennospora,Blennospora.drummondii,Blennospora_drummondii,13,-0.472645338,8.601523283,2.870301664
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,6,-2.599345287,8.949556668,3.368078351
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,7,-2.576246345,7.033742187,3.912882176
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,1,-1.21116641,12.50966291,3.411716301
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,11,-0.993117782,13.31319964,3.22396686
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Goodeniaceae,Goodenia,Goodenia.berardiana,Goodenia_berardiana,2,0.869636285,14.2773937,3.341974053
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,2,-1.673765272,8.616205972,3.942557089
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,3,-4.605170186,17.21207815,3.695101846
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Millotia,Millotia.myosotidifolia,Millotia_myosotidifolia,3,-2.128883918,8.92101399,3.623634778
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Podotheca,Podotheca.angustifolia,Podotheca_angustifolia,1,-1.523260216,10.02494351,3.108208752
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Rhodanthe,Rhodanthe.citrina,Rhodanthe_citrina,1,-3.543634034,13.98099653,3.663082704
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,5,0.886367463,11.19141061,3.444546993
2011,ben,1,1,2011.ben.1,2011.ben.1.1,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,8,-2.509359171,17.62090321,3.123704477
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,13,0.442105577,14.2294459,2.886838198
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,9,-2.599345287,8.949556668,3.368078351
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,1,-1.21116641,12.50966291,3.411716301
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,15,-0.993117782,13.31319964,3.22396686
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Hypochaeris,Hypochaeris.glabra,Hypochaeris_glabra,1,-0.877077759,4.683281573,3.902785895
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Lawrencella,Lawrencella.rosea,Lawrencella_rosea,4,0.245501996,13.96424004,3.23285204
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,2,-4.605170186,17.21207815,3.695101846
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,3,-2.979790344,10.85365369,3.301269126
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Podotheca,Podotheca.gnaphalioides,Podotheca_gnaphalioides,8,-1.39503227,13.64176116,3.296509953
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Cyperaceae,Schoenus,Schoenus.nanus,Schoenus_nanus,2,-2.504848424,8.691827115,3.715453283
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,7,0.886367463,11.19141061,3.444546993
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Araliaceae,Trachymene,Trachymene.ornata,Trachymene_ornata,1,0.519811133,14.61853256,3.562893318
2011,ben,1,2,2011.ben.1,2011.ben.1.2,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,8,-2.509359171,17.62090321,3.123704477
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,2,0.442105577,14.2294459,2.886838198
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,3,-2.599345287,8.949556668,3.368078351
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,30,-2.576246345,7.033742187,3.912882176
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,18,-1.21116641,12.50966291,3.411716301
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asparagaceae,Dichopogon,Dichopogon.capillipes,Dichopogon_capillipes,2,-1.992766516,7.745966692,3.783251254
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,4,-0.993117782,13.31319964,3.22396686
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,4,-1.673765272,8.616205972,3.942557089
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,2,-4.605170186,17.21207815,3.695101846
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asteraceae,Millotia,Millotia.myosotidifolia,Millotia_myosotidifolia,11,-2.128883918,8.92101399,3.623634778
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Poaceae,Neurachne,Neurachne.alopecuroidea,Neurachne_alopecuroidea,2,NA,12.64911064,2.350132884
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asteraceae,Podotheca,Podotheca.gnaphalioides,Podotheca_gnaphalioides,2,-1.39503227,13.64176116,3.296509953
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Asteraceae,Rhodanthe,Rhodanthe.citrina,Rhodanthe_citrina,1,-3.543634034,13.98099653,3.663082704
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,4,0.886367463,11.19141061,3.444546993
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Araliaceae,Trachymene,Trachymene.ornata,Trachymene_ornata,1,0.519811133,14.61853256,3.562893318
2011,ben,1,3,2011.ben.1,2011.ben.1.3,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,3,-4.856945492,15.1491758,3.60655901
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,35,-2.576246345,7.033742187,3.912882176
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Goodeniaceae,Goodenia,Goodenia.berardiana,Goodenia_berardiana,1,0.869636285,14.2773937,3.341974053
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Asteraceae,Hypochaeris,Hypochaeris.glabra,Hypochaeris_glabra,1,-0.877077759,4.683281573,3.902785895
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Campanulaceae,Lobelia,Lobelia.gibbosa,Lobelia_gibbosa,1,-4.605170186,17.21207815,3.695101846
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Asteraceae,Millotia,Millotia.myosotidifolia,Millotia_myosotidifolia,46,-2.128883918,8.92101399,3.623634778
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Asteraceae,Rhodanthe,Rhodanthe.citrina,Rhodanthe_citrina,1,-3.543634034,13.98099653,3.663082704
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Araliaceae,Trachymene,Trachymene.pilosa,Trachymene_pilosa,1,-0.640777093,13.76887938,3.555840386
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Poaceae,Vulpia,Vulpia.myuros,Vulpia_myuros,2,-1.279486893,12.81585479,3.495746495
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,3,-4.856945492,15.1491758,3.60655901
2011,ben,1,4,2011.ben.1,2011.ben.1.4,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,4,-2.509359171,17.62090321,3.123704477
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asparagaceae,Arthropodium,Arthropodium.curvipes,Arthropodium_curvipes,1,-1.124391742,9.486832981,3.824236611
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,2,0.442105577,14.2294459,2.886838198
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Boryaceae,Borya,Borya.sphaerocephala,Borya_sphaerocephala,1,NA,5.830951895,2.813138047
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,2,-2.599345287,8.949556668,3.368078351
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,5,-2.576246345,7.033742187,3.912882176
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,3,-1.21116641,12.50966291,3.411716301
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Goodeniaceae,Goodenia,Goodenia.berardiana,Goodenia_berardiana,7,0.869636285,14.2773937,3.341974053
2011,ben,1,5,2011.ben.1,2011.ben.1.5,Araliaceae,Hydrocotyle,Hydrocotyle.pilifera,Hydrocotyle_pilifera,2,-1.673765272,8.616205972,3.942557089
