location_name,latitude (deg),longitude (deg)
Rankin Springs,-33.83,146.83
Narrogin,-32.9333,117.1833
Mundaring,-31.8934,116.1666
Canning Vale,-32.0741,115.9053
Mt Helena,-31.8833,116.2
Rolystone,-32.15,116.0564
Albany,-35.0228,117.8814
Kings Park,-31.9606,115.8367
Southern Cross,-31.2333,119.3333
Prince Regent National Park,-15.5,125.35
Morawa,-29.2069,116.0192
Gingin,-31.3333,115.9
Paraburdoo,-23.2,117.6667
Geraldton,-28.7774,114.615
Cannington,-32.0167,115.9333
Wembley,-31.93,115.7842
Warwick,-31.8654,115.8161
Albany and surrounds,-35.0228,117.8814
Jurien Bay area,-30.3,115.0431
"Brookton, Quairading",-32.2,117.1833
Narrogin area,-32.9333,117.1833
Jandakot airport,-32.0974,115.881
Augusta,-34.3167,115.1667
Narrikup,-34.6333,117.8833
Brisbane Waters National park,-33.45,151.28
Moora,-30.6415,116.009
Cataby,-30.7167,115.6833
Wongan Hills,-30.8894,116.7157
"Badgingarra, Moora, Cataby",-30.5873,115.7523
"Goomalling, Watheroo, Olgivie",-30.0611,115.9222
"Perth, coastal plain",-31.9523,115.8613
Watheroo,-30.2833,116.1333
