plotID,Easting,Northing,Zone,latitude (deg),longitude (deg)
BK06,328255,6711862,50S,-29.7115086,115.2245526
SEC06,330898,6694219,50S,-29.8710238,115.2490954
SES06,330655,6694022,50S,-29.8727675,115.2465492
SKC06,326866,6719395,50S,-29.6433629,115.2114028
SKS06,327227,6719818,50S,-29.6395974,115.215198
BK07,328163,6712560,50S,-29.7051994,115.2237127
BS07,315912,6740527,50S,-29.4511726,115.1018566
CN07,315716,6694061,50S,-29.8702705,115.0919416
DC07,317949,6650513,50S,-30.2633881,115.1075907
DH07,311339,6693705,50S,-29.8728186,115.0465817
LN07,311254,6673507,50S,-30.0549791,115.0421331
MAT07,315870,6746097,50S,-29.4009227,115.1023582
MAX07,315889,6745580,50S,-29.4055891,115.1024673
OC07,323651,6723961,50S,-29.601723,115.1789444
PT07,317299,6690019,50S,-29.9069645,115.1076356
RRX07,327536,6710164,50S,-29.7267258,115.2168519
SEC07,330892,6694022,50S,-29.8728001,115.2490022
SKS07,327184,6719600,50S,-29.6415579,115.2147193
TT07,312346,6682024,50S,-29.9783293,115.0549551
CL08,323076,6695565,50S,-29.8577836,115.168361
CN08,315755,6694133,50S,-29.8696269,115.0923575
DH08,311485,6693630,50S,-29.8735174,115.0480795
LN08,311219,6673635,50S,-30.0538192,115.0417929
MAC08,315658,6745863,50S,-29.4030024,115.1001351
MAS08,321638,6745380,50S,-29.4082236,115.161661
MP08,325459,6706898,50S,-29.7558956,115.1948584
PT08,317333,6690099,50S,-29.906248,115.1080012
TT08,312251,6682046,50S,-29.9781163,115.0539748
WS08,324238,6699479,50S,-29.8226447,115.1810258
DH09,311311,6693658,50S,-29.8732382,115.0462836
DHN09,312171,6694585,50S,-29.8650086,115.0553461
LN09,311299,6673424,50S,-30.0557346,115.0425849
TT09e,312696,6682197,50S,-29.9768224,115.0586115
TT09s,312578,6681954,50S,-29.9789961,115.0573464
TT09w,312489,6682075,50S,-29.9778912,115.0564456
