Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant ID,HHMMSS,Photo (Asat; umol CO2 m-2 s-1),Conductance (gs; mmol H2O m-2 s-1),Ci,Area
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,12:14:42,11.49598086,0.207729398,287.8751442,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,12:14:43,11.51745802,0.210211094,288.74439,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,12:14:44,11.55998051,0.21175764,289.0666407,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,12:14:46,11.54085079,0.212062297,289.3365539,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,12:14:47,11.45323763,0.211553588,289.8262225,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,12:32:31,23.03022438,0.554749263,290.0921122,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,12:32:32,22.60447896,0.556555125,291.7102496,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,12:32:34,22.61397681,0.557750279,291.7695687,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,12:32:35,22.68750233,0.557775461,291.4786519,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,12:32:37,22.83344476,0.557513752,290.9400377,5.900000095
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,13:23:48,9.132984796,0.128202456,271.239149,2.450000048
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,13:23:49,9.211213085,0.127821073,269.8795083,2.450000048
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,13:23:50,9.297357883,0.126598464,267.6584217,2.450000048
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,13:23:52,9.584727741,0.12555834,262.9730366,2.450000048
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,13:23:53,9.7804942,0.124761639,259.7109905,2.450000048
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,13:31:52,5.807279542,0.143324159,320.7779242,3.769999981
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,13:31:54,5.799836726,0.142961561,320.680237,3.769999981
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,13:31:55,5.736573334,0.143029812,321.4484242,3.769999981
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,13:31:56,5.768034332,0.142725466,320.9387605,3.769999981
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,13:31:58,5.841180228,0.142623882,320.038316,3.769999981
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,14:26:53,4.336953135,0.096598397,316.172148,3.059999943
Acacia anceps,Historic,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,14:26:54,4.326391683,0.096395836,316.206665,3.059999943
