Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Mass (g),Number of seeds weighed per replicate
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,0.022,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,0.0159,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,0.0251,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,0.0103,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,0.0288,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,0.0202,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,0.0287,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,0.0189,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,0.0192,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,0.0161,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,0.0169,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,0.0206,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,0.0218,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,0.0156,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,0.0172,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,0.0189,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,0.02,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,0.0166,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,0.0123,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,0.014,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,0.0193,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,0.0201,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,0.0217,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,0.017,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,0.0139,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,0.0179,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,0.0178,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,0.0124,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,0.0138,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,30,0.0156,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,31,0.0203,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,32,0.0245,1
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,33,0.0182,1
