dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Angevin_2011,Chrysocephalum semipapposum,Woohlpooer State Forest,NA,Angevin_2011_19,specific_leaf_area,3.691,mm2/mg,NA,site_mean,10,Chrysocephalum semipapposum
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_091,specific_leaf_area,4.04858299595142,mm2/mg,NA,raw_value,1,Calytrix tetragona
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_092,specific_leaf_area,4.18410041841004,mm2/mg,NA,raw_value,1,Calytrix tetragona
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_093,specific_leaf_area,3.90625,mm2/mg,NA,raw_value,1,Calytrix tetragona
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_094,specific_leaf_area,4.3859649122807,mm2/mg,NA,raw_value,1,Calytrix tetragona
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_095,specific_leaf_area,3.26797385620915,mm2/mg,NA,raw_value,1,Calytrix tetragona
Burrows_2001,Calytrix tetragona,The Rock,NA,Burrows_2001_096,specific_leaf_area,3.92156862745098,mm2/mg,NA,raw_value,1,Calytrix tetragona
Cunningham_1999,Correa reflexa,Cunningham_KNP-Barrenjoey_33m,NA,Cunningham_1999_08,specific_leaf_area,12.07,mm2/mg,NA,site_mean,5,Correa reflexa
Dong_2017,Calytrix tetragona,SATFLB0001,NA,Dong_2017_236,specific_leaf_area,5.920612,mm2/mg,NA,raw_value,1,Calytrix tetragona
Dong_2017,Calytrix tetragona,SATFLB0005,NA,Dong_2017_258,specific_leaf_area,6.076982,mm2/mg,NA,raw_value,1,Calytrix tetragona
Dong_2017,Calytrix tetragona,SATFLB0008,NA,Dong_2017_266,specific_leaf_area,5.819858,mm2/mg,NA,raw_value,1,Calytrix tetragona
Dong_2017,Dianella revoluta var. revoluta,SATFLB0008,NA,Dong_2017_277,specific_leaf_area,2.709339,mm2/mg,NA,raw_value,1,Dianella revoluta subsp.revoluta
Dong_2017,Calytrix tetragona,SATFLB0012,NA,Dong_2017_304,specific_leaf_area,5.957205,mm2/mg,NA,raw_value,1,Calytrix tetragona
Dong_2017,Dianella revoluta var. revoluta,SATFLB0014,NA,Dong_2017_327,specific_leaf_area,3.330457,mm2/mg,NA,raw_value,1,Dianella revoluta var. revoluta
Dong_2017,Calytrix tetragona,SATFLB0014,NA,Dong_2017_331,specific_leaf_area,6.368159,mm2/mg,NA,raw_value,1,Calytrix tetragona
Duncan_1998,Calytrix tetragona,GoobangNP2,NA,Duncan_1998_09,specific_leaf_area,5.51,mm2/mg,NA,site_mean,5,Calytrix tetragona
Falster_2005_2,Correa reflexa,Myall_Lakes,NA,Falster_2005_2_15,specific_leaf_area,10.1010101010101,mm2/mg,2002-09,site_mean,4,Correa reflexa
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Drought,Farrell_2013_011,specific_leaf_area,0.256375839,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Drought,Farrell_2013_012,specific_leaf_area,0.124165554,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Drought,Farrell_2013_013,specific_leaf_area,0.181257707,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Drought,Farrell_2013_014,specific_leaf_area,0.219354839,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Drought,Farrell_2013_015,specific_leaf_area,0.176325524,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Watered,Farrell_2013_016,specific_leaf_area,0.111372549,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Watered,Farrell_2013_018,specific_leaf_area,0.163895487,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Brachyscome multifida,The University of Melbourne Burnley campus,Watered,Farrell_2013_020,specific_leaf_area,0.120701281,mm2/mg,NA,raw_value,1,Brachyscome multifida
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Drought,Farrell_2013_021,specific_leaf_area,0.491525424,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Drought,Farrell_2013_022,specific_leaf_area,0.255795364,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Drought,Farrell_2013_023,specific_leaf_area,0.423791822,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Drought,Farrell_2013_024,specific_leaf_area,0.504901961,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Drought,Farrell_2013_025,specific_leaf_area,0.311463047,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Watered,Farrell_2013_026,specific_leaf_area,0.178571429,mm2/mg,NA,raw_value,1,Calytrix tetragona
Farrell_2013,Calytrix tetragona,The University of Melbourne Burnley campus,Watered,Farrell_2013_027,specific_leaf_area,0.185185185,mm2/mg,NA,raw_value,1,Calytrix tetragona
