genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f
Abutilon,Abutilon, perennial shrubs or annual herbs. ,annual perennial,annual perennial,,,herb shrub,herbs shrubs,,,,,,,woody herbaceous,
Abutilon,Abutilon cryptopetalum," low shrub to 1 m, covered with a hoary pubescence; ",,,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon fraseri," small erect undershrub to 80 cm high, ",,,,,subshrub,undershrub,,,,,erect,erect,,
Abutilon,Abutilon halophilum," small undershrub to 1 m high, covered with a soft stellate tomentum; ",,,,,subshrub,undershrub,,,,,,,,
Abutilon,Abutilon leucopetalum," shrub to 1 m or more high, ",,,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon macrum," slender erect undershrub or shrub to 2 m high, covered with a stellate hoary pubescence; ",,,,,subshrub shrub,undershrub shrub,,,,,erect,erect,woody,
Abutilon,Abutilon malvaefolium, small undershrub often less than 30 cm high and sometimes with the branches spreading close to the ground; ,,,,,subshrub,undershrub,,,,,spreading,spreading,,
Abutilon,Abutilon oxycarpum," small slender herbs or small shrubs 60-90 cm high, ",,,,,herb shrub,herbs shrubs,,,,,,,woody herbaceous,
Abutilon,Abutilon otocarpum," small compact or erect shrub to 60 cm high, ",,,,,shrub,shrub,,,,,erect compact,erect compact,woody,
Abutilon,Abutilon oxycarpum incanum, stout erect annual usually 30 cm-1 m high. ,annual,annual,,,herb,inferred_from_life_history,,,,,erect,erect,herbaceous,
Acacia,Acacia, trees or shrubs; ,,,,,shrub tree,shrubs trees,,,,,,,woody,
Acacia,Acacia acanthoclada," low, rigid, spreading, divaricately branched shrubs 0.75-2 m high; ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
Acacia,Acacia acinacea," small, straggly, often spindly and rather loosely-branched shrubs to 1.5 m high with short thin stems that divide into rather long slender etching branches; ",,,,,shrub,shrubs,,,,,spindly,spindly,woody,
Acacia,Acacia alcockii," bushy shrub or small tree to 3 m often suckering, ",,,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia anceps," erect, rigid, glabrous, spreading shrubs 1-3 m high, the same or more across, branching from the ground; ",,,,,shrub,shrubs,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia ancistrophylla," shrubs 1-2m tall, spreading 5m with angled branchlets. ",,,,,shrub,shrubs,,,,,spreading,spreading,woody,
