SCIENTIFICNAME,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Abrotanella,herb,NA,NA,perennial,NA,NA,NA,NA
Abrotanella forsteroides,cushion,NA,NA,NA,NA,NA,NA,NA
Abrotanella nivigena,cushion,NA,NA,NA,NA,NA,NA,NA
Abrotanella scapigera,herb,tufted,NA,NA,NA,NA,NA,NA
Abutilon julianae,subshrub,NA,NA,NA,NA,NA,NA,NA
Abutilon listeri,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia 'H.L.White',tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia abbatiana,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia abbreviata,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia abrupta,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthaster,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia acanthoclada,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. glaucescens,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acellerata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acinacea 'AC01',shrub,bushy open,NA,NA,NA,NA,NA,NA
Acacia aciphylla,shrub,dense,NA,NA,NA,NA,NA,NA
Acacia acoma,shrub,open,NA,NA,NA,NA,NA,NA
Acacia acradenia,shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia acrionastes,tree shrub,spindly,NA,NA,NA,NA,NA,NA
Acacia acuaria,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia aculeatissima,shrub,prostrate,NA,NA,NA,NA,NA,NA
Acacia aculeiformis,shrub,prostrate mat_forming,NA,NA,NA,NA,NA,NA
Acacia acuminata,tree shrub,NA,NA,NA,NA,NA,NA,NA
Acacia acutata,shrub,compact,NA,NA,NA,NA,NA,NA
Acacia adenogonia,shrub,erect sprawling,NA,NA,NA,NA,NA,NA
Acacia adinophylla,shrub,prostrate dense,NA,NA,NA,NA,NA,NA
Acacia adjutrices,subshrub,NA,NA,NA,NA,NA,NA,NA
Acacia adnata,shrub,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa,shrub,procumbent dense,NA,NA,NA,NA,NA,NA
Acacia adoxa var. adoxa,shrub,compact,NA,NA,NA,NA,NA,NA
Acacia adoxa var. subglabra,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia adsurgens,shrub,spreading,NA,NA,NA,NA,NA,NA
Acacia adunca,tree shrub,bushy,NA,NA,NA,NA,NA,NA
Acacia aemula,subshrub,prostrate open,NA,NA,NA,NA,NA,NA
