Material,Abbreviation,rep,MassLoss_3.5 (%),MassLoss_12 (%),MassLoss_24 (%),dry_massFlamm (g),Leaf FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Leaf length (cm),Leaf width (cm),Leaf thickness (mm),Leaf area (cm2),Leaf mass (g),Leaf moisture (at time of measuring) (%odw),Leaf dry mass (g),Leaf volume (cm3),Leaf density (g/cm3),Leaf SLA (cm2/g),Leaf  SAperV (cm2/cm3),Leaf Energy (MJ/kg),Leaf C (wght %),Leaf N (wght %),Leaf Al (mg/kg),Leaf B (mg/kg),Leaf Ca (wght %),Leaf Cu (mg/kg),Leaf Fe (mg/kg),Leaf K (wght %),Leaf Mg (wght %),Leaf Mn (mg/kg),Leaf Na (mg/kg),Leaf P (mg/kg),Leaf S (wght %),Leaf Zn (mg/kg),Leaf Lignin (wght %),Leaf Cellulose (wght %),Leaf Ash (wght %),Leaf TotalTannins (wght %),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%),Bark FMC (%),Taxon,Site
LEAVES,Ang_cos,1,,40.0163839,64.0308649,0.5786979,7.2599532,4.3,6.4,53.7,60.1,10.3826955,11.0593111,92.7945319,11.0,2.1,0.58,18.7,0.641,8.5807568,0.5903440,1.0846000,0.5442965,31.6764454,34.4827586,20.8464000,48.9700000,0.6128000,73.2374780,27.7310406,0.4233288,4.1067019,55.9380952,0.2320226,0.1670183,173.3626102,2583.4758377,214.8007055,0.0609359,39.0182540,15.3937947,29.7136038,0.0994431,4.4871854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,2,26.1419828,38.4907843,71.2601186,0.5518033,,4.8,6.6,42.5,49.1,12.1181263,11.9607843,77.0202020,12.6,2.2,0.52,17.9,0.616,8.5807568,0.5673197,0.9308000,0.6094969,31.5518758,38.4615385,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,3,20.7475998,44.6274679,67.9992808,0.4674098,,4.0,6.1,46.9,53.0,9.5094340,13.0506453,100.3402076,9.9,2.3,0.42,16.7,0.518,8.5807568,0.4770643,0.7014000,0.6801601,35.0057652,47.6190476,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,4,1.2029541,34.7120329,64.2036642,0.3570492,,4.3,6.3,37.9,44.2,8.7104072,17.6446281,106.1478421,11.3,2.0,0.51,11.2,0.398,8.5807568,0.3665475,0.5712000,0.6417147,30.5553889,39.2156863,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,5,29.7127203,35.8647631,71.7401659,0.3282998,,3.2,5.6,38.1,43.7,8.1006865,17.0575815,116.0524739,10.7,2.2,0.41,15.1,0.364,8.5807568,0.3352344,0.6191000,0.5414866,45.0431162,48.7804878,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,6,19.9824471,27.9854432,73.0896277,0.3941452,,3.4,8.5,46.0,54.5,7.7981651,21.5656566,116.7082591,9.7,2.5,0.48,16.6,0.436,8.5807568,0.4015444,0.7968000,0.5039463,41.3403799,41.6666667,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,7,,,,0.2800749,,2.1,4.6,28.7,33.3,9.0690691,16.4241755,102.4725734,8.5,2.6,0.32,14.7,0.317,8.5807568,0.2919486,0.4704000,0.6206390,50.3513289,62.5000000,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,8,,,,0.3162436,,1.6,4.6,21.3,25.9,13.1660232,14.5457508,67.3531503,13.2,2.1,0.38,18.1,0.351,8.5807568,0.3232617,0.6878000,0.4699937,55.9917863,52.6315789,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_cos,9,,,,0.2541077,,1.3,5.1,24.5,29.6,9.2567568,20.0702278,96.4158003,10.7,2.2,0.57,12.8,0.277,8.5807568,0.2551097,0.7296000,0.3496569,50.1745014,35.0877193,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angophora costata,West Head
LEAVES,Ang_his,1,,21.4630613,65.1775982,2.1124680,8.2732083,4.0,20.3,75.5,95.8,24.0396660,9.6096130,35.7401861,14.4,6.8,0.75,64.1,2.366,8.9923345,2.1707949,4.8075000,0.4515434,29.5283543,26.6666667,22.0818500,50.3600000,0.3125000,62.3782195,22.1866897,0.4217646,4.0265341,62.2636128,0.1628776,0.1437835,113.2568712,907.1923941,80.2764909,0.0728882,97.8187554,17.7592117,36.2467866,0.0856898,3.1214444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anophora hispida,West Head
