Material,Species,rep,MassLoss_3.5 (%),MassLoss_12 (%),MassLoss_24 (%),dry_massFlamm (g),FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),length (cm),width (cm),thickness (mm),area (cm2),mass (g),moisture (at time of measuring) (%odw),dry mass (g),volume (cm3),density (g/cm3),SLA (cm2/g),SAperV (cm2/cm3),Leaf Energy (MJ/kg),Leaf C (wght %),Leaf N (wght %),Leaf Al (mg/kg),Leaf B (mg/kg),Leaf Ca (wght %),Leaf Cu (mg/kg),Leaf Fe (mg/kg),Leaf K (wght %),Leaf Mg (wght %),Leaf Mn (mg/kg),Leaf Na (mg/kg),Leaf P (mg/kg),Leaf S (wght %),Leaf Zn (mg/kg),Leaf Lignin (wght %),Leaf Cellulose (wght %),Leaf Ash (wght %),Leaf TotalTannins (wght %)
LEAVES,Ang_cos,1,,40.02,64.03,0.58,7.26,4.3,6.4,53.7,60.1,10.38,11.06,92.79,11.0,2.1,0.58,18.7,0.641,8.581,0.590,1.08,0.54,31.68,34.48275862,20.85,49.0,0.613,73.2,27.7,0.423,4.1,55.9,0.232,0.167,173.4,2583.5,214.8,0.061,39.0,15.4,29.7,0.10,4.5
LEAVES,Ang_cos,2,26.14,38.49,71.26,0.55,,4.8,6.6,42.5,49.1,12.12,11.96,77.02,12.6,2.2,0.52,17.9,0.616,8.581,0.567,0.93,0.61,31.55,38.46153846,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,3,20.75,44.63,68.00,0.47,,4.0,6.1,46.9,53.0,9.51,13.05,100.34,9.9,2.3,0.42,16.7,0.518,8.581,0.477,0.70,0.68,35.01,47.61904762,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,4,1.20,34.71,64.20,0.36,,4.3,6.3,37.9,44.2,8.71,17.64,106.15,11.3,2.0,0.51,11.2,0.398,8.581,0.367,0.57,0.64,30.56,39.21568627,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,5,29.71,35.86,71.74,0.33,,3.2,5.6,38.1,43.7,8.10,17.06,116.05,10.7,2.2,0.41,15.1,0.364,8.581,0.335,0.62,0.54,45.04,48.7804878,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,6,19.98,27.99,73.09,0.39,,3.4,8.5,46.0,54.5,7.80,21.57,116.71,9.7,2.5,0.48,16.6,0.436,8.581,0.402,0.80,0.50,41.34,41.66666667,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,7,,,,0.28,,2.1,4.6,28.7,33.3,9.07,16.42,102.47,8.5,2.6,0.32,14.7,0.317,8.581,0.292,0.47,0.62,50.35,62.50000,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,8,,,,0.32,,1.6,4.6,21.3,25.9,13.17,14.55,67.35,13.2,2.1,0.38,18.1,0.351,8.581,0.323,0.69,0.47,55.99,52.63157895,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_cos,9,,,,0.25,,1.3,5.1,24.5,29.6,9.26,20.07,96.42,10.7,2.2,0.57,12.8,0.277,8.581,0.255,0.73,0.35,50.17,35.0877193,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,1,,21.46,65.18,2.11,8.27,4.0,20.3,75.5,95.8,24.04,9.61,35.74,14.4,6.8,0.75,64.1,2.366,8.992,2.171,4.81,0.45,29.53,26.66666667,22.08,50.4,0.313,62.4,22.2,0.422,4.0,62.3,0.163,0.144,113.3,907.2,80.3,0.073,97.8,17.8,36.2,0.09,3.1
LEAVES,Ang_his,2,30.21,25.71,49.38,1.25,,3.6,19.6,85.9,105.5,12.95,15.64,68.56,10.5,5.5,1.12,42.2,1.392,8.992,1.277,4.73,0.27,33.04,17.85714286,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,3,12.82,47.36,29.98,0.90,,2.7,15.4,102.0,117.4,8.39,17.04,112.89,9.3,5.2,0.71,31.4,1.014,8.992,0.930,2.23,0.42,33.75,28.16901408,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,4,28.14,27.37,50.44,0.76,,2.9,9.3,83.4,92.7,8.92,12.26,109.94,7.6,5.5,0.79,34.1,0.852,8.992,0.782,2.69,0.29,43.62,25.3164557,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,5,26.21,25.51,62.06,1.08,,3.0,16.1,63.4,79.5,14.79,14.93,58.77,9.7,5.4,1.11,41.1,1.207,8.992,1.107,4.56,0.24,37.11,18.01801802,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,6,6.12,20.16,77.58,0.48,,3.1,8.3,74.6,82.9,6.36,17.17,154.32,7.4,3.9,0.66,24.4,0.544,8.992,0.499,1.61,0.31,48.89,30.3030303,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,7,,,,0.67,,3.2,10.9,91.0,101.9,7.18,16.23,135.53,9.1,4.4,0.56,27.3,0.750,8.992,0.688,1.53,0.45,39.67,35.71428571,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,8,,,,0.98,,2.3,12.6,79.1,91.7,11.69,12.81,80.44,9.5,6.2,0.85,50.2,1.098,8.992,1.007,4.27,0.24,49.83,23.52941176,,,,,,,,,,,,,,,,,,,
LEAVES,Ang_his,9,,,,0.69,,3.7,8.3,56.1,64.4,11.65,12.06,81.55,8.5,4.6,0.74,27.8,0.769,8.992,0.706,2.06,0.34,39.40,27.02702703,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,1,,35.04,63.91,0.73,10.04,3.1,8.8,42.3,51.1,15.97,11.99,57.63,13.6,4.0,0.53,32.3,0.842,9.930,0.766,1.71,0.45,42.17,37.73584906,22.11,48.2,0.333,69.3,27.2,0.432,3.0,43.1,0.109,0.176,55.9,1204.7,84.2,0.050,28.6,19.2,35.2,0.08,11.5
LEAVES,Cor_gum,2,17.29,31.99,81.37,0.57,,3.9,16.2,50.0,66.2,9.53,28.54,88.09,11.0,3.0,0.56,21.8,0.459,9.930,0.418,1.22,0.34,52.21,35.71428571,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,3,21.50,17.19,51.52,0.40,,3.4,9.3,35.3,44.6,10.02,23.13,87.79,9.3,2.7,0.55,17.7,0.460,9.930,0.418,0.97,0.43,42.30,36.36363636,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,4,23.38,40.25,71.55,0.55,,3.5,7.7,44.3,52.0,11.69,14.08,81.00,12.3,3.0,0.35,24.5,0.625,9.930,0.569,0.86,0.66,43.09,57.14285714,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,5,15.35,21.91,60.81,0.46,,4.4,9.4,37.4,46.8,10.94,20.41,81.20,12.9,2.6,0.66,20.1,0.526,9.930,0.478,1.33,0.36,42.01,30.3030303,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,6,26.98,20.86,57.04,0.49,,3.3,9.3,56.5,65.8,8.27,19.00,115.46,8.8,2.8,0.56,20.0,0.562,9.930,0.511,1.12,0.46,39.12,35.71428571,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,7,,,,0.51,,2.7,7.7,54.6,62.3,9.02,15.23,108.00,9.4,3.2,0.70,19.4,0.579,9.930,0.527,1.36,0.39,36.83,28.57142857,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,8,,,,0.50,,3.9,6.6,41.6,48.2,11.60,13.13,82.73,11.4,3.3,0.34,23.4,0.575,9.930,0.523,0.80,0.66,44.74,58.82352941,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_gum,9,,,,0.29,,3.4,23.3,21.0,44.3,7.18,81.45,73.41,8.6,2.3,0.60,12.9,0.325,9.930,0.296,0.77,0.38,43.63,33.33333333,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_macu,1,,39.81,80.83,0.52,8.48,2.0,4.7,34.6,39.3,14.33,9.12,67.15,15.4,4.0,0.24,34.9,0.580,9.811,0.528,0.84,0.63,78.89,83.33333333,22.68,48.5,0.681,179.2,47.0,0.488,4.2,72.3,0.349,0.178,246.9,4611.4,271.0,0.078,32.0,22.9,34.0,0.25,7.3
LEAVES,Cor_macu,2,45.53,44.94,75.12,0.74,,1.2,5.2,25.7,30.9,26.31,6.99,34.54,17.4,5.9,0.31,58.4,0.840,9.811,0.765,1.81,0.42,76.34,64.51612903,,,,,,,,,,,,,,,,,,,
LEAVES,Cor_macu,3,27.20,40.47,61.32,0.89,,2.2,6.9,35.6,42.5,22.89,7.75,39.98,13.9,4.8,0.35,48.4,1.007,9.811,0.917,1.69,0.54,52.78,57.14285714,,,,,,,,,,,,,,,,,,,
