species,rep#,time to edge (s),time in sec,RoS (cm/s),total mass before (g),mass ash( g),mass char (g),mass unburnt (g),total mass after (g),fuel consumption (%),ash% of mass before,char% of mass before,unburnt% of mass before,
aca-dor,1,2:32,152.00,0.0822,110.6,4.564,0.807,0.988,6.359,94.25045208,4.126582278,0.72965642,0.893309222,100
aca-dor,2,3:42,222.00,0.0563,87.35,3.781,0.598,1.202,5.581,93.61076131,4.328563251,0.684602175,1.376073268,100
aca-dor,3,2:26,146.00,0.0856,89,2.748,7.074,5.213,15.035,83.10674157,3.087640449,7.948314607,5.857303371,100
aca-dor,4,2:03,123.00,0.1016,86.41,,,,,,,,,
aca-dor,5,2:54,174.00,0.0718,94.99,,,,,,,,,
aca-hav,1,3:53,233.00,0.0536,109.36,3.781,2.548,4.877,11.206,89.753109,3.457388442,2.329919532,4.459583029,100
allocas,2,0:32,32.00,0.3906,36.55,0.798,4.643,2.28,7.721,78.875513,2.183310534,12.70314637,6.238030096,100
allocas,3,0:44,44.00,0.2841,34.28,1.166,1.033,1.666,3.865,88.7252042,3.401400233,3.013418903,4.859976663,100
allocas,4,0:37,37.00,0.3378,33.76,0.643,1.804,2.379,4.826,85.7049763,1.904620853,5.343601896,7.046800948,100
allocas,5,0:48,48.00,0.2604,34.3,,,,,,,,,
ast-floc,1,0:23,23.00,0.5435,15.06,0.385,1.264,0.446,2.095,86.08897742,2.556440903,8.39309429,2.961487384,100
ast-floc,2,0:25,25.00,0.5000,17.22,0.671,1.181,0.392,2.244,86.96864111,3.896631823,6.858304297,2.276422764,100
ast-floc,3,0:25,25.00,0.5000,15.67,0.36,1.331,0.568,2.259,85.58391832,2.297383535,8.49393746,3.624760689,100
ast-floc,4,0:26,26.00,0.4808,16.29,,,,,,,,,
ast-floc,5,0:25,25.00,0.5000,15.94,,,,,,,,,
bra-pop,1,1:05,65.00,0.1923,25.11,1.373,0.416,0.395,2.184,91.30227001,5.467941059,1.656710474,1.573078455,100
bra-pop,2,1:06,66.00,0.1894,25.57,1.427,0.563,0.239,2.229,91.28275323,5.580758702,2.201798983,0.934689089,100
bra-pop,3,1:08,68.00,0.1838,25.23,1.468,0.255,0.3,2.023,91.98176774,5.818470075,1.010701546,1.189060642,100
bra-pop,4,0:59,59.00,0.2119,24,,,,,,,,,
bra-pop,5,1:06,66.00,0.1894,23.97,,,,,,,,,
bra-pop,6,1:06,66.00,0.1894,26.39,,,,,,,,,
cor-gum,1,1:10,70.00,0.1786,50.95,1.05,0.721,0.058,1.829,96.41020608,2.060843965,1.415112856,0.113837095,100
cor-gum,2,1:52,112.00,0.1116,49.64,1.544,0.284,0.153,1.981,96.00926672,3.110394843,0.572119259,0.308219178,100
cor-gum,3,1:08,68.00,0.1838,48.26,1.421,0.419,0.256,2.096,95.65685868,2.944467468,0.868213842,0.530460008,100
cor-gum,4,1:28,88.00,0.1420,51.74,,,,,,,,,
cor-gum,5,1:39,99.00,0.1263,45.62,,,,,,,,,
cor-gum,6,1:05,65.00,0.1923,48.19,,,,,,,,,
dod-vis,1,1:19,79.00,0.1582,71.42,3.682,1.475,1.041,6.198,91.32175861,5.15541865,2.06524783,1.457574909,100
dod-vis,2,1:18,78.00,0.1603,67.76,3.137,3.98,0.553,7.67,88.68063754,4.62957497,5.873671783,0.816115702,100
ere-lon,1,1:08,68.00,0.1838,62.22,3.103,5.072,0.998,9.173,85.25715204,4.987142398,8.151719704,1.603985857,100
ere-lon,2,2:02,122.00,0.1025,83.43,5.058,3.387,4.071,12.516,84.99820209,6.062567422,4.059690759,4.879539734,100
ere-lon,3,1:37,97.00,0.1289,67.54,4.153,1.946,1.971,8.07,88.05152502,6.148948771,2.881255552,2.918270654,100
ere-lon,4,1:52,112.00,0.1116,58.44,,,,,,,,,
ere-lon,5,2:10,130.00,0.0962,68.68,,,,,,,,,
euc-dum,1,2:22,142.00,0.0880,149.15,2.801,31.2195,29.045,63.0655,57.71672813,1.877975193,20.93161247,19.47368421,100
euc-dum,2,1:37,97.00,0.1289,133.93,3.041,27.0845,11.416,41.5415,68.98267752,2.270589114,20.22287762,8.523855746,100
euc-dum,3,3:55,235.00,0.0532,138.86,4.003,26.98,4.516,35.499,74.43540256,2.882759614,19.42964137,3.252196457,100
euc-hae,1,3:35,215.00,0.0581,86.06,1.501,11.464,9.46,22.425,73.94259819,1.744132001,13.32093888,10.99233093,100
euc-hae,2,1:32,92.00,0.1359,87.5,2.266,3.827,0.317,6.41,92.67428571,2.589714286,4.373714286,0.362285714,100
euc-hae,3,2:16,136.00,0.0919,81.72,1.976,2.903,0.179,5.058,93.81057269,2.418012726,3.55237396,0.219040627,100
euc-hae,4,1:08,68.00,0.1838,79.22,,,,,,,,,
euc-hae,5,1:30,90.00,0.1389,87.7,,,,,,,,,
euc-hae,6,2:23,143.00,0.0874,78.39,,,,,,,,,
euc-int,1,2:55,175.00,0.0714,108.77,6.617,2.905,0.235,9.757,91.02969569,6.0834789,2.670773191,0.21605222,100
euc-int,5,2:25,145.00,0.0862,90.28,,,,,,,,,
euc-soc,1,2:04,124.00,0.1008,127.86,2.556,23.903,17.693,44.152,65.46848115,1.999061473,18.69466604,13.83779133,100
euc-soc,2,1:54,114.00,0.1096,129.63,2.766,22.449,20.34,45.555,64.85767184,2.133765332,17.31775052,15.69081231,100
euc-soc,3,2:20,140.00,0.0893,134.19,3.191,23.92,9.31,36.421,72.85863328,2.377971533,17.82547135,6.937923839,100
euc-soc,4,1:51,111.00,0.1126,120,,,,,,,,,
gei-par,1,1:01,61.00,0.2049,51.62,5.2,0.106,0.748,6.054,88.2719876,10.07361488,0.205346765,1.449050756,100
gei-par,2,1:39,99.00,0.1263,42.73,4.224,0.311,0.599,5.134,87.98502223,9.885326469,0.727825883,1.401825415,100
gei-par,3,1:23,83.00,0.1506,45.37,4.717,0.291,0.281,5.289,88.34251708,10.39673793,0.641392991,0.619351995,100
gei-par,4,1:18,78.00,0.1603,43.96,,,,,,,,,
gei-par,5,1:20,80.00,0.1563,45.69,,,,,,,,,
gei-par,6,1:28,88.00,0.1420,44.81,,,,,,,,,
hak-dac,1,1:13,73.00,0.1712,78.84,1.35,3.757,0.313,5.42,93.1253171,1.712328767,4.765347539,0.397006596,100
hak-dac,2,1:31,91.00,0.1374,68.12,1.122,4.934,1.076,7.132,89.53024075,1.647093365,7.243100411,1.579565473,100
hak-dac,3,1:30,90.00,0.1389,75.83,1.175,5.175,0.595,6.945,90.84135566,1.54951866,6.824475801,0.784649875,100
hak-dac,4,1:15,75.00,0.1667,76.07,,,,,,,,,
hak-tep,1,3:19,199.00,0.0628,167.61,8.333,0.867,1.559,10.759,93.58093193,4.971660402,0.517272239,0.930135433,100
hak-tep,2,3:19,199.00,0.0628,147.81,6.769,1.565,1.678,10.012,93.22643935,4.579527772,1.058791692,1.135241188,100
hak-ter,1,1:32,92.00,0.1359,94.14,2.823,0.117,0.549,3.489,96.29381772,2.998725303,0.124282983,0.583173996,100
lam-for,1,2:00,120.00,0.1042,92.24,1.547,10.682,3.442,15.671,83.01062446,1.677146574,11.58065915,3.731569818,100
las-fer,1,0:55,55.00,0.2273,25.6,1.032,1.168,0.65,2.85,88.8671875,4.03125,4.5625,2.5390625,100
las-fer,2,0:34,34.00,0.3676,21.29,0.686,0.705,0.008,1.399,93.42883983,3.222170033,3.311413809,0.037576327,100
las-fer,3,0:43,43.00,0.2907,21.05,0.828,0.836,0.053,1.717,91.8432304,3.933491686,3.971496437,0.251781473,100
las-fer,4,0:41,41.00,0.3049,21.56,,,,,,,,,
las-fer,5,0:36,36.00,0.3472,19.32,,,,,,,,,
las-fer,6,0:34,34.00,0.3676,21.22,,,,,,,,,
lom-sil,1,0:20,20.00,0.6250,10.95,0.193,0.014,0.414,0.621,94.32876712,1.762557078,0.127853881,3.780821918,100
lom-sil,2,0:20,20.00,0.6250,10.7,0.207,0.001,0.254,0.462,95.68224299,1.934579439,0.009345794,2.373831776,100
lom-sil,3,0:17,17.00,0.7353,10.54,0.197,,0.351,0.548,94.80075901,1.869070209,,3.330170778,100
lom-sil,4,0:19,19.00,0.6579,9.93,,,,,,,,,
lom-sil,5,0:23,23.00,0.5435,10.21,,,,,,,,,
lom-sil,6,0:19,19.00,0.6579,9.30,,,,,,,,,
mac-com,1,1:24,84.00,0.1488,65.76,1.211,0.195,0.243,1.649,97.49239659,1.841545012,0.296532847,0.369525547,100
mac-com,2,1:18,78.00,0.1603,58.8,1.069,0.053,0.229,1.351,97.70238095,1.818027211,0.090136054,0.389455782,100
mac-com,3,1:17,77.00,0.1623,61.39,1.162,0.157,0.232,1.551,97.47352989,1.89281642,0.255741978,0.377911712,100
mac-com,4,1:36,96.00,0.1302,59.52,,,,,,,,,
mac-com,5,1:32,92.00,0.1359,59.61,,,,,,,,,
per-lev,1,1:04,64.00,0.1953,51.51,1.567,1.234,0.622,3.423,93.35468841,3.042127742,2.39565133,1.207532518,100
per-lev,2,1:14,74.00,0.1689,49.78,1.589,1.207,0.251,3.047,93.8790679,3.192044998,2.424668542,0.504218562,100
per-lev,3,0:55,55.00,0.2273,51.27,1.58,2.094,0.373,4.047,92.10649503,3.081724205,4.084259801,0.727520967,100
san-acu,1,4:25,265.00,0.0472,114.38,9.642,7.741,1.371,18.754,83.60377688,8.429795419,6.767791572,1.198636125,100
san-acu,2,5:15,315.00,0.0397,111.21,7.591,14.209,1.12,22.92,79.3903426,6.825825016,12.77672871,1.007103678,100
san-acu,3,3:57,237.00,0.0527,116.43,9.431,9.381,1.998,20.81,82.12659967,8.10014601,8.057201752,1.716052564,100
syn-glan,1,1:16,76.00,0.1645,25.77,2.154,0.295,0.339,2.788,89.18121847,8.358556461,1.144741948,1.31548312,100
syn-glan,2,1:45,105.00,0.1190,25.98,1.839,0.762,0.822,3.423,86.82448037,7.07852194,2.933025404,3.163972286,100
syn-glan,3,1:00,60.00,0.2083,27.18,1.557,1.037,0.202,2.796,89.71302428,5.728476821,3.815305372,0.743193525,100
syn-glan,4,1:22,82.00,0.1524,26.35,,,,,,,,,
syn-glan,5,1:29,89.00,0.1404,24.64,,,,,,,,,
syn-glan,6,1:35,95.00,0.1316,24.46,,,,,,,,,
syn-glo,1,1:05,65.00,0.1923,42.1,1.259,2.051,0.274,3.584,91.48693587,2.990498812,4.871733967,0.650831354,100
syn-glo,2,1:00,60.00,0.2083,43.1,1.541,2.025,0.539,4.105,90.47563805,3.575406032,4.69837587,1.250580046,100
syn-glo,3,0:56,56.00,0.2232,42.42,1.016,1.881,0.337,3.234,92.37623762,2.395096653,4.434229137,0.794436587,100
syn-glo,4,0:27,27.00,0.4630,41.66,,,,,,,,,
tri-sca,1,0:41,41.00,0.3049,15.37,0.427,0.494,1.825,2.746,82.13402733,2.778139232,3.214053351,11.87378009,100
tri-sca,2,0:32,32.00,0.3906,20.31,0.398,0.634,1.327,2.359,88.385032,1.9596258,3.121614968,6.533727228,100
tri-sca,3,0:49,49.00,0.2551,15.45,0.471,0.331,1.95,2.752,82.18770227,3.048543689,2.142394822,12.62135922,100
tri-sca,4,0:27,27.00,0.4630,14.25,,,,,,,,,
tri-sca,5,0:35,35.00,0.3571,14.82,,,,,,,,,
