Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area),P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (senesced) (mg/g),P resorption (%)
Acacia rostellifera,1,Stage_1,56.441,515.254,0.11,NA,23.543,21.702,35.512,384.505,629.189,4.87,5.45,4.307,86.288,96.567,76.309,15.657,25.62,368.605,603.171,3.514,3.932,3.107,82.72,92.6,73.154,0.251,0.251,0.153,0.153,2.912,0.598,0.534,0.676,M,E,24.558,NA,NA,NA,NA
Acacia rostellifera,2,Stage_1,174,462.5,0.376,NA,18.074,15.855,31.02,91.121,178.276,1.791,2.048,1.618,10.293,11.769,9.3,4.833,9.456,87.353,170.904,0.546,0.624,0.493,9.867,11.3,8.915,0.129,0.129,0.066,0.066,2.255,1.259,1.101,1.394,M,E,18.854,NA,NA,NA,NA
Acacia rostellifera,3,Stage_1,177.576,496.97,0.357,NA,14.914,15.902,38.782,89.549,218.396,2.376,2.902,2.293,13.382,16.341,12.913,5.756,14.039,85.846,209.365,0.86,1.05,0.83,12.829,15.7,12.379,0.182,0.182,0.075,0.075,1.989,0.837,0.685,0.867,M,E,15.557,NA,NA,NA,NA
Acacia rostellifera,4,Stage_1,NA,NA,NA,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,15.374,11.738,23.649,0.60159,53.81158
Acacia rostellifera,5,Stage_1,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,17.187,12.068,29.783,0.36716,54.10485
Acacia rostellifera,6,Stage_1,NA,NA,NA,1.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,19.464,10.844,44.288,0.43749,64.36144
Acacia rostellifera,7,Stage_1,NA,NA,NA,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,17.712,10.53,40.55,0.36819,61.21252
Acacia rostellifera,8,Stage_1,NA,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,E,15.645,15.25,2.525,1.87363,-100.09086
Anthocercis littorea,1,Stage_1,128.167,855,0.15,NA,NA,NA,NA,NA,NA,1.193,1.429,1.129,9.308,11.15,8.811,NA,NA,NA,NA,0.526,0.63,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,17.686,NA,NA,NA,NA
Anthocercis littorea,2,Stage_1,203.151,1002.101,0.203,NA,NA,NA,NA,NA,NA,1.85,2.294,1.813,9.109,11.291,8.923,NA,NA,NA,NA,0.801,0.994,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NA,11.365,NA,NA,NA,NA
Anthocercis littorea,3,Stage_1,137.847,817.708,0.169,NA,NA,16.302,27.49,118.262,199.421,1.867,2.155,1.703,13.542,15.637,12.356,6.712,11.319,NA,NA,0.769,0.888,0.701,NA,NA,NA,0.132,0.132,0.078,0.078,NA,NA,NA,NA,E,NA,17.619,NA,NA,NA,NA
Anthocercis littorea,4,Stage_1,86.63,725.275,0.119,NA,NA,16.286,26.132,187.992,301.649,1.444,1.586,1.253,16.668,18.303,14.463,7.222,11.589,NA,NA,0.64,0.703,0.556,NA,NA,NA,0.097,0.097,0.061,0.061,NA,NA,NA,NA,E,NA,26.03,NA,NA,NA,NA
Anthocercis littorea,5,Stage_1,127.107,842.825,0.151,NA,NA,9.036,27.144,71.086,213.548,0.908,0.99,0.782,7.147,7.789,6.155,3.524,10.588,NA,NA,0.354,0.386,0.305,NA,NA,NA,0.11,0.11,0.036,0.036,NA,NA,NA,NA,E,NA,20.169,NA,NA,NA,NA
Dioscorea hastifolia,1,Stage_1,88.571,350,0.253,NA,NA,8.119,19.286,91.661,217.742,0.751,0.903,0.714,8.477,10.2,8.06,6.468,15.364,NA,NA,0.598,0.72,0.569,NA,NA,NA,0.111,0.111,0.047,0.047,1.051,1.399,1.163,1.472,NA,NA,14.172,NA,NA,NA,NA
Dioscorea hastifolia,2,Stage_1,85.561,344.92,0.248,NA,NA,8.75,21.882,102.263,255.75,0.967,1.174,0.928,11.297,13.72,10.842,6.319,15.804,NA,NA,0.698,0.848,0.67,NA,NA,NA,0.134,0.134,0.054,0.054,0.911,0.943,0.776,0.982,NA,NA,16.182,NA,NA,NA,NA
Dioscorea hastifolia,3,Stage_1,68.351,297.872,0.229,NA,NA,12.709,27.303,185.93,399.455,1.205,1.523,1.203,17.633,22.281,17.607,9.063,19.472,NA,NA,0.86,1.086,0.858,NA,NA,NA,0.12,0.12,0.056,0.056,0.711,0.59,0.467,0.591,NA,NA,20.515,NA,NA,NA,NA
Dioscorea hastifolia,4,Stage_1,103.915,412.811,0.252,NA,NA,15.784,29.594,151.89,284.795,0.94,1.146,0.906,9.041,11.032,8.718,7.556,14.167,NA,NA,0.45,0.549,0.434,NA,NA,NA,0.073,0.073,0.039,0.039,1.022,1.088,0.892,1.129,NA,NA,20.102,NA,NA,NA,NA
Myoporum insulare,1,Stage_1,164.225,800,0.205,NA,7.324,15.779,31.944,96.082,194.511,NA,NA,NA,NA,NA,NA,6.27,12.694,45.924,92.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.576,NA,NA,NA,E,NE,15.323,NA,NA,NA,NA
Myoporum insulare,2,Stage_1,165,833.929,0.198,NA,8.416,14.282,27.6,86.558,167.273,2.508,3.017,2.384,15.201,18.283,14.448,4.916,9.499,41.372,79.951,0.863,1.038,0.82,7.266,8.7,6.905,0.211,0.211,0.109,0.109,2.221,0.885,0.736,0.932,E,NE,17.609,NA,NA,NA,NA
Myoporum insulare,3,Stage_1,148.103,844.828,0.175,NA,9.121,19.583,39.3,132.224,265.355,1.801,2.196,1.735,12.161,14.827,11.717,6.929,13.906,63.198,126.83,0.637,0.777,0.614,5.812,7.1,5.6,0.112,0.112,0.056,0.056,1.466,0.814,0.668,0.845,E,NE,19.082,NA,NA,NA,NA
Myoporum insulare,4,Stage_1,145.87,900,0.162,NA,9.542,16.604,33.287,113.83,228.197,2.383,2.999,2.37,16.337,20.557,16.245,5.702,11.431,54.407,109.07,0.818,1.03,0.814,7.808,9.8,7.764,0.181,0.181,0.09,0.09,1.961,0.823,0.654,0.827,E,NE,19.963,NA,NA,NA,NA
Myoporum insulare,5,Stage_1,120.31,678.141,0.177,NA,10.721,6.524,23.566,54.223,195.88,NA,NA,NA,NA,NA,NA,2.417,8.733,25.917,93.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,22.431,NA,NA,NA,NA
Myoporum insulare,6,Stage_1,113.604,597.173,0.19,NA,9.101,NA,NA,NA,NA,2.817,2.97,2.347,24.793,26.146,20.661,NA,NA,NA,NA,1.302,1.373,1.085,11.85,12.5,9.875,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,19.042,NA,NA,NA,NA
Myoporum insulare,7,Stage_1,161.977,901.141,0.18,NA,7.735,16.734,25.973,103.31,160.352,NA,NA,NA,NA,NA,NA,6.384,9.908,49.379,76.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,16.184,NA,NA,NA,NA
Myoporum insulare,8,Stage_1,148.549,808.511,0.184,NA,7.611,NA,NA,NA,NA,2.698,3.01,2.378,18.164,20.261,16.011,NA,NA,NA,NA,1.141,1.272,1.005,8.682,9.7,7.652,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,15.924,NA,NA,NA,NA
Myoporum insulare,9,Stage_1,99.632,681.4,0.146,NA,6.717,8.08,25.105,81.094,251.978,1.148,1.216,0.961,11.52,12.205,9.644,5.77,17.93,38.76,120.437,0.82,0.868,0.686,5.506,5.8,4.61,0.151,0.151,0.048,0.048,NA,NA,NA,NA,E,NE,14.054,NA,NA,NA,NA
Myoporum insulare,10,Stage_1,98.789,541.522,0.182,NA,8.889,18.176,37.9,183.993,383.643,2.175,2.477,1.957,22.014,25.069,19.81,9.894,20.629,87.942,183.368,1.184,1.348,1.065,10.522,12,9.469,0.136,0.136,0.065,0.065,NA,NA,NA,NA,E,NE,18.597,NA,NA,NA,NA
Myoporum insulare,11,Stage_1,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,NE,19.986,8.433,57.804,0.46432,49.79767
