Species,Replicate,Stage,P-allocation pattern,PUE,N (mature) (mg/g),N (senesced) (mg/g),N resorption (%),P (mature) (mg/g),P (senesced) (mg/g),P resorption (%),Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1)
Acacia rostellifera,1,1,M,E,,,,,,,21.702,35.512,384.505,629.189,15.657,25.62,368.605,603.171
Acacia rostellifera,2,1,M,E,,,,,,,15.855,31.02,91.121,178.276,4.833,9.456,87.353,170.904
Acacia rostellifera,3,1,M,E,,,,,,,15.902,38.782,89.549,218.396,5.756,14.039,85.846,209.365
Acacia rostellifera,4,1,M,E,15.374,11.738,23.649,1.30248,0.60159,53.81158,,,,,,,,
Acacia rostellifera,5,1,M,E,17.187,12.068,29.783,0.79999,0.36716,54.10485,,,,,,,,
Acacia rostellifera,6,1,M,E,19.464,10.844,44.288,1.22758,0.43749,64.36144,,,,,,,,
Acacia rostellifera,7,1,M,E,17.712,10.53,40.55,0.94924,0.36819,61.21252,,,,,,,,
Acacia rostellifera,8,1,M,E,15.645,15.25,2.525,0.93639,1.87363,-100.09086,,,,,,,,
Anthocercis littorea,1,1,E,,,,,,,,,,,,,,,
Anthocercis littorea,2,1,E,,,,,,,,,,,,,,,
Anthocercis littorea,3,1,E,,,,,,,,16.302,27.49,118.262,199.421,6.712,11.319,,
Anthocercis littorea,4,1,E,,,,,,,,16.286,26.132,187.992,301.649,7.222,11.589,,
Anthocercis littorea,5,1,E,,,,,,,,9.036,27.144,71.086,213.548,3.524,10.588,,
Dioscorea hastifolia,1,1,,,,,,,,,8.119,19.286,91.661,217.742,6.468,15.364,,
Dioscorea hastifolia,2,1,,,,,,,,,8.75,21.882,102.263,255.75,6.319,15.804,,
Dioscorea hastifolia,3,1,,,,,,,,,12.709,27.303,185.93,399.455,9.063,19.472,,
Dioscorea hastifolia,4,1,,,,,,,,,15.784,29.594,151.89,284.795,7.556,14.167,,
Myoporum insulare,1,1,E,NE,,,,,,,15.779,31.944,96.082,194.511,6.27,12.694,45.924,92.97
Myoporum insulare,2,1,E,NE,,,,,,,14.282,27.6,86.558,167.273,4.916,9.499,41.372,79.951
Myoporum insulare,3,1,E,NE,,,,,,,19.583,39.3,132.224,265.355,6.929,13.906,63.198,126.83
Myoporum insulare,4,1,E,NE,,,,,,,16.604,33.287,113.83,228.197,5.702,11.431,54.407,109.07
Myoporum insulare,5,1,E,NE,,,,,,,6.524,23.566,54.223,195.88,2.417,8.733,25.917,93.624
Myoporum insulare,6,1,E,NE,,,,,,,,,,,,,,
Myoporum insulare,7,1,E,NE,,,,,,,16.734,25.973,103.31,160.352,6.384,9.908,49.379,76.643
Myoporum insulare,8,1,E,NE,,,,,,,,,,,,,,
Myoporum insulare,9,1,E,NE,,,,,,,8.08,25.105,81.094,251.978,5.77,17.93,38.76,120.437
Myoporum insulare,10,1,E,NE,,,,,,,18.176,37.9,183.993,383.643,9.894,20.629,87.942,183.368
Myoporum insulare,11,1,E,NE,19.986,8.433,57.804,0.92489,0.46432,49.79767,,,,,,,,
Myoporum insulare,12,1,E,NE,18.24,8.443,53.711,1.16263,0.71226,38.73752,,,,,,,,
Myoporum insulare,13,1,E,NE,18.816,6.801,63.854,1.93442,2.13982,-10.61833,,,,,,,,
Myoporum insulare,14,1,E,NE,21.148,12.824,39.362,4.27853,3.61494,15.50965,,,,,,,,
Myoporum insulare,15,1,E,NE,18.932,10.126,46.51,2.16055,1.70454,21.10606,,,,,,,,
Olearia axillaris,1,1,E,NE,,,,,,,18.569,34.444,124.407,230.769,6.453,11.97,88.458,164.086
Olearia axillaris,2,1,E,NE,,,,,,,11.356,21.927,87.052,168.084,6.089,11.756,61.898,119.514
Olearia axillaris,3,1,E,NE,,,,,,,13.417,28.207,65.245,137.162,4.218,8.867,46.392,97.528
Olearia axillaris,4,1,E,NE,,,,,,,11.33,26.94,55.742,132.546,3.159,7.512,39.634,94.245
