plot.id,species,dune.system,uptake.strategy,specific.uptake.strategy,collection.date,Ca_ug.g.DW,Cu_ug.g.DW,Fe_ug.g.DW,K_ug.g.DW,Mg_ug.g.DW,Mn_ug.g.DW,Mo_ug.g.DW,P_ug.g.DW,S_ug.g.DW,Zn_ug.g.DW,N_ug.g.DW,C_%,CN,senesced_leaf_Ca,senesced_leaf_Cu,senesced_leaf_Fe,senesced_leaf_K,senesced_leaf_Mg,senesced_leaf_Mn,senesced_leaf_Mo,senesced_leaf_P,senesced_leaf_S,senesced_leaf_Zn,senesced_leaf_N
B.HR.2,Banksia attenuata ,B,NM,cluster root,19/3/12,9375.298781,2.854244228,141.8432352,1474.754276,2249.875705,253.3137296,0.16341509,276.2508952,1291.379433,3.211834328,8417.89155,48.73329572,57.89252028,13935.1894,0.5414375,154.073,482.784,2031.369675,286.55675,NA,21.6875875,1040.203088,1.7892,3444.3141
B.HR.2,Banksia menziesii ,B,NM,cluster root,19/3/12,5523.481881,1.759673528,100.1618456,2437.138676,3485.908005,86.6604707,0.21495157,272.8740952,1565.539033,1.716075868,7982.9738,50.74581015,63.5675519,14145.3419,0.8170375,129.6664,868.3271,2760.280675,410.61035,NA,38.7029875,2220.006888,3.8243,3688.4622
B.HR.2,Hibbertia hypericoides ,B,AM,AM,19/3/12,15588.38928,3.465207508,152.4455212,5511.803776,4624.386705,43.34238788,0.27401098,329.9310952,3217.820133,7.690156908,10614.69319,44.35455696,41.786,15699.9588,2.0617375,197.0004,1839.9577,2069.966375,47.30135,NA,100.9996875,2979.967588,5.8831,8728.9497
B.HR.2,Jacksonia floribunda ,B,N fixing,AM/EM/N fixing,19/3/12,11862.53108,3.413944438,92.83857918,8930.016976,2524.653105,24.92668604,-0.22593796,274.2110952,1056.173333,3.790731178,12981.90138,47.8874755,36.88787497,18110.195,0.4348375,78.7406,2096.4144,2893.667175,32.38325,0.207228571,36.1216875,1515.715588,2.0011,11148.5401
B.HR.2,Melaleuca leuropoma,B,EM,EM,20/3/12,13002.47238,3.711932818,67.17726363,4358.392976,6571.801405,24.57027605,0.22863632,258.3508952,2504.437833,7.397188458,8854.2848,47.59296323,53.75133545,14636.501,1.3671375,76.9159,870.2917,3683.659875,33.59665,NA,69.9407875,2868.336988,5.5728,5605.2382
B.HR.2,Mesomelaena pseudostygia,B,NM,dauciform,19/3/12,2698.683,0.3746375,21.9827,3081.4101,565.226475,25.32025,NA,90.3823875,926.3659875,3.2808,7566.04922,44.87126864,59.3060755,1523.2031,1.0798375,44.5108,125.5759,237.355075,12.26645,NA,18.4961875,956.4462875,2.4561,4382.7504
B.HR.5,Banksia attenuata ,B,NM,NA,19/3/12,4504.805981,1.805961948,116.9247084,1653.998976,1794.756705,84.86685459,0.30958851,230.7584952,858.6299333,4.206291438,5724.71665,48.68854437,85.0497017,8965.8032,0.5615375,146.1105,739.9957,1489.529975,169.83055,0.085928571,15.9389875,750.4419875,1.616,3088.125
B.HR.5,Banksia menziesii ,B,NM,NA,19/3/12,6225.264481,1.602253138,110.7072186,2920.130276,1980.182905,91.46508903,0.19198339,259.3486952,1463.541533,3.463444368,8262.81126,49.93521437,60.43368628,11770.483,0.5754375,108.8036,1335.2693,1295.713175,134.52165,0.148928571,18.4961875,1394.626388,1.7538,2872.301
B.HR.5,Jacksonia floribunda ,B,N fixing,NA,19/3/12,5163.850081,3.448573098,159.953478,10113.67458,2171.287705,17.53284711,-0.16294238,348.4509952,1060.688533,3.571540518,14922.11921,48.23728635,32.32602934,5993.9648,1.0007375,93.1073,4495.4622,1408.557775,8.34305,0.140428571,37.6619875,1478.489088,2.8802,11738.449
B.HR.5,Melaleuca leuropoma,B,EM,NA,19/3/12,12496.27808,1.636269058,99.84707338,2334.294576,6964.445905,24.96598695,0.31709192,288.3514952,3819.307433,3.902741138,8732.73302,48.12348037,55.10700973,9643.8757,0.6347375,94.7581,590.4622,3283.843675,13.84905,NA,70.3260875,3086.020988,2.7529,5725.1796
B.HR.5,Mesomelaena pseudostygia,B,NM,NA,19/3/12,3694.5401,0.5830375,26.2073,4975.3272,815.729875,19.80435,NA,101.4774875,1014.745888,6.0721,7018.32808,44.02092487,62.72280862,1865.848,1.1387375,37.5125,170.9975,286.652475,9.27245,0.194928571,23.9063875,991.2211875,3.0449,3928.4154
B.L.10,Hibbertia hypericoides ,B,AM,NA,20/3/12,18935.35278,1.949393938,156.9960475,4637.262476,4445.695205,53.55291287,0.2665154,233.2881952,2657.612033,4.133645368,9593.67942,45.01540031,46.9219351,13741.1825,2.3788375,441.3244,704.07,1735.171975,31.19495,0.080728571,88.7659875,1394.150088,3.7443,8086.1553
B.L.10,Jacksonia floribunda ,B,N fixing,NA,20/3/12,9595.492681,1.139517928,66.41667825,6303.514576,1985.821505,18.56666361,0.07788105,224.4974952,1251.520833,3.420507128,13312.0533,48.34771655,36.31875222,16502.9058,0.5420375,70.7273,3948.8771,2013.718875,15.91495,-0.019071429,78.6833875,1699.378188,4.119,13143.0462
B.L.10,Melaleuca leuropoma,B,EM,NA,20/3/12,10015.32128,2.234906748,50.35556746,3923.302276,5591.793905,18.30467502,0.32671894,184.7841952,2027.240533,5.280672418,7015.608,49.0185659,69.87073095,11442.7449,1.2554375,256.7168,606.9229,1820.861875,26.66805,0.090128571,60.3976875,1522.355688,3.6747,6044.0593
B.L.10,Mesomelaena pseudostygia,B,NM,NA,20/3/12,2314.4119,0.4021375,22.266,5419.8796,429.653875,15.52865,0.137228571,93.9449875,944.3034875,3.5969,8148.31405,43.74106675,53.68112531,1149.9588,0.4317375,95.7004,122.9577,257.966375,10.90135,0.150528571,17.6996875,801.9675875,2.1931,3374.9417
B.L.14,Banksia attenuata ,B,NM,NA,20/3/12,4505.964181,2.178546198,153.1281325,3221.229176,1582.089405,82.29469328,0.07170481,157.3195952,809.8312333,2.330089118,5229.72506,47.56904025,90.95896952,10261.3334,0.3792375,204.2598,447.1987,1713.422375,149.08165,NA,16.9405875,1093.868888,1.9295,2759.9333
B.L.14,Banksia menziesii ,B,NM,NA,20/3/12,3527.972981,1.842851218,95.12180565,1892.905276,2152.679605,126.4498537,-0.00379831,256.5663952,1145.245833,2.540603778,9450.48653,48.75193385,51.58669204,7595.8428,0.8623375,108.513,1122.5021,1290.892475,160.89935,0.103428571,16.3700875,1384.439088,1.7243,3717.9151
B.L.14,Hibbertia hypericoides ,B,AM,NA,20/3/12,15757.20768,1.729062568,123.9130885,5238.578176,2761.297105,18.30242065,-0.02438493,243.8843952,3044.545833,8.922006468,10201.87117,44.35894251,43.48118279,12425.9943,1.5303375,371.7953,979.2476,1331.327275,29.88305,NA,116.3704875,2070.973488,4.7171,9955.3665
B.L.14,Jacksonia floribunda ,B,N fixing,NA,20/3/12,9332.902481,2.689690718,121.977028,10517.59748,2138.046705,17.60846388,0.35335015,256.3770952,1238.680533,8.106249678,13928.63128,47.82496334,34.33572358,10724.5965,0.3399375,112.0777,3642.4698,2280.159575,18.84195,0.087528571,41.8353875,2222.189788,9.3654,11803.6929
B.L.14,Melaleuca leuropoma,B,EM,NA,20/3/12,14030.55848,3.221157798,73.48263987,4754.567176,6130.528905,24.05830319,-0.10287494,290.7342952,2669.527933,3.608190488,8515.35094,47.72095247,56.04108719,12151.3532,1.2268375,62.849,995.9736,2948.173575,13.44755,-0.019371429,50.7964875,2460.126988,2.4931,5523.4945
B.L.14,Mesomelaena pseudostygia,B,NM,NA,20/3/12,3591.1718,0.3169375,21.4904,3982.7657,768.829775,24.26115,0.048328571,113.6577875,1289.365888,3.0021,7840.9594,44.06697934,56.20100437,1636.505,0.8752375,46.2855,104.3754,199.765575,12.85275,NA,26.8068875,1767.0358880000001,1.6898,4819.6972
B.L.4,Banksia attenuata ,B,NM,NA,19/3/12,7372.781081,2.659719568,95.4216733,1939.579176,1893.182405,149.561314,-0.16969083,217.0181952,1138.970833,6.139399408,8118.19289,48.25504828,59.4406279,12462.8668,1.4458375,170.129,410.4424,1632.013875,246.29215,NA,20.9689875,1364.952788,3.0892,3110.9775
B.L.4,Banksia menziesii ,B,NM,NA,19/3/12,4296.945881,2.119959248,96.86827874,3533.335676,2426.424905,148.4437395,0.19383354,229.4493952,1175.846233,2.177622258,7574.9523,49.79192005,65.73232158,8201.5398,0.4760375,98.617,819.1277,1897.199575,297.43215,0.168528571,18.6755875,1096.805488,1.5644,3373.9042
B.L.4,Hibbertia hypericoides ,B,AM,NA,19/3/12,20475.13978,1.597319248,124.2536783,2931.892376,5052.370605,43.06322432,0.18364169,259.3535952,3029.065433,3.859290708,9978.0689,44.57564547,44.67361965,15407.5135,1.2343375,176.9388,736.5382,2246.487275,26.54215,NA,70.1785875,1640.126588,2.9852,7477.528
