bag.id,sample.id,dune,plot.id,subplot,date,type,totalN_perc,totalP_mgkg,NP,pHwater,pHcacl2,pHbacl2,exchAl_mgkg,exchCa_mgkg,exchFe_mgkg,exchK_mgkg,exchMg_mgkg,exchMn_mgkg,exchNa_mgkg,exchAl_cmolkg,exchCa_cmolkg,exchFe_cmolkg,exchK_cmolkg,exchMg_cmolkg,exchMn_cmolkg,exchNa_cmolkg,TEB_cmolkg,ECEC_cmolkg
1,B.HR.2.1,Bassendean,B.HR.2,1,13/6/12,subplot,0.0151,10.23,14.745,6.2,4.86,4.66,0,310.809,0,11.2609,28.915,0,0,0,1.5509,0,0.0288,0.2379,0,0,1.8176,1.8176
2,B.HR.2.2,Bassendean,B.HR.2,2,13/6/12,subplot,0.015,9.1578,16.3611,6.09,5.4,5.01,0,614.7129,0,60.7532,45.2055,0,12.9459,0,3.0674,0,0.1554,0.3719,0,0.0563,3.651,3.651
3,B.HR.2.3,Bassendean,B.HR.2,3,13/6/12,subplot,0.0127,9.3281,13.571,6.08,5.01,4.62,0,352.9778,0,0,40.0224,1.1836,11.4338,0,1.7614,0,0,0.3293,0.0043,0.0497,2.1404,2.1447
4,B.HR.2.4,Bassendean,B.HR.2,4,13/6/12,subplot,0.0114,8.3573,13.6966,5.95,5,4.76,0,371.4374,0,0,37.3053,0,0,0,1.8535,0,0,0.3069,0,0,2.1604,2.1604
5,B.HR.2.5,Bassendean,B.HR.2,5,13/6/12,subplot,0.0116,8.6784,13.4227,5.92,4.72,4.45,0,314.9041,0,0,32.8115,1.1849,12.8581,0,1.5714,0,0,0.2699,0.0043,0.0559,1.8972,1.9016
6,B.HR.2.6,Bassendean,B.HR.2,6,13/6/12,subplot,0.0257,9.1536,28.0691,5.82,4.53,4.16,0,1224.1191,0,15.3178,142.8779,1.6185,49.8195,0,6.1084,0,0.0392,1.1755,0.0059,0.2167,7.5397,7.5456
7,B.HR.2.7,Bassendean,B.HR.2,7,13/6/12,subplot,0.0164,8.1003,20.2434,5.93,4.92,4.58,0,555.7158,0,0,52.6644,0.9443,40.6509,0,2.773,0,0,0.4333,0.0034,0.1768,3.3831,3.3866
8,B.HR.5.1,Bassendean,B.HR.5,1,12/6/12,subplot,0.015,7.6332,19.6288,6.05,4.86,4.58,0,296.6192,0,0,41.6666,0,0,0,1.4801,0,0,0.3428,0,0,1.8229,1.8229
9,B.HR.5.2,Bassendean,B.HR.5,2,12/6/12,subplot,0.0143,7.9008,18.0688,6.15,4.58,4.51,0,169.5833,2.9342,0,26.7926,0,15.4023,0,0.8462,0.0158,0,0.2204,0,0.067,1.1336,1.1494
10,B.HR.5.3,Bassendean,B.HR.5,3,12/6/12,subplot,0.0254,10.8573,23.3853,5.98,4.91,4.65,0,219.4236,0,0,31.2853,0,23.3889,0,1.0949,0,0,0.2574,0,0.1017,1.454,1.454
11,B.HR.5.4,Bassendean,B.HR.5,4,12/6/12,subplot,0.0117,6.0682,19.3629,6.13,4.8,4.36,0,144.826,0,0,21.3061,0,0,0,0.7227,0,0,0.1753,0,0,0.898,0.898
12,B.HR.5.5,Bassendean,B.HR.5,5,12/6/12,subplot,0.0254,9.9254,25.5812,6.01,4.9,4.62,0,373.5536,0,0,58.9476,0,9.4749,0,1.864,0,0,0.485,0,0.0412,2.3902,2.3902
13,B.HR.5.6,Bassendean,B.HR.5,6,12/6/12,subplot,0.0154,6.1978,24.8271,6.31,4.88,4.57,7.8325,333.9303,0,12.8202,41.4284,0,32.3694,0.0871,1.6663,0,0.0328,0.3408,0,0.1408,2.1807,2.2678
14,B.HR.5.7,Bassendean,B.HR.5,7,12/6/12,subplot,0.036,7.564,47.5932,6.24,4.88,4.93,0,309.523,0,0,28.6132,0,0,0,1.5445,0,0,0.2354,0,0,1.7799,1.7799
15,B.L.10.1,Bassendean,B.L.10,1,16/6/12,subplot,0.0365,7.5677,48.1789,6.08,4.87,4.79,0,390.3475,0,0,46.7814,0,6.941,0,1.9478,0,0,0.3849,0,0.0302,2.3629,2.3629
16,B.L.10.2,Bassendean,B.L.10,2,16/6/12,subplot,0.025,9.1955,27.1721,6.21,4.99,4.69,0,352.9685,0,0,36.7935,0.8743,0,0,1.7613,0,0,0.3027,0.0032,0,2.064,2.0672
17,B.L.10.3,Bassendean,B.L.10,3,16/6/12,subplot,0.0137,7.8308,17.4562,6.52,5.71,5.24,0,206.7551,0,0,13.9826,0,7.2384,0,1.0317,0,0,0.115,0,0.0315,1.1782,1.1782
18,B.L.10.4,Bassendean,B.L.10,4,16/6/12,subplot,0.0451,10.5404,42.7833,5.96,4.66,4.44,0,521.8176,0,25.926,53.4374,0.8666,0,0,2.6039,0,0.0663,0.4396,0.0032,0,3.1098,3.113
19,B.L.10.5,Bassendean,B.L.10,5,16/6/12,subplot,0.0236,7.1956,32.7304,6.16,5.19,4.79,0,511.9742,0,0,60.4645,1.0133,8.0042,0,2.5548,0,0,0.4974,0.0037,0.0348,3.087,3.0907
20,B.L.10.6,Bassendean,B.L.10,6,16/6/12,subplot,0.0328,7.7389,42.327,6.03,5.05,4.74,5.094,521.1842,0,0,65.7429,0,0,0.0566,2.6007,0,0,0.5409,0,0,3.1416,3.1982
21,B.L.10.7,Bassendean,B.L.10,7,16/6/12,subplot,0.028,5.8145,48.1641,5.9,4.91,4.63,0,406.2593,0,0,41.3903,1.4439,0,0,2.0272,0,0,0.3405,0.0053,0,2.3678,2.373
22,B.L.14.1,Bassendean,B.L.14,1,14/6/12,subplot,0.0209,3.8543,54.198,5.71,4.45,4.33,0,463.9583,0,0,41.4487,0,0,0,2.3152,0,0,0.341,0,0,2.6562,2.6562
23,B.L.14.2,Bassendean,B.L.14,2,14/6/12,subplot,0.0425,4.9391,85.9902,5.66,4.47,4.34,0,427.481,0,0,37.4859,0.9423,0,0,2.1331,0,0,0.3084,0.0034,0,2.4415,2.445
24,B.L.14.3,Bassendean,B.L.14,3,14/6/12,subplot,0.0285,3.8078,74.7568,5.32,4.5,4.25,0,429.3164,0,0,37.8172,1.0293,0,0,2.1423,0,0,0.3111,0.0037,0,2.4534,2.4572
25,B.L.14.4,Bassendean,B.L.14,4,14/6/12,subplot,0.0388,4.5141,85.9255,5.63,4.37,4.16,0,426.8071,2.5759,0,54.7803,0,6.4308,0,2.1298,0.0138,0,0.4507,0,0.028,2.6084,2.6223
26,B.L.14.5,Bassendean,B.L.14,5,14/6/12,subplot,0.043,4.9003,87.8098,5.13,4.03,4.04,0,321.1728,2.4096,0,46.3031,0,0,0,1.6027,0.0129,0,0.3809,0,0,1.9836,1.9965
27,B.L.14.6,Bassendean,B.L.14,6,14/6/12,subplot,0.059,5.396,109.3356,5.6,4.5,4.25,0,480.6807,0,0,60.3849,0,18.3673,0,2.3986,0,0,0.4968,0,0.0799,2.9753,2.9753
28,B.L.14.7,Bassendean,B.L.14,7,14/6/12,subplot,0.0519,5.0628,102.6083,5.31,4.4,4.32,5.4047,175.4045,0,0,20.3687,0,0,0.0601,0.8753,0,0,0.1676,0,0,1.0428,1.1029
29,B.L.4.1,Bassendean,B.L.4,1,14/6/12,subplot,0.0222,5.8153,38.2437,5.73,4.67,4.43,0,374.2247,0,0,35.5199,0,0,0,1.8674,0,0,0.2922,0,0,2.1596,2.1596
30,B.L.4.2,Bassendean,B.L.4,2,14/6/12,subplot,0.0198,6.1716,32.0493,5.53,4.54,4.5,0,188.404,0,0,20.3497,0,8.4169,0,0.9401,0,0,0.1674,0,0.0366,1.1442,1.1442
31,B.L.4.3,Bassendean,B.L.4,3,14/6/12,subplot,0.0368,7.6739,47.9385,5.73,4.61,4.39,0,358.7423,2.4477,25.6295,39.2473,0,0,0,1.7901,0.0132,0.0655,0.3229,0,0,2.1786,2.1917
32,B.L.4.4,Bassendean,B.L.4,4,14/6/12,subplot,0.071,11.0517,64.248,5.53,4.54,4.25,5.0185,573.2808,0,34.3028,73.3364,1.3295,9.5369,0.0558,2.8607,0,0.0877,0.6033,0.0048,0.0415,3.5932,3.6539
33,B.L.4.5,Bassendean,B.L.4,5,14/6/12,subplot,0.0498,11.6403,42.8042,5.47,4.29,4.08,5.4321,453.7031,0,27.3092,57.4611,1.0901,14.9555,0.0604,2.264,0,0.0698,0.4727,0.004,0.0651,2.8716,2.936
34,B.L.4.6,Bassendean,B.L.4,6,14/6/12,subplot,0.0209,5.8503,35.7053,5.67,4.62,4.37,5.3852,257.8599,2.286,16.5534,22.7569,0.8788,0,0.0599,1.2867,0.0123,0.0423,0.1872,0.0032,0,1.5163,1.5917
35,B.L.4.7,Bassendean,B.L.4,7,14/6/12,subplot,0.0235,6.6036,35.5721,5.77,4.84,4.54,27.2905,266.5853,2.6351,23.3487,20.1347,0,0,0.3035,1.3303,0.0142,0.0597,0.1656,0,0,1.5556,1.8733
36,B.L.5.1,Bassendean,B.L.5,1,14/6/12,subplot,0.0223,4.8565,45.9506,5.65,4.35,4.13,0,612.2973,0,23.5546,72.3917,2.9277,0,0,3.0554,0,0.0602,0.5956,0.0107,0,3.7112,3.7218
37,B.L.5.2,Bassendean,B.L.5,2,14/6/12,subplot,0.0321,6.4604,49.6613,5.49,4.37,4.17,0,321.343,3.1202,17.1847,37.4198,2.0284,0,0,1.6035,0.0168,0.044,0.3079,0.0074,0,1.9553,1.9795
38,B.L.5.3,Bassendean,B.L.5,3,14/6/12,subplot,0.0252,5.0178,50.1402,5.67,4.52,4.36,0,324.215,0,16.4253,34.3417,1.5639,0,0,1.6178,0,0.042,0.2825,0.0057,0,1.9424,1.9481
39,B.L.5.4,Bassendean,B.L.5,4,14/6/12,subplot,0.0306,5.3015,57.6704,5.4,4.48,4.15,0,563.848,0,23.4017,64.8254,0.8283,6.0484,0,2.8136,0,0.0599,0.5333,0.003,0.0263,3.4331,3.4361
40,B.L.5.5,Bassendean,B.L.5,5,14/6/12,subplot,0.0211,2.2433,93.9525,5.55,4.48,4.24,0,366.3429,0,17.1691,53.4233,3.6503,0,0,1.8281,0,0.0439,0.4395,0.0133,0,2.3115,2.3248
41,B.L.5.6,Bassendean,B.L.5,6,14/6/12,subplot,0.0381,7.1292,53.4403,5.38,4.13,3.89,0,510.8522,0,21.1353,78.4786,1.2724,30.0537,0,2.5492,0,0.0541,0.6456,0.0046,0.1307,3.3796,3.3842
42,B.L.5.7,Bassendean,B.L.5,7,14/6/12,subplot,0.0676,15.1477,44.6027,5.64,4.81,4.55,0,643.2567,0,19.7456,74.8452,3.5596,13.4962,0,3.2099,0,0.0505,0.6158,0.013,0.0587,3.9348,3.9478
43,B.L.6.1,Bassendean,B.L.6,1,14/6/12,subplot,0.0154,4.4358,34.7063,5.91,4.89,4.71,0,327.3644,4.6564,15.7183,26.2939,0,0,0,1.6336,0.025,0.0402,0.2163,0,0,1.8901,1.9151
44,B.L.6.2,Bassendean,B.L.6,2,14/6/12,subplot,0.022,7.0982,30.9914,5.61,4.77,4.54,0,462.7325,0,18.5088,41.7112,0.8948,12.5652,0,2.309,0,0.0473,0.3432,0.0033,0.0547,2.7542,2.7575
45,B.L.6.3,Bassendean,B.L.6,3,14/6/12,subplot,0.0275,7.2748,37.7632,6.04,5.13,5.18,0,528.326,0,14.3523,57.3553,3.508,0,0,2.6364,0,0.0367,0.4719,0.0128,0,3.1449,3.1577
46,B.L.6.4,Bassendean,B.L.6,4,14/6/12,subplot,0.0215,7.1681,29.9848,5.99,5.1,4.8,0,405.6753,0,10.7886,33.1656,1.7917,0,0,2.0243,0,0.0276,0.2729,0.0065,0,2.3248,2.3313
47,B.L.6.5,Bassendean,B.L.6,5,14/6/12,subplot,0.0275,7.6184,36.103,5.82,4.85,4.48,0,671.302,2.8696,0,52.239,0,13.0662,0,3.3498,0.0154,0,0.4298,0,0.0568,3.8364,3.8518
48,B.L.6.6,Bassendean,B.L.6,6,14/6/12,subplot,0.0247,6.2406,39.6329,5.84,4.7,4.51,0,363.4605,0,0,39.4574,0,0,0,1.8137,0,0,0.3246,0,0,2.1383,2.1383
49,B.L.6.7,Bassendean,B.L.6,7,14/6/12,subplot,0.0197,6.8094,28.8923,5.98,5.17,4.84,0,399.9489,0,10.9668,37.6029,1.6645,0,0,1.9958,0,0.028,0.3094,0.0061,0,2.3332,2.3392
50,B.L.9.1,Bassendean,B.L.9,1,14/6/12,subplot,0.0218,5.646,38.6667,5.77,4.53,4.31,0,399.6919,0,0,36.9182,3.6627,9.1783,0,1.9945,0,0,0.3037,0.0133,0.0399,2.3381,2.3515
51,B.L.9.2,Bassendean,B.L.9,2,14/6/12,subplot,0.015,5.4675,27.4515,5.68,4.48,4.51,0,134.741,0,0,8.5666,0.9861,0,0,0.6724,0,0,0.0705,0.0036,0,0.7428,0.7464
52,B.L.9.3,Bassendean,B.L.9,3,14/6/12,subplot,0.0278,6.0148,46.1819,5.74,4.5,4.4,0,271.9189,2.3171,0,28.3793,1.1975,0,0,1.3569,0.0125,0,0.2335,0.0044,0,1.5904,1.6072
53,B.L.9.4,Bassendean,B.L.9,4,14/6/12,subplot,0.0293,3.9878,73.3868,5.84,4.7,4.53,0,365.2154,6.5796,0,38.0954,1.0874,0,0,1.8224,0.0354,0,0.3134,0.004,0,2.1358,2.1752
54,B.L.9.5,Bassendean,B.L.9,5,14/6/12,subplot,0.031,8.6678,35.712,5.63,4.5,4.22,5.6149,373.6369,0,0,41.8218,2.4272,0,0.0624,1.8645,0,0,0.3441,0.0088,0,2.2085,2.2798
55,B.L.9.6,Bassendean,B.L.9,6,14/6/12,subplot,0.0191,8.2398,23.164,5.17,4.07,4.14,0,157.287,3.5416,0,32.8402,9.8884,0,0,0.7849,0.019,0,0.2702,0.036,0,1.055,1.1101
56,B.L.9.7,Bassendean,B.L.9,7,14/6/12,subplot,0.0433,10.3753,41.6885,5.24,3.95,3.85,0,397.3277,3.3964,0,83.5488,17.688,11.1343,0,1.9827,0.0183,0,0.6874,0.0644,0.0484,2.7185,2.8011
57,B.NL.3.1,Bassendean,B.NL.3,1,16/6/12,subplot,0.0072,4.5964,15.7105,5.75,4.68,4.5,5.9484,436.1324,3.9136,0,37.0579,0,0,0.0661,2.1763,0.021,0,0.3049,0,0,2.4812,2.5684
58,B.NL.3.2,Bassendean,B.NL.3,2,16/6/12,subplot,0.0108,4.8741,22.2412,5.96,4.86,4.86,0,418.5848,0,0,45.8324,0,0,0,2.0887,0,0,0.3771,0,0,2.4658,2.4658
59,B.NL.3.3,Bassendean,B.NL.3,3,16/6/12,subplot,0.0131,2.5096,52.1663,5.85,4.86,4.62,0,468.3862,0,0,54.5916,0,0,0,2.3373,0,0,0.4491,0,0,2.7864,2.7864
60,B.NL.3.4,Bassendean,B.NL.3,4,16/6/12,subplot,0.0129,4.8866,26.4269,6.14,5.04,4.78,0,397.5883,0,0,44.2188,0,0,0,1.984,0,0,0.3638,0,0,2.3478,2.3478
61,B.NL.3.5,Bassendean,B.NL.3,5,16/6/12,subplot,0.0081,4.5482,17.792,5.92,4.81,4.63,0,469.1845,0,0,41.9974,0,0,0,2.3412,0,0,0.3455,0,0,2.6868,2.6868
62,B.NL.3.6,Bassendean,B.NL.3,6,16/6/12,subplot,0.0073,2.6564,27.4196,6.21,4.98,4.71,0,186.8153,0,0,21.1253,0,0,0,0.9322,0,0,0.1738,0,0,1.106,1.106
63,B.NL.3.7,Bassendean,B.NL.3,7,16/6/12,subplot,0.0073,3.2104,22.7515,6.04,5.16,4.89,0,764.816,4.6677,14.9343,85.8161,1.4568,17.124,0,3.8164,0.0251,0.0382,0.706,0.0053,0.0745,4.6351,4.6655
64,B.NL.1.1,Bassendean,B.NL.1,1,13/6/12,subplot,0.0077,4.2471,18.0757,6.14,5.24,4.96,0,418.2619,0,0,54.5135,0,0,0,2.0871,0,0,0.4485,0,0,2.5356,2.5356
65,B.NL.1.2,Bassendean,B.NL.1,2,13/6/12,subplot,0.0134,4.7715,27.9934,5.93,4.39,4.42,0,147.7349,2.7843,0,26.5235,0,0,0,0.7372,0.015,0,0.2182,0,0,0.9554,0.9704
66,B.NL.1.3,Bassendean,B.NL.1,3,13/6/12,subplot,0.0163,6.4296,25.289,6.29,5.49,5.12,0,491.638,0,0,41.6793,0,0,0,2.4533,0,0,0.3429,0,0,2.7962,2.7962
67,B.NL.1.4,Bassendean,B.NL.1,4,13/6/12,subplot,0.02,6.5771,30.4802,6.22,5.06,4.81,0,402.5278,0,0,57.7463,1.3798,0,0,2.0086,0,0,0.4751,0.005,0,2.4837,2.4887
68,B.NL.1.5,Bassendean,B.NL.1,5,13/6/12,subplot,0.0185,6.0018,30.8014,6,4.78,4.6,0,218.9745,0,0,33.7682,0,7.7303,0,1.0927,0,0,0.2778,0,0.0336,1.4041,1.4041
69,B.NL.1.6,Bassendean,B.NL.1,6,13/6/12,subplot,0.0147,5.0078,29.2745,6.34,5.41,5.11,0,362.5826,0,0,31.6884,0,0,0,1.8093,0,0,0.2607,0,0,2.07,2.07
70,B.NL.1.7,Bassendean,B.NL.1,7,13/6/12,subplot,0.015,5.9353,25.2889,6.22,5.35,5.08,8.7072,332.542,0,0,31.3148,1.1693,0,0.0968,1.6594,0,0,0.2576,0.0043,0,1.917,2.0181
71,S.DS.10.1,Spearwood - deep sand,S.DS.10,1,14/6/12,subplot,0.0154,9.2063,16.7572,6.07,4.97,4.78,0,357.9166,2.8981,0,51.9461,0,0,0,1.786,0.0156,0,0.4274,0,0,2.2134,2.2289
72,S.DS.10.2,Spearwood - deep sand,S.DS.10,2,14/6/12,subplot,0.0142,6.5421,21.6465,6.28,5.29,5.04,11.4347,279.9126,7.9523,15.5723,43.4749,0,15.2012,0.1272,1.3968,0.0427,0.0398,0.3577,0,0.0661,1.8604,2.0303
73,S.DS.10.3,Spearwood - deep sand,S.DS.10,3,14/6/12,subplot,0.0122,8.4807,14.3378,6.56,5.59,5.22,23.6503,255.8101,15.8775,0,43.9448,0,15.2536,0.263,1.2765,0.0853,0,0.3615,0,0.0663,1.7044,2.0527
74,S.DS.10.4,Spearwood - deep sand,S.DS.10,4,14/6/12,subplot,0.0297,11.4963,25.8467,6.3,5.33,4.94,0,425.0777,0,0,47.7857,0,0,0,2.1211,0,0,0.3931,0,0,2.5143,2.5143
75,S.DS.10.5,Spearwood - deep sand,S.DS.10,5,14/6/12,subplot,0.0134,7.4703,17.9135,6.33,5.33,4.98,0,335.8308,16.5197,0,40.5501,0,0,0,1.6758,0.0888,0,0.3336,0,0,2.0094,2.0982
76,S.DS.10.6,Spearwood - deep sand,S.DS.10,6,14/6/12,subplot,0.0138,8.4839,16.3039,6.14,5.22,4.89,0,318.0065,0,0,38.2913,0,0,0,1.5869,0,0,0.315,0,0,1.9019,1.9019
77,S.DS.10.7,Spearwood - deep sand,S.DS.10,7,14/6/12,subplot,0.0182,10.1002,18.0335,6.25,5.28,5.04,0,304.0212,2.6816,0,38.1811,0,0,0,1.5171,0.0144,0,0.3141,0,0,1.8312,1.8456
78,S.DS.11.1,Spearwood - deep sand,S.DS.11,1,14/6/12,subplot,0.017,14.3878,11.8383,6.26,5.46,5.3,0,256.2497,0,0,38.3546,0,28.757,0,1.2787,0,0,0.3155,0,0.1251,1.7193,1.7193
