taxon,bud_bank_location,resprouting_capacity,serotiny,floret retainment,leaf retainment
Dryandra serratuloides,lignotuber,resprouts,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained
Dryandra foliosissima,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained
Dryandra calophylla,rhizome,resprouts,serotinous,florets_retained_with_follicles_exposed,dead_leaves_retained
Dryandra sessilis,none,fire_killed,not_serotinous,florets_shed,dead_leaves_shed
Dryandra speciosa,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained
Banksia cuneata,none,fire_killed,serotinous,florets_shed,dead_leaves_retained
Banksia ilicifolia,epicormic_buds lignotuber,resprouts,serotinous,florets_shed,dead_leaves_shed
Banksia oligantha,none,fire_killed,serotinous,florets_shed,dead_leaves_shed
Banksia elegans,bud-bearing_root,resprouts,serotinous,florets_shed,dead_leaves_shed
Banksia attenuata,epicormic_buds lignotuber,resprouts,serotinous,florets_retained_with_follicles_exposed,dead_leaves_shed
Banksia candolleana,rhizome,resprouts,serotinous,florets_retained_with_follicles_exposed,dead_leaves_retained
Banksia lindleyana,lignotuber,resprouts,serotinous,florets_retained_with_follicles_exposed,dead_leaves_shed
Banksia sceptrum,none,fire_killed,serotinous,florets_retained_with_follicles_exposed,dead_leaves_shed
Banksia ashbyi,lignotuber,partial_resprouting,serotinous,florets_retained_with_follicles_exposed,dead_leaves_shed
Banksia menziesii,epicormic_buds lignotuber,resprouts,serotinous,florets_retained_with_follicles_exposed florets_shed,dead_leaves_shed
Banksia burdettii,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained dead_leaves_shed
Banksia hookeriana,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained
Banksia prionotes,none,fire_killed,serotinous,florets_shed,dead_leaves_shed
Banksia victoriae,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained
Banksia coccinea,none,fire_killed,serotinous,florets_shed,dead_leaves_shed
Banksia speciosa,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_shed
Banksia baxteri,none,fire_killed,serotinous,florets_retained_with_follicles_exposed,dead_leaves_retained
Banksia media,none,fire_killed,serotinous,florets_retained_with_follicles_concealed,dead_leaves_retained dead_leaves_shed
