name_original,metadata_id,primary_source,Family,LAI,LMI (g)/m2,seed_mass_mg,Accessory cost(mg) per seed,Accessory cost proportion,Seed no. per m2 canopy area,Total RE per COA(gm-2),Seed no. per m2 leaf area,Total RE per m2 leaf area
Acacia linifolia,23,21,Mimosaceae,0.1939,34.3,23.875,81.83,0.774135566,75.08,7.918,412.7,43.552
Acacia myrtifolia,23,21,Mimosaceae,0.2567,43.16,9.842,38.3,0.795563126,448.7,21.61,1857.7,89.474
Acacia suaveolens,23,21,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA
Banksia ericifolia,23,21,Proteaceae,0.9734,219.25,20.931,3743,0.994439059,67.21,192.29,69.047,197.553
Banksia marginata,23,21,Proteaceae,0.9427,160.64,7.52,1103,0.993228398,103.32,90.62,114.66,99.477
Banksia oblongifolia,23,21,Proteaceae,0.4805,145.42,20.882,2723,0.992389614,18.28,43.1,38.04,89.701
Banksia spinulosa,23,21,Proteaceae,0.5141,110.28,17.392,3454,0.994989906,17.53,33.95,34.1,66.031
Boronia ledifolia,23,21,Rutaceae,0.2362,48.43,9.53,7.82,0.450720461,354.6,6.299,1746.4,31.023
Boronia pinnata,23,21,Rutaceae,0.313,66.77,1.502,2.72,0.644244434,431.5,2.271,1451.55,7.588
Bossiaea heterophylla,23,21,Fabaceae,0.1768,46.85,14.062,75.9,0.843689558,146.1,10.59,1091,84.289
Bossiaea scolopendria,23,21,Fabaceae,0.4925,193.66,15.739,138.2,0.897758203,91.55,12.73,213.72,27.893
Comesperma ericinum,23,21,Polygalaceae,0.6092,85.5,1.037,1.36,0.567375887,15227,63.43,47373,155.409
Conospermum ericifolium,23,21,Proteaceae,1.8621,536.77,2.623,1.17,0.308462958,7761,29.44,4255.3,16.139
Conospermum longifolium,23,21,Proteaceae,0.739,158.15,6.955,1.2,0.147148988,584.8,4.769,786.2,6.411
Crowea saligna,23,21,Rutaceae,0.4182,58.53,12.005,10.2,0.459356001,26.14,0.7549,63.52,1.838
Dillwynia retorta,23,21,Fabaceae,0.4118,45,4.813,16.1,0.76985607,660.9,15.11,1512.6,36.008
Dodonaea triquetra,23,21,Sapindaceae,0.5442,61.58,3.6505,26,0.876882346,628.8,11.28,1116.9,20.966
Eriostemon australasius,23,21,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA
Gompholobium grandiflorum,23,21,Fabaceae,1.18,196.62,3.671,21.8,0.855875309,1121.7,32.37,1052.9,30.424
Grevillea buxifolia,23,21,Proteaceae,0.6073,84.06,44.113,105.1,0.70436222,70.57,10.51,123.37,18.368
