Species,germination_treatment,seed_germination
Arthropodium milleflorum,Control,0
Arthropodium milleflorum,Heat,0
Arthropodium milleflorum,Smoke,0
Arthropodium milleflorum,S + H,0
Arthropodium milleflorum,Control_1,0
Arthropodium milleflorum,Heat_2,0
Arthropodium milleflorum,Smoke_3,0
Arthropodium milleflorum,S + H_4,0
Arthropodium minus,Control,94.4
Arthropodium minus,Heat,94.7
Arthropodium minus,Smoke,95.6
Arthropodium minus,S + H,93.4
Arthropodium minus,Control_1,2.33
Arthropodium minus,Heat_2,1.43
Arthropodium minus,Smoke_3,2.57
Arthropodium minus,S + H_4,7.57
Austrostipa densiflora,Control,9.33
Austrostipa densiflora,Heat,NA
Austrostipa densiflora,Smoke,18.7
Austrostipa densiflora,S + H,NA
Austrostipa densiflora,Control_1,2.61
Austrostipa densiflora,Heat_2,NA
Austrostipa densiflora,Smoke_3,4.74
Austrostipa densiflora,S + H_4,NA
Bothriochloa macra,Control,94.7
Bothriochloa macra,Heat,92
Bothriochloa macra,Smoke,94.7
Bothriochloa macra,S + H,94.7
Bothriochloa macra,Control_1,2.63
Bothriochloa macra,Heat_2,1.52
Bothriochloa macra,Smoke_3,5.37
Bothriochloa macra,S + H_4,7.75
Brunonia australis,Control,20
Brunonia australis,Heat,24
Brunonia australis,Smoke,40
Brunonia australis,S + H,30.7
Brunonia australis,Control_1,2.52
Brunonia australis,Heat_2,1.38
Brunonia australis,Smoke_3,2.4
Brunonia australis,S + H_4,7.37
Bulbine bulbosa,Control,91.5
Bulbine bulbosa,Heat,94.7
Bulbine bulbosa,Smoke,95.7
Bulbine bulbosa,S + H,95.7
Bulbine bulbosa,Control_1,3.13
Bulbine bulbosa,Heat_2,2
Bulbine bulbosa,Smoke_3,2.67
Bulbine bulbosa,S + H_4,7.7
Bulbine glauca,Control,42.8
Bulbine glauca,Heat,NA
Bulbine glauca,Smoke,48
Bulbine glauca,S + H,68.7
Bulbine glauca,Control_1,2
Bulbine glauca,Heat_2,NA
Bulbine glauca,Smoke_3,1.93
Bulbine glauca,S + H_4,7.6
Burchardia umbellata,Control,97.5
Burchardia umbellata,Heat,95.1
Burchardia umbellata,Smoke,93.6
Burchardia umbellata,S + H,86.3
Burchardia umbellata,Control_1,2.2
