family,species,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,SDH confirm,Granite yes=y,Conservtion status,Geographic range west relative to TPBNR,Geographic range centered relative to TPBNR,Geographic range east relative to TPBNR
ADIANTACEAE,Anogramma leptophylla (L.) Link.,12,,,,,,,,,o,,,,•,y,,western,,
ASPLENIACEAE,Asplenium aethiopicum (Burm.f.) Bech. ,,,,,,,,,,,,,,• new PERTH,y,,western,,
DENNSTAEDTIACEAE,Histiopteris incisa (Thunb.) J.Sm.,,,,,,,,,,,,,,• ,y,,western,,
DENNSTAEDTIACEAE,Pteridium esculentum (G.Forst.) Cockayne,"10,13",,,,,,,,,,,,,•,y,,western,,
LINDSAEACEAE,Lindsaea linearis Sw.,"3,4",,,,,,,,o,,o,,,•,Y,,western,,
LYCOPODIACEAE,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",,,,,,,,,,,,,,• new SDH,,,western,,
LYCOPODIACEAE,Phylloglossum drummondii Kunze.,12,,,,,,,,,0,,,,•,y,,western,,
SCHIZAECEAE,Schizaea fistulosa Labill.,&,,,,,,,,,,,,,•,y,,western,,
PODOCARPACEAE,Podocarpus drouynianus F.Muell.,3,x,,,,,,,,,,,,•,,,western,,
ZAMIACEAE,Macrozamia riedlei (Gaudich.) C.A.Gardner,,,,,,,,,,,,,,• ,Y,,western,,
HYDATELLACEAE,"Trithuria austinensis D.D.Sokoloff, Remizowa, T.Macfarlane & Rudall",,,,,,,,,,,,,,• ,Y,,,centered,
LAURACEAE,Cassytha glabella R.Br.,"1,2,3,8,8",x,x,x,,x,x,x,x,,x,x,,• ,y,,,centered,
LAURACEAE,Cassytha racemosa Nees,"2,3",x,,,,,,,,,,,,• ,,,,centered,
ALLIACEAE,* Allium triquetrum L.,10,,,,,,,,,,,,,• ,,,western,,
ASPARAGACEAE,Laxmannia jamesii Keighery,,,,,,,,,,,,,,• new PERTH,y,,western,,
ASPARAGACEAE,Lomandra nigricans T.Mcfarlane,"1,2,3,5,11",,,,,x,,x,,x,,,,• ,,,western,,
ASPARAGACEAE,Lomandra pauciflora (R.Br.) Ewart,,,,,,,,,,,,,,• new PERTH,,,western,,
ASPARAGACEAE,Lomandra purpurea (Endl.) Ewart,,,,,,,,,,,,,,• new Dilly,y,,western,,
ASPARAGACEAE,Lomandra rigida Labill.,3,x,,,,,,,,,,o,,• sp. Indet.,,,,,
ASPARAGACEAE,Lomandra sonderi (F.Muell.) Ewart.,3,,,,,,,x,,,,,,• ,,,western,,
ASPARAGACEAE,Thysanotus asper Lindl.,"1,2",x,x,,,,,x,,,,,,• sp. Indet.,,,,,
ASPARAGACEAE,Thysanotus dichotomus (Labill.) R.Br.,,,,,,,,,,,,,, new Dilly,y,,western,,
ASPARAGACEAE,Thysanotus glaucifolius Brittan,"3,10",x,,,,,,,,,,,,• ,,,,,eastern
ASPARAGACEAE,Thysanotus gracilis R.Br.,"2,10,11",,,x,x,,,,,,,,,• ,,,western,,
ASPARAGACEAE,Thysanotus isantherus R.Br.,,,,,,,,,,,,,,• ,y,,western,,
ASPARAGACEAE,Thysanotus multiflorus R.Br.,3,x,,,,,,,,,,,,• ,,,western,,
ASPARAGACEAE,Thysanotus patersonii R.Br.,"1,2",,,,,,,,,x,x,,,• ,y,,,centered,
ASPARAGACEAE,Thysanotus sparteus R.Br.,,,,,,,,,,,,,,• new PERTH,y,,,centered,
ASPARAGACEAE,Thysanotus tenellus Endl.,"3,5",x,,,,,,,,,,,x,• ,y,,western,,
ASPARAGACEAE,Thysanotus thyrsoideus Baker,2,,,,,,,,,,x,,,• ,,,western,,
BORYACEAE,Borya nitida Labill. ,"8,12",,,,,,,,,x,x,,,• ,y,,,,eastern
CENTROLEPIDACEAE,Aphelia cyperoides R.Br.,,,,,,,,,,,,,,• ,y,,western,,
CENTROLEPIDACEAE,Centrolepis aristata (R.Br.) Poir.,8,,,,,,,,,,,,,• ,y,,western,,
CENTROLEPIDACEAE,Centrolepis caespitosa D.A.Cooke ,,,,,,,,,,,,,,• new PERTH,,,western,,
CENTROLEPIDACEAE,Centrolepis drummondiana (Nees) Walp.,,,,,,,,,,,,,,• ,y,,western,,
CENTROLEPIDACEAE,Centrolepis fascicularis Labill.,,,,,,,,,,,,,,• new PERTH,,,western,,
CENTROLEPIDACEAE,Centrolepis glabra (Sond.) Hieron.,,,,,,,,,,,,,,• ,y,,,centered,
CENTROLEPIDACEAE,Centrolepis humillima Benth.,,,,,,,,,,,,,,• ,y,,,centered,
CENTROLEPIDACEAE,Centrolepis pilosa Hieron.,,,,,,,,,,,,,,• ,y,,,centered,
CENTROLEPIDACEAE,Centrolepis polygyna (R.Br.) Hieron.,"8,9",,,,,,,,,,,,,• ,y,,,centered,
CENTROLEPIDACEAE,Centrolepis strigosa (R.Br.) Roem. & Schult.,"7,8,9",,,,,,,,,,,,,• ,y,,,,eastern
COLCHICACEAE,Burchardia congesta Lindl.,"1,2,5,11",x,x,,,,,,,x,x,,,• name change,y,,western,,
COLCHICACEAE,Wurmbea dioica (R.Br.) F.Muell. subsp. alba T.Macfarlane,,,,,,,,,,,,,,• ,y,,western,,
CYPERACEAE,"Ammothryon grandiflorum (Lehm.) R.L.Barrett, K.L.Wilson & J.J.Bruhl",12,,,,o,,,,o,,,,x,• name change,,,western,,
CYPERACEAE,Baumea sp. laxa (K.Wilson 11052),,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Chaetospora curvifolia R.Br.,"10,11",,,,,,,,x,,x,x,x,• name change,,,western,,
CYPERACEAE,Chaetospora subbulbosa (Benth.) K.L.Wilson & R.L.Barrett,5.8,,,,,,,,,,,,,• name change,,,western,,
CYPERACEAE,Cyathochaeta avenacea (R.Br.) Benth.,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Cyathochaeta equitans K.L.Wilson,"2,11",x,,,,,,,,,,,,• new det.,,,,centered,
CYPERACEAE,Cyperus tenuiflorus Rottb.,"1,11",,,,,x,,,,,,,,• sp. indet,,,,,
CYPERACEAE,*Cyperus congestus Vahl,"1,11",,,,,x,,,,,,,,•,,,western,,
CYPERACEAE,Evandra aristata R.Br.,"1,3",x,x,,,o,,o,,o,o,,,•,,,western,,
CYPERACEAE,*Ficinia marginata  (Thunb.) Fourc.,1,,,,,,,,,,,,,• alien,y,,western,,
CYPERACEAE,"Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson","1,2,7,8,9,11,13",x,x,,,x,x,o,,,o,,,• name change,,,,centered,
CYPERACEAE,Gahnia sp. Headland (G.J. Keighery 8501),11,,,,,,,,,,,,,• name change,,,,,eastern
CYPERACEAE,Gahnia trifida Labill.,"2,3.8",x,,,,,,o,,,,,,•,,,,centered,
CYPERACEAE,Gymnoschoenus anceps (R.Br.) C.B.Clarke,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Isolepis cernua (Vahl) Roem. & Schult.,9,,,,,,,,,,,,,•,y,,western,,
CYPERACEAE,*Isolepis prolifer (Rottb.) R.Br.,13,,,,,,,,,,,,,• alien,,,,,
CYPERACEAE,Isolepis sp. Cape Vancouver,,,,,,,,,,,,,,• new PERTH,y,,,,
CYPERACEAE,Lepidosperma angustatum R.Br.,"1,3,4,8",o,o,x,,x,,x,,,,,,• ,y,,,centered,
CYPERACEAE,Lepidosperma aff. fimbriatum Nees.,"1,3,5,6,11",,,,o,,,0,,,,,,• name change for L brunonianum,,,,,
CYPERACEAE,Lepidosperma drummondii Benth.,,,,,,,,,,,,,,• new PERTH,,,,centered,
CYPERACEAE,Lepidosperma effusum Benth.,2,o,o,o,,o,o,,,,o,,,• ,,,western,,
CYPERACEAE,Lepidosperma gladiatum Labill.,"1,2,4,5,8,9,11,12",o,,,,o,o,,x,,0,,,• ,,,,centered,
CYPERACEAE,Lepidosperma gracile R.Br.,,,,,,,,,,,,,,• new PERTH,y,,western,,
CYPERACEAE,Lepidosperma hopperi R.L.Barrett,,,,,,,,,,,,,,• ,y,,,centered,
CYPERACEAE,Lepidosperma longitudinale Labill.,1,,,,,,,,,x,,,,• ,,,western,,
CYPERACEAE,Lepidosperma striatum R.Br.,"1,3",o,,,,,,0,,,,,,• ,,,western,,
CYPERACEAE,Lepidosperma tetraquetrum Nees.,,,,,,,,,o,,,,,• ,,,western,,
CYPERACEAE,"Lepidosperma sp. Carracarrup Creek (S. Kern, R. Jasper, D. Brassington LCH 16738)",,,,,,,,,,,,,,• new PERTH,,,,,eastern
CYPERACEAE,Lepidosperma sp. indet (CSIRO 353A),1,,,,,o,,,,,,,,• sp. Indet.,,,,,
CYPERACEAE,Machaerina acuta (Labill.) J.Kern,,,,,,,,,,,,,,• new PERTH,,,,centered,
CYPERACEAE,Machaerina articulata (R.Br.) T.Koyama,"1,2,3,13",,,,,o,,,,,,,,• name change,,,western,,
CYPERACEAE,Machaerina juncea (R.Br.) T.Koyama,"1,3,12",,,,,,,,,,,,,• name change,,,western,,
CYPERACEAE,Machaerina laxa (Nees) T.Koyama ,,,,,,,,,,,,,,• new PERTH,y,,western,,
CYPERACEAE,Machaerina preissii (Nees) L.A.S.Johnson & T.Koyama,13,,,,,,,,,,,,,• name change,,,western,,
CYPERACEAE,Machaerina rubiginosa (Spreng.) T.Koyama,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Mesomelaena graciliceps (C.B.Clarke) K.L.Wilson,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Mesomelaena tetragona (R.Br.) Benth.,"1,3.8",,x,x,x,x,,x,,,,,,• ,,,,centered,
CYPERACEAE,Mesomelaena stygia (R.Br.) Nees.,"1,3,8",,,,,,,,,,,,,• ,y,,,centered,
CYPERACEAE,Mesomelaena sp. aff. stygia (CSIRO 384),1,,,,,,,x,,x,,,,• sp. Indet.,,,,,
CYPERACEAE,Morelotia octandra (Nees) R.L.Barrett & J.J.Bruhl,,,,,,,,,,,,,,• ,y,,western,,
CYPERACEAE,Netrostylis sp. Jarrah Forest (R. Davis 7391),,,,,,,,,,,,,,• new Dilly,y,,western,,
CYPERACEAE,Schoenus acuminatus R.Br.,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Schoenus breviculmis Benth.,,,,,,,,,,,,,,• new PERTH,,,,,eastern
CYPERACEAE,Schoenus brevifolius R.Br.,"2,3,8",x,,,,,o,o,o,o,o,x,,• sp. Unknown,,,,,
CYPERACEAE,Schoenus brevisetis (R.Br.) Poir.,,,,,,,,,,,,,,• new Dilly,y,,,centered,
CYPERACEAE,Schoenus caespititius W.Fitzg.,"6,11,12",,,,o,,,,,,,,,• ,,,,centered,
CYPERACEAE,Schoenus cruentus (Nees) Benth. ,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Schoenus efoliatus F.Muell.,,,,,,,,,,,,,,• new PERTH,,,western,,
CYPERACEAE,Schoenus hexandrus F. Muell. & Tate. ,11,,,,,,,,,,,,,• sp. Indet.,,,,,
