taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes,collection_date,basis_of_record
Conostephium pendulum,species,,,plant_growth_form,small shrubs with distinctive bicoloured flowers,shrub,shrub,mode,,,,,,"Introduction, p.83","Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium minus,species,,,plant_growth_form,small shrubs with distinctive bicoloured flowers,shrub,shrub,mode,,,,,,"Introduction, p.83","Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium roei,species,,,plant_growth_form,small shrubs with distinctive bicoloured flowers,shrub,shrub,mode,,,,,,"Introduction, p.83","Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium drummondii,species,,,plant_growth_form,small shrubs with distinctive bicoloured flowers,shrub,shrub,mode,,,,,,"Introduction, p.83","Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium pendulum,species,,,flower_colour,"Most of the corolla, too, is white except for the exposed, tapered, apical portion that is purple or pink",white_cream pink,white_cream pink,mode,,,,,,"Introduction, p.83","Two simultaneous colours (AusTraits allows space-delimited multiple values). Colour described in detail for C. pendulum (Figs 3-5); Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium minus,species,,,flower_colour,"Most of the corolla, too, is white except for the exposed, tapered, apical portion that is purple or pink",white_cream pink,white_cream pink,mode,,,,,,"Introduction, p.83","Two simultaneous colours (AusTraits allows space-delimited multiple values). Colour described in detail for C. pendulum (Figs 3-5); Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium roei,species,,,flower_colour,"Most of the corolla, too, is white except for the exposed, tapered, apical portion that is purple or pink",white_cream pink,white_cream pink,mode,,,,,,"Introduction, p.83","Two simultaneous colours (AusTraits allows space-delimited multiple values). Colour described in detail for C. pendulum (Figs 3-5); Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium drummondii,species,,,flower_colour,"Most of the corolla, too, is white except for the exposed, tapered, apical portion that is purple or pink",white_cream pink,white_cream pink,mode,,,,,,"Introduction, p.83","Two simultaneous colours (AusTraits allows space-delimited multiple values). Colour described in detail for C. pendulum (Figs 3-5); Genus-wide statement in the Introduction/Discussion (p.83, p.85), generalised here to all four Conostephium species covered in this paper; described in close detail only for C. pendulum (Figs 1-5).",unknown,field
Conostephium pendulum,species,,,flower_nectar_production,Fresh flowers of C. pendulum from various localities (approximately 20 from each location) were dissected and none was found to contain nectar.,nectar_absent,nectar_absent,mode,,,,,,"Results, Flower stages, p.84","~20 flowers dissected per location, multiple localities (locations not individually named for this observation). Discussion (p.85) restates 'the absence of nectar' as a genus-wide floral-morphology character.",unknown,field
Conostephium minus,species,,,flower_nectar_production,the absence of nectar,nectar_absent,nectar_absent,mode,,,,,,"Discussion, p.85","Generalised from the genus-wide floral-morphology statement in the Discussion; direct dissection evidence (~20 flowers/location, see notes on C. pendulum row) is stated only for C. pendulum.",unknown,field
Conostephium roei,species,,,flower_nectar_production,the absence of nectar,nectar_absent,nectar_absent,mode,,,,,,"Discussion, p.85","Generalised from the genus-wide floral-morphology statement in the Discussion; direct dissection evidence (~20 flowers/location, see notes on C. pendulum row) is stated only for C. pendulum.",unknown,field
Conostephium drummondii,species,,,flower_nectar_production,the absence of nectar,nectar_absent,nectar_absent,mode,,,,,,"Discussion, p.85","Generalised from the genus-wide floral-morphology statement in the Discussion; direct dissection evidence (~20 flowers/location, see notes on C. pendulum row) is stated only for C. pendulum.",unknown,field
Conostephium pendulum,species,,,flower_anther_dehiscence,The anthers do not have pores but each dehisces from the apex by a slit that elongates over the time the flowers take to senesce (up to 10 days). ... Dehiscence is introrse and begins by separation of a very short slit at the anther apex. With time this slit extends down the length of the anther.,short_apical_slits,short_apical_slits,mode,,,,,,"Abstract, p.83; Results, Flower stages, p.84","Explicitly not poricidal (contrasted with typical buzz-pollinated flowers in Abstract/Discussion). Dehiscence starts as a short apical slit and elongates over the flower's life (up to 10 days) -- by senescence it may resemble a longitudinal_slit, but 'short_apical_slits' best matches the described starting/typical condition; medium-confidence match, flag for review.",unknown,field
Conostephium minus,species,,,flower_anther_dehiscence,"In Conostephium, the anthers are not poricidal but begin dehiscence from the apex and later the slit extends further along the anther.",short_apical_slits,short_apical_slits,mode,,,,,,"Discussion, p.88","Generalised from the genus-wide Discussion statement; morphology described in photographic/dissection detail only for C. pendulum (Figs 4, 5). Same medium-confidence match caveat as the C. pendulum row.",unknown,field
Conostephium roei,species,,,flower_anther_dehiscence,"In Conostephium, the anthers are not poricidal but begin dehiscence from the apex and later the slit extends further along the anther.",short_apical_slits,short_apical_slits,mode,,,,,,"Discussion, p.88","Generalised from the genus-wide Discussion statement; morphology described in photographic/dissection detail only for C. pendulum (Figs 4, 5). Same medium-confidence match caveat as the C. pendulum row.",unknown,field
Conostephium drummondii,species,,,flower_anther_dehiscence,"In Conostephium, the anthers are not poricidal but begin dehiscence from the apex and later the slit extends further along the anther.",short_apical_slits,short_apical_slits,mode,,,,,,"Discussion, p.88","Generalised from the genus-wide Discussion statement; morphology described in photographic/dissection detail only for C. pendulum (Figs 4, 5). Same medium-confidence match caveat as the C. pendulum row.",unknown,field
Conostephium pendulum,species,,,flower_scent_production,"A distinct and sweet scent was detectable about the flowers of C. pendulum, C. minus and C. roei.",scent_produced,scent_produced,mode,,,,,,"Results, Flower stages, p.84","Scent not mentioned for C. drummondii -- not assumed absent, simply not reported.",unknown,field
Conostephium minus,species,,,flower_scent_production,"A distinct and sweet scent was detectable about the flowers of C. pendulum, C. minus and C. roei.",scent_produced,scent_produced,mode,,,,,,"Results, Flower stages, p.84","Scent not mentioned for C. drummondii -- not assumed absent, simply not reported.",unknown,field
Conostephium roei,species,,,flower_scent_production,"A distinct and sweet scent was detectable about the flowers of C. pendulum, C. minus and C. roei.",scent_produced,scent_produced,mode,,,,,,"Results, Flower stages, p.84","Scent not mentioned for C. drummondii -- not assumed absent, simply not reported.",unknown,field
Conostephium pendulum,species,,,flower_ovules_per_functional_carpel_count,"the number of ovules available for fertilisation is also very different in the two species (C. pendulum--5, Rhexia--mean 457)",,5,raw,{count},,,,,"Discussion, p.88",Stated as a comparison point against Rhexia virginica (Larson and Barrett 1999).,1999,field
Conostephium pendulum,species,,,flower_fertile_stamens_count,"The five anthers are enveloped within short stiff hairs borne on the corolla tube (Figs 5, 6) and are inserted on the upper part of the tube, attached by short, solid filaments.",,5,raw,{count},,,,,"Results, Flower stages, p.84","Not generalised to the other three species -- unlike the anther-dehiscence mechanism, stamen count is not explicitly stated to be shared across taxa.",1999,field
Conostephium pendulum,species,,,flower_pollen_length,"Pollen grains are tricolporate, globular and approximately 40 µm in diameter (Fig. 8).",,40,raw,um,,,,,"Results, Flower stages, p.84",Approximate value as stated ('approximately 40 um'); SEM image in Fig. 8.,1999,field
Conostephium pendulum,species,,,flower_pollen_aperture_shape,Pollen grains are tricolporate,colporus,colporus,mode,,,,,,"Results, Flower stages, p.84",'Tricolporate' = 3 colporate (combined colpus+pore) apertures; see flower_pollen_apertures_count for the count of 3.,1999,field
Conostephium pendulum,species,,,flower_pollen_apertures_count,Pollen grains are tricolporate,,3,raw,{count},,,,,"Results, Flower stages, p.84",'Tri-' = 3 apertures.,1999,field
Conostephium pendulum,population,,Murdoch,flower_lifespan,the corolla drops from the receptacle between 10 and 12 days from the mature bud stage,,10,minimum,d,,,,,"Results, Flower stages, p.84","Measured from the mature bud stage (corolla tip just visible at sepal tips), not strictly from anthesis; two rows (min/max) for the stated range.",1999,field
Conostephium pendulum,population,,Murdoch,flower_lifespan,the corolla drops from the receptacle between 10 and 12 days from the mature bud stage,,12,maximum,d,,,,,"Results, Flower stages, p.84","Measured from the mature bud stage (corolla tip just visible at sepal tips), not strictly from anthesis.",1999,field
Conostephium pendulum,population,,Murdoch,flower_style_length,elongation of the style from between the tips of the corolla lobes to a maximum of about 1.5 mm,,1.5,maximum,mm,,,,,"Results, Flower stages, p.84","This is the length of style EXSERTED beyond the corolla lobes, not necessarily the full style length from ovary to stigma tip -- medium-confidence match to flower_style_length, flag for review.",1999,field
Conostephium pendulum,population,,Murdoch,flower_diameter,the mouth of the corolla tube is at its maximum of about 1 mm in diameter,,1,maximum,mm,,,,,"Results, Flower stages, p.84","Mapped to flower_diameter per curator instruction. This is the diameter of the corolla tube mouth, not petal-tip-to-petal-tip (the corolla lobes are very reduced and the opening is largely occluded by the exserted style), so it understates the flower's full width; flagged as the best available diameter measurement for this species.",1999,field
Conostephium drummondii,population,Leioproctus sp. F134,Toolinna Cove,pollination_vector_possible,several females of Leioproctus sp. F134 were observed 'buzzing' the apices of flowers. They alighted on the tips of the flowers and vibrated their flight muscles producing an audible sound.,bee,bee,mode,,,,,24-28 February 1984,"Results, Bee observations, p.86","Sonication observed directly; bees not captured/pollen loads not examined for this population (unlike Barracca/Kalbarri, see pollination_vector_known rows), so recorded as flower_visitor rather than pollination_vector_known.",1984,field
Conostephium pendulum,population,Leioproctus (Leioproctus) sp. F467,Barracca Nature Reserve,pollination_vector_possible,quiet buzzing sounds were heard emanating from females of Leioproctus (Leioproctus) sp. F467 working C. pendulum flowers... Females buzzed each flower for 3-8 s (n = 8 observations).,bee,bee,mode,,,,,23 July and 13 August 1999,"Results, Bee observations, p.86",,1999,field
Conostephium pendulum,population,Leioproctus (Leioproctus) sp. F467,Barracca Nature Reserve,pollination_vector_known,"All five females of Leioproctus ... collected from flowers of Conostephium carried pollen in their scopae and in all cases Conostephium pollen comprised a significant proportion of the pollen loads (Table 1). For six of the eight females, 80-100% of the grains carried were Conostephium while for the remaining two females, 11 and 20% of the grains were Conostephium.",bee,bee,mode,,,,,,"Results, Bee observations & Scopal pollen analysis, p.86-87; Table 1, p.87","Bees were collected at Barracca Nature Reserve during observations of both C. pendulum and C. minus (13 August 1999); Table 1 does not separately record which Conostephium species each specimen was captured from, so this direct pollen-load evidence is attributed to both C. pendulum and C. minus (see the C. minus row) rather than to C. pendulum alone.",1999,field
Conostephium minus,population,Leioproctus sp. F467,Barracca Nature Reserve,pollination_vector_possible,one female of Leioproctus sp. F467 was observed sonicating flowers of C. minus in the same manner as described for C. pendulum,bee,bee,mode,,,,,13 August 1999,"Results, Bee observations, p.86",,1999,field
Conostephium minus,population,Leioproctus sp. F467,Barracca Nature Reserve,pollination_vector_known,All five females of Leioproctus ... collected from flowers of Conostephium carried pollen in their scopae and in all cases Conostephium pollen comprised a significant proportion of the pollen loads (Table 1).,bee,bee,mode,,,,,,"Results, Bee observations & Scopal pollen analysis, p.86-87; Table 1, p.87",Same pollen-load evidence and caveat as the C. pendulum pollination_vector_known row above -- Table 1 does not distinguish which Conostephium species each captured bee was foraging on at Barracca.,1999,field
