Species,Population,Temp,CO2,Potnum,Height (cm),BaseDiameter (mm),LeafNum,LeafArea (cm2),LeafSize (cm2),LMA (g m-2),LAR (m2 kg-1),LeafDW (g),StemDW (g),RootDW (g),TuberDW (g),RootShoot,Leaffrac,Stemfrac,Tuberfrac,Rootfrac,BiomassDW (g)
Waratah,Coastal,Elv,640,301,33,6.45,28,788.710233,24.36135714,124.3878878,4.747891457,9.8106,2.596900001,3.453599999,0.7507,0.338851501,59.058019,15.63286339,4.519076801,20.79004081,16.6118
Waratah,Coastal,Elv,640,302,20.5,4.3,16,338.1330874,11.31475,100.8005465,5.424101885,3.4084,1.0548,1.5747,0.196,0.396733286,54.67524343,16.92038692,3.1440992,25.26027046,6.2339
Waratah,Coastal,Elv,640,311,21,5.95,38,852.9146214,20.60531579,100.7943795,5.526778864,8.5969,1.8285,4.598600001,0.4084,0.480269342,55.7068246,11.84844872,2.646380343,29.79834634,15.4324
Waratah,Coastal,Elv,640,312,22,7.04,15,322.5761262,18.70313333,117.212642,3.428414865,3.781,1.512,3.7135,0.4024,0.77761194,40.18535642,16.06989127,4.276801752,39.46795056,9.4089
Waratah,Coastal,Elv,640,321,21,4.665,28,359.4575728,11.31107143,100.0590966,5.549582734,3.5967,1.0288,1.6677,0.184,0.400324289,55.52862348,15.88340641,2.84073365,25.74723646,6.4772
Waratah,Coastal,Elv,640,322,24.5,3.915,41,473.299,11.54387805,93.99132472,5.5221622,4.4486,1.1484,2.6327,0.3412,0.531338217,51.90353405,13.39882626,3.980912156,30.71672753,8.5709
Waratah,Coastal,Elv,640,331,32.5,7.695,36,763.8713301,20.72080556,122.3386666,3.817180857,9.345100001,3.506799999,6.3984,0.7611,0.557077164,46.69888164,17.52401131,3.803332101,31.97377495,20.0114
Waratah,Coastal,Elv,640,332,18,3.25,51,706.286,13.8487451,80.19697403,7.917116915,5.6642,1.4487,1.584,0.2241,0.254200115,63.49288196,16.23921085,2.512050219,17.75585697,8.921
Waratah,Coastal,Elv,640,341,25.5,5.92,39,549.2853398,13.69564103,122.8887704,3.743944571,6.7501,2.170800001,5.492500001,0.2579,0.644598639,46.00887447,14.79623483,1.757853769,37.43703694,14.6713
Waratah,Coastal,Elv,640,342,18,4.665,26,436.8019515,15.57565385,127.0530038,4.074835127,5.5497,1.223,3.0748,0.872,0.58275134,51.77200429,11.40911423,8.134707776,28.6841737,10.7195
Waratah,Upland,Elv,640,351,19,6.19,34,403.2570198,11.23702941,109.6025558,5.723611096,4.4198,1.1253,1.3056,0.1948,0.270581234,62.73224044,15.97189696,2.764885388,18.53097722,7.0455
Waratah,Upland,Elv,640,352,11,3.18,19,204.0731683,9.967894737,109.1275261,5.924609328,2.227,0.5443,0.558,0.1152,0.242918486,64.65379591,15.80200319,3.344462186,16.19973871,3.4445
Waratah,Upland,Elv,640,361,22.8,4.54,40,272.8628416,6.611175,108.4317668,4.88572475,2.9587,1.2322,1.2714,0.1226,0.33262545,52.97677667,22.0630629,2.195204928,22.76495551,5.5849
Waratah,Upland,Elv,640,362,16,5.51,28,350.173,12.50617857,114.8003987,5.647314013,4.02,0.7841,1.3086,0.088,0.290710019,64.83139,12.64534649,1.419194607,21.1040689,6.2007
Waratah,Upland,Elv,640,371,13,4.895,31,315.685,8.100806452,114.5382264,4.871231059,3.6158,0.9983,1.7158,0.1507,0.404520925,55.79421658,15.40443786,2.325401969,26.47594359,6.4806
Waratah,Upland,Elv,640,372,14.5,4.875,28,365.9389505,11.83692857,108.6957263,5.634771269,3.9776,0.7857,1.5545,0.1765,0.363403523,61.24755555,12.09830159,2.717767889,23.93637497,6.4943
Waratah,Upland,Elv,640,381,18,5.25,43,413.635,7.640581395,116.8203851,5.163789122,4.8321,1.3904,1.5417,0.2461,0.287312174,60.32358339,17.35765202,3.072294421,19.24647017,8.0103
Waratah,Upland,Elv,640,382,10,3.665,24,234.905,9.787708333,104.3953939,5.800123457,2.4523,0.5725,0.9505,0.0747,0.3389315,60.55061728,14.13580247,1.844444444,23.4691358,4.05
Waratah,Upland,Elv,640,391,15.5,6.05,33,408.8955743,12.15615152,112.4712589,4.434347033,4.5989,1.6108,2.8135,0.1979,0.484950964,49.87365932,17.46863173,2.146164774,30.51154418,9.2211
Waratah,Upland,Elv,640,392,14,4.605,35,532.558,11.84937143,97.56871552,6.163152413,5.1961,1.1867,1.902,0.3562,0.353794573,60.13308645,13.73336419,4.122208078,22.01134128,8.641
Waratah,Coastal,Elv,400,402,16,4.4,32,379.2350874,11.1605625,82.3077849,5.867424071,3.1214,1.0034,2.1171,0.2215,0.566960822,48.29346783,15.52433704,3.426988891,32.75520624,6.4634
Waratah,Coastal,Elv,400,411,32.5,6.63,27,841.1510971,28.40077778,102.2456016,5.964933746,8.6004,2.5367,2.375000001,0.5895,0.266182399,60.98882396,17.98873887,4.180376695,16.84206048,14.1016
Waratah,Coastal,Elv,400,412,24,5.465,25,370.824,14.83296,89.41168856,5.207178364,3.3156,1.4936,2.1602,0.152,0.480786825,46.55826102,20.97340411,2.134411773,30.33392311,7.1214
Waratah,Coastal,Elv,400,421,27.5,6.195,48,835.2512039,16.861625,92.06691309,5.67711488,7.6899,2.189099999,4.325299999,0.5083,0.489280292,52.26744423,14.87908323,3.454861819,29.39861071,14.7126
Waratah,Coastal,Elv,400,422,23.5,5.33,33,535.2991165,15.95463636,88.07038634,5.798489081,4.7144,1.6679,2.5232,0.3262,0.446453473,51.06751736,18.0670949,3.533477041,27.3319107,9.2317
Waratah,Coastal,Elv,400,431,25.5,5.02,25,527.7577282,11.61128,95.00760922,5.646943881,5.0141,1.8237,2.4003,0.1078,0.366799263,53.65026375,19.5133695,1.153446966,25.68291978,9.3459
Waratah,Coastal,Elv,400,432,32,4.485,20,493.4074757,23.5495,89.0785044,5.752882527,4.3952,1.3786,2.43,0.3729,0.485451522,51.24581716,16.07378129,4.347826087,28.33257547,8.5767
Waratah,Coastal,Elv,400,441,25.5,4.73,30,356.8613981,10.17693333,92.00770994,4.939189742,3.2834,1.3996,2.0873,0.4548,0.542835789,45.44435371,19.37135818,6.294722564,28.88956554,7.2251
Waratah,Coastal,Elv,400,442,14,3.18,27,372.5390971,12.67440741,100.9477939,5.898899469,3.7607,0.7758,1.4645,0.3144,0.392130497,59.5480888,12.28425753,4.978306996,23.18934668,6.3154
Waratah,Upland,Elv,400,451,11.5,4.51,25,245.8633366,9.57988,102.764407,5.118846925,2.5266,0.8857,1.1599,0.2309,0.407584327,52.60352689,18.44017405,4.807311944,24.14898711,4.8031
Waratah,Upland,Elv,400,452,12,3.135,5,124.557,15.9974,115.9629728,4.450848669,1.4444,0.4202,0.8382,0.0957,0.500858093,51.6133643,15.01518671,3.419689119,29.95175987,2.7985
Waratah,Upland,Elv,400,461,13.5,4.15,41,337.3690594,8.067682927,96.17360898,6.44991128,3.2446,1.0129,0.7921,0.181,0.228561362,62.03112454,19.36489122,3.460406072,15.14357817,5.2306
Waratah,Upland,Elv,400,462,10,3.54,15,192.796,9.171733333,102.2220378,5.35098529,1.9708,0.4709,1.0192,0.1421,0.475611254,54.69886206,13.06966417,3.943935609,28.28753816,3.603
Waratah,Upland,Elv,400,471,16.5,6.405,35,531.5815941,14.7326,112.5208259,5.285372197,5.9814,1.3413,2.4597,0.2752,0.373482459,59.47144448,13.33618358,2.736239262,24.45613268,10.0576
Waratah,Upland,Elv,400,472,7,2.735,20,141.595,7.07975,91.02016314,6.629289761,1.2888,0.247,0.574,0.0261,0.390740982,60.33990355,11.56421181,1.221967321,26.87391732,2.1359
Waratah,Upland,Elv,400,481,11.5,6.335,15,219.022495,12.87146667,102.2680341,6.28724581,2.2399,0.5175,0.6834,0.0428,0.263364039,64.29842691,14.85532208,1.228614077,19.61763693,3.4836
Waratah,Upland,Elv,400,491,15.5,4.095,8,170.5489109,16.43,123.9703021,4.409455269,2.1143,0.669,0.8869,0.1976,0.389645385,54.66415016,17.29665443,5.108847407,22.930348,3.8678
Waratah,Upland,Elv,400,492,9,3.555,9,116.0039505,12.05544444,134.219567,4.862062555,1.557,0.3737,0.362,0.0932,0.23576941,65.25839306,15.66285259,3.906282744,15.1724716,2.3859
Waratah,Coastal,Amb,400,501,10,5.305,12,130.9,10.90833333,116.8525592,2.60632367,1.5296,0.3899,2.3222,0.7807,1.616514717,30.4555591,7.763220771,15.54436126,46.23685887,5.0224
Waratah,Coastal,Amb,400,502,11.5,4.49,14,155.655,11.11821429,86.02357778,4.433478595,1.339,0.4001,0.8908,0.881,1.018802829,38.13836908,11.39593836,25.09328093,25.37241163,3.5109
Waratah,Coastal,Amb,400,511,13,5.855,32,548.013,17.12540625,92.98137088,4.338635104,5.0955,1.416700001,4.3037,1.8151,0.939590307,40.34122397,11.21605574,14.3702003,34.07251999,12.631
Waratah,Coastal,Amb,400,512,10.5,3.415,17,123.337,7.255117647,110.9156214,2.04532188,1.368,0.388,2.6316,1.6426,2.43405467,22.68581473,6.434280787,27.23956088,43.6403436,6.0302
Waratah,Coastal,Amb,400,521,16,5.66,25,366.711,14.66844,95.10759154,4.423107541,3.4877,1.048,2.4059,1.3492,0.827898671,42.06711053,12.6405172,16.27345974,29.01891253,8.2908
Waratah,Coastal,Amb,400,522,14.5,4.435,16,184.203,11.5126875,109.9222054,3.614091194,2.0248,0.7374,1.3846,0.95,0.845195858,39.72688746,14.46790143,18.63914613,27.16606498,5.0968
Waratah,Coastal,Amb,400,531,14,5.79,38,382.605,10.06855263,79.11553691,6.247224218,3.027,0.9523,1.6772,0.4679,0.53906466,49.42524982,15.5492783,7.639932075,27.38553981,6.1244
Waratah,Coastal,Amb,400,532,13.5,4.47,23,124.534,5.414521739,90.89084106,3.969717255,1.1319,0.3398,0.7452,0.9202,1.131616498,36.081094,10.83165981,29.33282331,23.75442287,3.1371
Waratah,Coastal,Amb,400,541,13,4.785,21,354.1889029,15.739,103.594437,4.766625884,3.6692,1.0192,2.2462,0.496,0.584890368,49.3795925,13.71625441,6.675100261,30.22905284,7.4306
