Species,Site abbreviation,Latitude (S),Longitude (E),LAI,Seed mass (g),Light Treatment,Light Treatment (Categorical),Replicate,Total Seeds,Total Germinated,Proportion Germinated,Number Inviable,lat_lon_combined,park,description,Site
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,12/12,control,1,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,12/12,control,2,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,12/12,control,3,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,18/6,long,1,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,18/6,long,2,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,18/6,long,3,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,6/18,short,1,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,6/18,short,2,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia leptoloba,Q.L.D.W,-17.3913,145.3758,1.366652966,0.043222,6/18,short,3,10,10,1,0, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,12/12,control,1,15,15,1,0, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,12/12,control,2,15,15,1,0, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,18/6,long,1,15,15,1,0, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,18/6,long,2,15,14,0.933333333,1, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,6/18,short,1,15,15,1,0, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acacia ulicifolia,R.N.P,-34.1138,151.0664,3.366632938,0.010886,6/18,short,2,15,15,1,0, (site_at_-34.1138_S_and_151.0664_E),Royal National Park (Flat Rock Creek),NA,Royal National Park (Flat Rock Creek) (site_at_-34.1138_S_and_151.0664_E)
Acaena Species A,K.N.P.A,-36.4376,148.3198,2.133311987,0.001486,12/12,control,1,30,13,0.433333333,17, (site_at_-36.4376_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4376_S_and_148.3198_E)
Acaena Species A,K.N.P.A,-36.4376,148.3198,2.133311987,0.001486,18/6,long,1,30,22,0.733333333,8, (site_at_-36.4376_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4376_S_and_148.3198_E)
Acaena Species A,K.N.P.A,-36.4376,148.3198,2.133311987,0.001486,6/18,short,1,30,22,0.733333333,8, (site_at_-36.4376_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4376_S_and_148.3198_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,12/12,control,1,10,0,0,6, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,12/12,control,2,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,12/12,control,3,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,1,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,2,10,0,0,1, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,3,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,6/18,short,1,10,0,0,1, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
