code,tribe,plant_species,potential_pollinator,common_name,scientific_name,source,source_id,rf_classification,original_contribution,s3_trait_name,s3_trait_value
Ag,Cosmelieae,Andersonia grandiflora,Bird,New-Holland Honeyeater,Phylidonyris novaehollandiae,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ah,Cosmelieae,Andersonia heterophylla,Insect,Bee,Leioproctus macmillani,Houston (2000),Houston_2000,TRUE,FALSE,,
Am,Cosmelieae,Andersonia micrantha,Insect,Fly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Ase,Cosmelieae,Andersonia setifolia,Bird,White-Cheeked Honeyeater,Phylidonyris higra,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Asp,Cosmelieae,Andersonia sprengeloides,Insect,Butterfly,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Asp,Cosmelieae,Andersonia sprengeloides,Insect,Moth,Unknown,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cru,Cosmelieae,Cosmelia rubra,Bird,Brown-Headed Honeyeater,Melithreptus brevirostris,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Cru,Cosmelieae,Cosmelia rubra,Bird,New Holland Honeyeater,Phylidonyris novaehollandiae,Keighery (1996),Keighery_1996,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Euryglossa sp.,Johnson and McQuillan (2011),Johnson_2011,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Exoneura sp.,Johnson and McQuillan (2011),Johnson_2011,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Homalictus niveifrons/megastigmus,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Lasioglossum (Chilalictus) sp.,Johnson and McQuillan (2011),Johnson_2011,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Lasioglossum (Ctenonomia) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Johnson and McQuillan (2011),Johnson_2011,TRUE,FALSE,,
Si,Cosmelieae,Spengelia incarnata,Insect,Bee,Lasioglossum (Parasphecodes) sp.,Hingston (1999),Hingston_1999,TRUE,FALSE,,
